IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,load
0.3333333333333333,1.0,2.0,3.0,node
0.2,0.8,4.0,4.0,set
0.5,1.0,1.0,2.0,paus
0.5,2.0,1.0,4.0,process
0.5,0.5,1.0,1.0,continu
0.5,1.5,1.0,3.0,agent
0.5,0.5,1.0,1.0,surviv
0.5,0.5,1.0,1.0,cluster
0.25,1.75,3.0,7.0,replay
0.5,0.5,1.0,1.0,kill
0.5,0.5,1.0,1.0,connect
0.14285714285714285,1.7142857142857142,6.0,12.0,file
0.5,0.5,1.0,1.0,affect
0.5,1.0,1.0,2.0,fail
0.5,1.0,1.0,2.0,disk
0.3333333333333333,0.6666666666666666,2.0,2.0,collector
0.25,1.25,3.0,5.0,event
0.5,0.5,1.0,1.0,pointer
0.3333333333333333,0.6666666666666666,2.0,2.0,size
0.5,0.5,1.0,1.0,one
0.5,0.5,1.0,1.0,hdfs
0.3333333333333333,1.0,2.0,3.0,detect
0.5,0.5,1.0,1.0,java
0.5,0.5,1.0,1.0,trace
0.3333333333333333,1.0,2.0,3.0,space
0.5,0.5,1.0,1.0,open
0.5,0.5,1.0,1.0,someth
0.5,0.5,1.0,1.0,system
0.5,0.5,1.0,1.0,send
0.5,1.0,1.0,2.0,checkpoint
0.3333333333333333,1.0,2.0,3.0,delet
0.3333333333333333,0.6666666666666666,2.0,2.0,tail
0.5,0.5,1.0,1.0,handler
0.5,1.0,1.0,2.0,master
0.5,0.5,1.0,1.0,valu
0.5,0.5,1.0,1.0,jvm
0.3333333333333333,0.6666666666666666,2.0,2.0,max
0.3333333333333333,0.6666666666666666,2.0,2.0,test
0.5,0.5,1.0,1.0,termin
0.5,0.5,1.0,1.0,fill
0.5,0.5,1.0,1.0,start
0.14285714285714285,1.7142857142857142,6.0,12.0,channel
0.5,0.5,1.0,1.0,refer
0.3333333333333333,0.6666666666666666,2.0,2.0,flume
0.25,1.5,3.0,6.0,sourc
0.5,0.5,1.0,1.0,downstream
0.5,1.0,1.0,2.0,exec
0.3333333333333333,0.6666666666666666,2.0,2.0,handl
0.5,0.5,1.0,1.0,auto
0.3333333333333333,0.6666666666666666,2.0,2.0,time
0.5,0.5,1.0,1.0,stop
0.25,0.75,3.0,3.0,exception
0.5,0.5,1.0,1.0,sort
0.5,0.5,1.0,1.0,step
0.5,0.5,1.0,1.0,slow
0.25,0.75,3.0,3.0,sink
0.3333333333333333,0.6666666666666666,2.0,2.0,releas
0.5,0.5,1.0,1.0,netcat
0.5,0.5,1.0,1.0,end
0.5,0.5,1.0,1.0,hold
0.3333333333333333,0.6666666666666666,2.0,2.0,grow
0.5,0.5,1.0,1.0,requir
0.5,1.0,1.0,2.0,improve
0.5,0.5,1.0,1.0,spool
0.5,0.5,1.0,1.0,alloc
0.5,0.5,1.0,1.0,eof
0.3333333333333333,0.6666666666666666,2.0,2.0,scenario
0.5,0.5,1.0,1.0,exit
0.5,1.0,1.0,2.0,default
0.5,2.5,1.0,5.0,remov
0.25,2.0,3.0,8.0,memori
0.5,0.5,1.0,1.0,put
0.3333333333333333,0.6666666666666666,2.0,2.0,batch
0.5,0.5,1.0,1.0,method
0.3333333333333333,1.0,2.0,3.0,queue
0.5,0.5,1.0,1.0,directori
0.5,0.5,1.0,1.0,amount
0.5,0.5,1.0,1.0,instanc
0.5,0.5,1.0,1.0,allow
0.25,0.75,3.0,3.0,error
0.5,0.5,1.0,1.0,push
0.5,1.0,1.0,2.0,output
0.5,0.5,1.0,1.0,top
