TF,DF,Word
2,2,code
1,1,rotat
1,1,text
2,2,consum
3,2,kill
4,3,multiplex
2,1,abil
4,3,implement
3,1,hbase
4,3,disk
2,2,help
1,1,delay
1,1,group
1,1,expos
1,1,transact
2,2,send
4,4,filechannel
2,2,list
1,1,tail
1,1,program
3,2,save
1,1,match
35,22,sourc
5,5,return
2,2,downstream
3,2,format
2,2,read
4,4,stop
8,4,exception
3,3,break
2,2,mention
1,1,know
3,3,failur
1,1,report
5,3,restart
1,1,insert
3,2,experi
2,1,acquisit
2,1,emb
1,1,revert
1,1,provid
3,2,diskfailov
5,2,mode
1,1,timeout
4,3,lose
4,3,output
1,1,complet
2,1,remov
2,1,failov
1,1,work
1,1,resum
2,2,back
1,1,fanout
4,4,expect
1,1,respons
14,11,fail
4,4,close
3,3,happen
14,8,collector
16,14,event
3,1,append
13,6,hdfs
4,3,detect
2,2,appear
2,1,space
3,3,miss
1,1,current
1,1,delet
6,5,state
2,2,exit
2,2,condit
2,2,size
1,1,machin
3,3,driver
2,2,gener
1,1,bodi
4,4,step
39,24,sink
2,2,trunk
2,2,releas
1,1,path
4,4,throw
7,6,valu
1,1,thrift
3,3,continu
1,1,search
2,1,zip
4,3,thread
2,1,host
2,1,ingest
1,1,manag
6,5,recov
1,1,instanc
2,2,context
3,2,heartbeat
8,6,chang
11,8,assign
2,1,block
3,3,load
1,1,semant
1,1,prevent
3,3,number
1,1,system
2,2,interface
2,1,netcat
1,1,open
2,1,select
4,2,duplic
2,1,jdbc
1,1,coupl
6,4,memori
2,2,support
1,1,decomiss
5,5,add
7,5,messag
1,1,lifecycle
1,1,compon
6,5,start
10,8,master
3,3,handl
1,1,paramet
1,1,flume
1,1,properli
1,1,consol
1,1,unexpect
2,2,forc
1,1,sync
1,1,upgrad
4,2,translat
1,1,loss
1,1,catch
6,6,hold
1,1,count
1,1,outofmemory
1,1,multi
7,6,default
2,2,setup
6,6,properti
8,5,batch
7,3,charact
1,1,non-determin
5,3,record
1,1,remain
1,1,limit
10,7,error
4,4,problem
3,3,loop
2,2,connect
1,1,featur
2,2,conf
6,5,creat
9,5,process
2,1,lock
1,1,deliv
21,14,agent
1,1,replac
1,1,exist
24,15,file
4,3,escapedcustomdf
1,1,null
1,1,agenteechain
1,1,check
1,1,declar
1,1,result
3,2,decor
1,1,multipl
1,1,lib
1,1,header
2,2,detail
2,1,port
8,7,write
1,1,field
1,1,chann
1,1,build
1,1,branch
5,4,test
1,1,ignor
57,39,config
26,13,channel
4,3,updat
34,16,node
1,1,map
1,1,begin
3,3,allow
1,1,exec
1,1,watch
1,1,class
2,2,enter
4,3,hang
1,1,capabl
2,2,user
1,1,commit
1,1,end
5,3,selector
12,9,data
2,2,grow
1,1,dataloss
1,1,alloc
2,2,attempt
1,1,flow
1,1,exampl
5,4,command
2,2,clean
5,5,time
1,1,invari
1,1,stick
