TF,DF,Word
1,1,jira
1,1,code
1,1,paus
2,2,lack
3,2,consum
2,2,remov
7,3,hadoop
2,2,report
4,3,kill
4,3,reconnect
9,4,hbase
1,1,pointer
2,1,paramet
1,1,content
3,3,depend
6,4,transact
6,6,send
5,4,filechannel
3,2,tail
2,1,program
2,1,requir
1,1,persist
36,21,sourc
10,9,return
3,3,downstream
6,6,handl
3,2,stop
4,3,break
2,2,mention
1,1,know
2,1,background
9,8,failur
7,4,interrupt
1,1,affect
1,1,runnabl
8,5,restart
1,1,loss
1,1,experi
1,1,emb
1,1,bucketwrit
5,3,list
1,1,patch
2,1,collect
2,2,race
5,4,mode
3,2,lose
1,1,async
1,1,dataloss
1,1,manag
1,1,truncat
1,1,mean
2,1,underli
2,2,correct
1,1,abil
1,1,replac
3,3,startup
5,4,continu
1,1,wrap
2,2,repeat
3,2,connect
1,1,someth
5,2,corrupt
12,10,close
10,8,happen
3,2,channelprocessor
10,9,collector
23,14,event
10,4,append
17,9,hdfs
6,6,detect
1,1,network
25,10,channel
1,1,miss
2,2,avoid
2,2,current
1,1,delet
4,4,state
4,3,exit
2,1,rpcclient
2,2,condit
1,1,size
3,3,method
3,2,machin
2,2,driver
1,1,gener
3,3,bodi
6,2,host
2,2,base
50,26,sink
4,3,address
1,1,put
2,1,path
33,23,throw
2,1,valu
1,1,directdriv
6,2,thread
1,1,step
7,6,recov
1,1,instanc
3,3,implement
1,1,produc
3,3,block
1,1,respond
1,1,fix
1,1,failov
1,1,trunk
1,1,number
1,1,surviv
3,3,expect
4,2,reopen
1,1,shutdown
2,1,cancel
1,1,chang
1,1,open
1,1,select
3,2,duplic
4,1,checkpoint
1,1,jdbc
1,1,zip
3,3,memori
1,1,support
2,2,add
8,5,messag
8,6,class
4,2,compon
1,1,attach
9,7,master
1,1,resum
6,4,start
1,1,store
1,1,sort
1,1,properli
1,1,consol
1,1,unexpect
2,2,relat
1,1,idea
1,1,provid
2,1,flag
3,2,pars
2,2,translat
11,7,catch
3,3,hold
3,3,outofmemory
62,32,exception
1,1,default
2,2,setup
3,2,work
3,3,batch
5,4,charact
2,2,outofmemori
1,1,replay
19,16,error
1,1,dorollback
6,5,problem
1,1,servic
4,4,loop
5,5,result
1,1,function
1,1,featur
1,1,supervisor
1,1,conf
7,6,creat
4,4,process
11,9,agent
8,7,fail
1,1,memorychannel
3,3,exist
31,17,file
2,2,rollback
2,2,serial
2,2,null
1,1,agenteechain
5,5,check
1,1,fill
4,3,queue
1,1,decor
2,1,multipl
1,1,lib
2,2,perform
3,2,write
1,1,prevent
3,2,header
4,2,detail
2,1,port
1,1,delay
4,4,read
2,2,valid
5,4,test
1,1,environ
18,12,config
1,1,singl
3,2,updat
27,18,node
4,2,map
1,1,begin
1,1,regard
1,1,clean
5,4,trace
1,1,watch
3,2,noclassdeffounderror
2,2,time
4,3,hang
2,1,user
1,1,netcat
5,5,data
1,1,lifecycle
3,3,appear
2,2,spool
5,5,attempt
2,2,scenario
3,3,directori
2,2,flow
3,2,clobber
2,1,assign
2,2,exampl
3,2,command
2,2,allow
2,1,enter
1,1,push
1,1,invari
1,1,order
2,2,stick
