TF,DF,Word
1,1,code
3,1,rotat
1,1,lack
1,1,report
1,1,kill
1,1,depend
1,1,monitor
1,1,fix
3,2,filechannel
12,6,sourc
1,1,return
1,1,bucketwrit
1,1,watch
1,1,break
1,1,failur
2,2,interrupt
2,2,affect
2,1,race
1,1,mode
1,1,respond
1,1,prevent
1,1,set
2,1,retransmit
3,3,connect
4,3,fail
8,8,close
7,6,happen
2,2,collector
3,2,port
1,1,hdfs
4,4,detect
3,3,appear
3,2,channel
1,1,avoid
1,1,current
3,3,state
2,2,exit
2,1,rpcclient
4,2,condit
3,2,method
1,1,driver
1,1,host
11,8,sink
1,1,put
2,2,throw
1,1,roller
1,1,thrift
9,7,thread
1,1,step
1,1,amount
2,1,heartbeat
2,2,implement
10,7,block
1,1,load
1,1,failov
1,1,acquisit
3,2,shutdown
3,2,cancel
2,2,chang
2,2,open
2,1,start
1,1,checkpoint
1,1,attach
2,2,master
1,1,function
1,1,consol
2,2,relat
5,5,agent
1,1,catch
2,2,hold
7,3,exception
1,1,setup
1,1,work
1,1,charact
2,2,error
2,2,problem
12,8,deadlock
2,2,expect
5,3,lock
1,1,indic
2,2,file
1,1,serial
1,1,decor
2,1,newlin
1,1,lib
2,1,hadoop
3,3,event
1,1,handl
2,2,test
4,4,config
1,1,singl
9,8,node
2,2,repeat
1,1,stop
2,2,time
10,7,hang
1,1,data
2,2,class
1,1,network
4,3,attempt
1,1,read
1,1,allow
1,1,enter
2,1,decommiss
