TF,DF,Word
2,2,load
1,1,eventqueu
2,1,reconnect
4,1,process
1,1,lock
1,1,consum
2,1,paus
1,1,lack
1,1,system
1,1,cluster
6,2,replay
1,1,kill
1,1,send
9,4,file
2,2,fail
2,2,happen
2,2,collector
5,4,event
3,3,size
1,1,hdfs
1,1,slow
1,1,queue
1,1,downstream
8,3,memori
1,1,perform
1,1,pointer
1,1,someth
1,1,remain
1,1,messag
2,1,checkpoint
2,2,start
1,1,add
2,1,master
1,1,requir
1,1,branch
2,2,test
1,1,fill
2,2,config
1,1,method
9,4,channel
4,4,node
9,4,sourc
2,2,return
2,2,trace
1,1,outofmemory
1,1,buffer
2,2,time
1,1,driver
3,3,exception
2,1,improve
1,1,sort
1,1,bodi
1,1,detect
4,3,sink
1,1,failur
1,1,releas
1,1,affect
2,2,grow
1,1,valu
1,1,thrift
1,1,continu
1,1,insert
1,1,alloc
1,1,tail
1,1,attempt
1,1,scenario
2,1,default
5,1,remov
5,3,batch
1,1,server
1,1,non-determin
2,2,outofmemori
1,1,amount
1,1,block
1,1,allow
1,1,error
1,1,push
1,1,heartbeat
1,1,loop
1,1,connect
