TF,DF,Word
2,2,code
2,1,rotat
1,1,lack
2,1,indic
3,2,interrupt
3,3,kill
1,1,reconnect
2,2,hbase
3,2,disk
1,1,paramet
1,1,involv
1,1,content
1,1,scenerio
3,2,middl
3,2,depend
3,1,monitor
1,1,expos
6,3,field
20,13,hdfs
15,8,transact
4,1,writer
1,1,solut
8,4,send
5,4,filechannel
5,4,list
2,1,add
4,4,pend
2,2,requir
1,1,input
2,2,save
2,2,match
1,1,build
29,16,sourc
2,2,crash
2,2,string
1,1,downstream
5,4,format
10,9,handl
1,1,watch
3,2,multi
1,1,break
3,2,background
2,2,failur
3,3,report
1,1,affect
2,1,runnabl
5,3,restart
1,1,insert
2,2,name
2,1,bucketwrit
1,1,revert
1,1,server
1,1,eventqueu
4,3,default
1,1,race
2,2,mode
1,1,timeout
6,6,lose
4,3,output
2,1,lifecycle
1,1,complet
1,1,setup
1,1,truncat
2,2,mean
1,1,respond
1,1,prevent
2,2,set
1,1,retransmit
3,2,replac
1,1,startup
5,5,continu
1,1,group
1,1,consum
1,1,second
1,1,fanout
6,6,expect
7,6,flush
12,11,fail
13,8,close
2,2,happen
1,1,patch
7,4,collector
1,1,port
1,1,transport
5,2,index
4,4,detect
1,1,network
16,12,channel
3,3,assum
2,2,boundari
4,4,current
4,2,delet
3,3,state
7,5,exit
3,2,reader
2,1,duplic
3,2,method
2,2,refer
1,1,machin
1,1,hang
2,2,bodi
1,1,host
3,3,base
43,25,sink
1,1,async
5,2,put
3,3,path
1,1,throw
1,1,valu
1,1,improve
2,1,search
1,1,produc
1,1,zip
1,1,thread
1,1,slow
1,1,ingest
8,5,queue
3,2,idl
1,1,instanc
6,3,elasticsearch
1,1,context
5,4,commit
8,6,implement
2,2,assign
6,5,block
1,1,load
2,1,fix
2,2,failov
1,1,trunk
2,2,encod
1,1,system
2,1,sync
2,1,header
9,6,messag
1,1,shutdown
1,1,cancel
2,2,open
2,2,durabl
2,1,size
11,6,checkpoint
2,1,directdriv
2,2,memori
3,3,rollback
1,1,decomiss
8,4,tail
1,1,htabl
2,1,class
1,1,compon
7,6,start
11,4,master
1,1,roller
2,1,termin
1,1,attach
2,2,store
1,1,includ
1,1,flume
3,2,memorychannel
1,1,back
1,1,flag
2,2,pars
1,1,translat
1,1,hold
3,3,count
4,3,exception
2,2,provid
11,6,remov
5,3,properti
11,6,bucket
5,4,batch
9,7,charact
1,1,invok
3,2,replay
1,1,limit
7,7,error
1,1,dorollback
9,7,problem
4,2,servic
1,1,loop
5,4,connect
2,1,function
1,1,featur
2,1,supervisor
1,1,conf
2,2,creat
5,5,process
1,1,lock
9,6,agent
1,1,corrupt
1,1,tag
33,19,file
3,1,deliv
6,6,return
2,2,serial
3,3,work
1,1,agenteechain
4,2,check
4,4,result
2,2,recov
1,1,decor
1,1,end
2,1,newlin
1,1,perform
1,1,amount
21,16,event
13,11,write
5,5,read
1,1,chann
3,2,append
1,1,branch
2,2,test
2,2,ignor
11,8,config
1,1,singl
1,1,updat
14,6,node
1,1,map
1,1,trace
1,1,exec
8,6,buffer
4,3,stop
3,2,object
5,2,reach
1,1,user
3,2,selector
15,12,data
2,2,chang
3,2,rollsiz
1,1,appear
4,3,spool
3,3,attempt
1,1,scenario
5,4,directori
2,2,entri
3,2,miss
1,1,flow
2,2,disabl
2,2,issu
1,1,declar
2,2,command
1,1,clean
6,5,time
2,2,push
5,3,decommiss
2,1,hadoop
3,3,order
1,1,abil
4,4,stick
