TF,DF,Word
1,1,code
3,1,queri
1,1,implement
7,2,hbase
2,2,depend
1,1,monitor
1,1,transact
1,1,solut
2,2,send
2,2,filechannel
1,1,add
1,1,program
9,8,sourc
1,1,return
1,1,format
2,1,handl
1,1,know
1,1,restart
1,1,loss
1,1,patch
1,1,default
1,1,async
1,1,underli
1,1,second
4,3,replay
3,3,result
2,1,close
1,1,happen
6,4,event
4,2,hdfs
1,1,detect
1,1,network
1,1,content
1,1,state
2,1,condit
1,1,machin
10,4,sink
1,1,releas
1,1,path
6,4,improve
1,1,thread
1,1,recov
1,1,chang
1,1,disabl
1,1,block
1,1,load
2,2,number
1,1,interface
1,1,wrap
1,1,size
4,2,jdbc
1,1,support
2,1,system
1,1,htabl
6,3,checkpoint
1,1,start
1,1,master
1,1,includ
1,1,forc
1,1,pars
4,4,provid
2,2,batch
1,1,non-determin
2,1,invok
2,1,error
2,1,loop
2,2,expect
2,2,creat
11,5,file
2,2,fill
1,1,queue
9,5,perform
1,1,detail
4,2,write
1,1,branch
5,3,test
7,4,config
10,6,channel
1,1,updat
5,2,node
2,2,begin
1,1,repeat
3,2,buffer
1,1,driver
3,2,capabl
1,1,user
2,1,data
1,1,lifecycle
2,1,alloc
2,2,assign
2,1,command
1,1,allow
1,1,time
