TF,DF,Word
3,3,jira
1,1,code
1,1,rotat
1,1,lack
2,2,cross
1,1,reconnect
1,1,scenerio
1,1,monitor
2,2,transact
2,1,writer
2,2,filechannel
3,2,tail
1,1,input
16,8,sourc
8,6,return
2,2,tthreadpoolserv
1,1,handl
3,3,stop
4,3,failur
6,3,interrupt
1,1,loss
2,2,name
3,2,bucketwrit
1,1,server
19,12,race
1,1,singl
2,2,refer
1,1,manag
1,1,truncat
1,1,mean
2,1,retransmit
1,1,idea
1,1,replay
1,1,result
1,1,flush
4,4,fail
6,6,close
6,5,happen
8,5,collector
7,5,event
1,1,append
8,3,hdfs
2,2,detect
1,1,appear
1,1,avoid
2,2,current
1,1,state
2,2,exit
2,1,reader
18,10,condit
2,1,experi
5,4,method
1,1,mode
5,4,hang
3,3,base
21,12,sink
2,1,address
3,3,throw
7,2,thrift
9,4,thread
3,3,implement
1,1,produc
4,4,block
4,2,semant
1,1,fix
1,1,upgrad
3,3,shutdown
3,2,linux
2,1,cancel
2,2,unit
4,4,duplic
1,1,compon
1,1,coupl
2,2,memori
4,3,system
2,1,messag
1,1,checkpoint
7,4,start
1,1,master
2,2,rhel
1,1,includ
1,1,sort
1,1,memorychannel
1,1,consol
3,3,relat
2,1,flag
3,3,agent
2,2,crea
1,1,hold
2,2,reset
11,9,exception
1,1,setup
1,1,work
2,1,bucket
4,1,record
1,1,remain
1,1,error
2,1,problem
2,1,deadlock
1,1,expect
1,1,supervisor
3,3,creat
3,3,process
2,1,lock
1,1,indic
1,1,tag
1,1,exist
11,10,file
1,1,deliv
2,2,check
2,1,multipl
2,1,newlin
2,2,perform
2,2,hadoop
3,3,write
2,2,read
6,4,test
5,4,config
6,4,channel
1,1,updat
7,6,node
2,2,begin
2,2,regard
1,1,buffer
1,1,enter
1,1,driver
2,2,data
3,3,lifecycle
1,1,entri
2,2,environ
1,1,allow
3,3,time
1,1,order
