TF,DF,Word
1,1,load
1,1,eventqueu
1,1,set
2,1,paus
4,1,process
1,1,directori
1,1,continu
3,1,agent
1,1,cluster
7,3,replay
1,1,kill
1,1,connect
10,5,file
1,1,affect
1,1,fail
1,1,happen
2,1,disk
1,1,collector
3,2,event
2,2,size
1,1,hdfs
3,2,detect
1,1,trace
3,2,space
1,1,pointer
1,1,someth
1,1,system
1,1,send
1,1,filechannel
3,2,delet
1,1,tail
2,1,master
1,1,valu
2,2,test
1,1,termin
1,1,fill
1,1,start
10,5,channel
1,1,refer
1,1,node
6,3,sourc
1,1,return
1,1,downstream
2,2,handl
2,2,time
1,1,stop
3,3,exception
1,1,sort
1,1,step
1,1,slow
3,3,sink
1,1,failur
2,2,releas
1,1,netcat
1,1,hold
2,2,grow
1,1,requir
2,1,improve
2,1,checkpoint
1,1,spool
1,1,alloc
2,2,scenario
2,1,default
5,1,remov
6,1,memori
1,1,batch
1,1,method
2,2,queue
1,1,outofmemori
1,1,amount
1,1,instanc
1,1,allow
2,2,error
1,1,push
2,1,output
