TF,DF,Word
16,8,code
8,2,queri
7,4,lack
6,2,abil
4,2,spooldirectorysourc
7,7,follow
18,7,disk
6,3,hdfseventsink.process
6,2,middl
11,7,depend
20,14,send
23,9,tail
6,2,program
3,2,leav
130,45,sourc
9,5,rollback
4,2,string
10,5,downstream
7,5,spool
16,6,mechan
40,17,failur
4,4,affect
4,2,testlifecycl
37,17,implement
7,5,tri
19,8,list
40,13,race
4,3,prevent
3,2,sync
11,4,syslog
4,2,second
4,3,pass
10,3,port
33,8,append
12,3,index
9,8,appear
16,8,current
8,5,delet
4,2,version
22,9,method
4,2,rollsink
4,2,source/sink
2,2,gener
12,6,bodi
193,64,sink
6,2,address
9,4,path
6,5,becom
22,9,valu
7,6,wait
6,2,search
10,5,step
30,11,queue
6,3,amount
4,2,chann
18,10,chang
10,3,semant
12,2,writer
9,2,put
4,2,tthreadpoolserv
3,2,select
6,2,directdriv
38,12,memori
4,2,upgrad
53,29,call
4,2,rhel
24,6,type
4,2,sort
8,3,netcat
6,3,oom
3,2,henc
5,5,relat
4,4,notic
14,5,ioexcept
6,2,flag
7,7,stick
8,4,loss
4,4,hold
9,4,avrosink
11,6,setup
11,8,work
3,2,remain
4,2,dorollback
4,2,eventqueu
4,2,stream
3,3,give
32,11,process
16,6,lock
88,32,agent
2,2,want
7,4,serial
7,7,occur
7,3,multipl
8,2,newlin
8,3,secur
35,24,write
6,3,recoveri
60,19,config
7,5,updat
9,4,map
8,3,nullpointerexcept
8,4,date
2,2,end
86,32,data
3,3,grow
6,3,alloc
18,11,attempt
6,4,disabl
45,34,caus
8,5,receiv
6,3,environ
11,10,allow
6,4,enter
10,5,order
8,4,jira
12,4,rotat
2,2,cross
7,5,reconnect
45,11,hbase
4,2,pointer
8,3,paramet
6,3,group
8,4,monitor
5,3,fix
4,2,precondit
6,2,runnabl
42,18,filechannel
6,2,diskfailov
4,4,pend
21,12,restart
2,2,crea
14,9,return
28,20,handl
3,3,initi
8,7,break
3,2,mention
6,3,agenteesink
14,7,interrupt
8,4,name
8,3,acquisit
3,3,drop
6,2,channelprocessor
26,9,mode
4,2,timeout
14,5,namenod
3,2,truncat
4,4,mean
8,4,failov
2,2,resum
5,5,continu
8,5,consum
3,2,wrap
27,10,replay
20,10,connect
18,17,happen
73,24,collector
134,46,event
10,5,network
6,2,space
6,5,open
10,5,content
8,2,rpcclient
6,2,reader
3,2,correct
9,8,shut
14,7,driver
2,2,free
3,2,dataloss
6,3,reason
9,9,base
3,2,releas
16,10,reconfigur
38,12,thread
11,10,keep
11,9,recov
4,4,turn
12,3,elasticsearch
8,3,heartbeat
2,2,think
12,5,oper
10,5,number
6,2,capac
5,2,reopen
46,15,messag
4,2,kerbero
7,6,miss
16,7,size
4,2,autocollectorsourc
16,6,system
4,2,htabl
49,13,checkpoint
5,3,attach
61,19,master
4,2,termin
4,3,store
4,2,sinkrunn
5,3,consol
4,2,way
12,9,specifi
16,5,selector
6,5,pars
12,9,provid
22,9,remov
14,6,charact
6,2,function
51,33,fail
10,4,memorychannel
4,2,deliv
17,13,need
13,12,seem
6,3,null
4,2,agenteechain
44,19,issu
4,2,form
3,2,lib
6,3,inform
4,2,other
6,3,exampl
3,2,build
174,48,channel
11,6,begin
6,3,trace
6,3,exec
18,9,buffer
6,2,noclassdeffounderror
5,2,object
5,2,reach
16,7,class
5,2,rollsiz
6,3,flow
14,5,collectorsink
2,2,declar
2,2,clean
5,5,show
4,2,text
7,7,find
2,2,help
2,2,involv
2,2,slow
48,15,transact
63,30,configur
4,2,solut
7,4,count
17,12,stop
6,3,dy
9,7,report
9,6,requir
4,3,enabl
3,2,emb
8,4,patch
5,5,contain
2,2,respond
6,4,set
7,4,startup
7,7,see
4,2,fanout
22,14,result
4,2,respons
7,3,corrupt
34,24,close
4,2,statu
6,4,detect
4,2,someth
28,13,state
7,4,attribut
4,4,come
4,2,roller
6,3,instanc
4,2,context
14,7,improv
9,6,load
8,2,point
4,2,hyphen
6,3,trunk
12,4,header
9,5,shutdown
6,2,linux
5,2,cancel
26,8,execsourc
3,3,assum
15,7,duplic
4,2,coupl
3,2,decomiss
18,6,compon
6,2,datanod
18,4,thrift
6,2,hdfscompresseddatastream
15,8,catch
28,12,case
8,3,multi
4,4,look
10,3,servic
10,5,properti
15,6,batch
109,31,hdf
4,2,invok
4,2,behavior
74,32,error
5,5,observ
15,7,loop
19,6,avro
6,2,destin
4,2,cluster
6,3,conf
8,3,escapedcustomdf
3,2,crash
12,5,decor
26,10,perform
18,14,make
20,5,hadoop
14,5,bucketwrit
2,2,complet
4,2,http
21,10,hang
9,4,user
6,3,stack
8,4,scenario
5,3,entri
3,2,clobber
24,7,client
17,7,command
8,3,gzip
5,2,paus
4,4,execut
10,8,kill
4,3,multiplex
18,7,tailsourc
4,2,scenerio
2,2,expos
106,32,except
7,7,add
2,2,valid
4,2,input
9,5,save
3,3,match
4,2,channelexcept
11,4,format
10,8,read
2,2,know
12,4,background
2,2,insert
4,2,flum
8,4,server
3,2,collect
4,2,singl
14,12,lose
13,5,output
4,2,manag
3,2,underli
5,2,retransmit
6,3,creation
2,2,back
12,7,flush
4,3,guarante
6,2,transport
10,10,lead
3,2,avoid
6,3,track
17,8,retri
13,9,exit
4,2,unit
42,13,condit
11,7,refer
12,5,machin
18,14,run
4,2,usag
18,4,host
6,3,async
4,2,outofmemoryerror
4,2,subsink
41,28,throw
18,3,ack
3,2,ingest
8,3,illegalstateexcept
5,2,idl
10,4,lifecycl
11,5,commit
3,3,produc
26,16,block
2,2,encod
5,5,ensur
4,2,durabl
14,4,jdbc
39,19,log
19,10,support
36,21,start
4,2,interfac
3,3,includ
4,2,lot
8,4,replac
2,2,fork
2,2,properli
3,2,unexpect
2,2,forc
4,3,regard
4,2,idea
10,3,translat
20,6,line
2,2,reset
22,10,default
25,7,bucket
4,2,non-determin
17,5,record
3,2,limit
36,15,problem
22,8,deadlock
8,8,expect
6,3,featur
8,3,supervisor
17,14,creat
5,4,exist
223,67,file
14,9,check
4,3,fill
8,2,encrypt
6,3,rpcsourc
4,2,hdfssink
10,2,logj
14,4,field
18,8,hdfseventsink
6,2,syslogtcpsourcethread
46,20,test
4,2,propertiesfileconfigurationprovid
28,10,roll
120,32,node
4,3,repeat
3,2,stay
18,8,directori
4,3,ignor
37,19,time
4,4,push
7,3,decommiss
4,2,invari
