IDF,TF*IDF,DF,TF,Word
0.09090909090909091,1.0,10.0,11.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,skip
0.14285714285714285,0.8571428571428571,6.0,6.0,follow
0.1111111111111111,1.5555555555555554,8.0,14.0,compact
0.5,0.5,1.0,1.0,depend
0.25,1.0,3.0,4.0,send
0.3333333333333333,1.0,2.0,3.0,queri
0.125,0.875,7.0,7.0,introduc
0.1,1.5,9.0,15.0,sourc
0.5,0.5,1.0,1.0,rollback
0.2,1.2000000000000002,4.0,6.0,string
0.16666666666666666,1.0,5.0,6.0,offlin
0.3333333333333333,0.6666666666666666,2.0,2.0,util
0.125,1.375,7.0,11.0,implement
0.3333333333333333,1.0,2.0,3.0,splitter
0.5,0.5,1.0,1.0,level
0.3333333333333333,0.6666666666666666,2.0,2.0,hbck
0.125,1.125,7.0,9.0,list
0.5,0.5,1.0,1.0,iter
0.09090909090909091,1.0,10.0,11.0,race
0.3333333333333333,1.0,2.0,3.0,verif
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.3333333333333333,0.6666666666666666,2.0,2.0,sync
0.25,0.75,3.0,3.0,second
0.14285714285714285,1.0,6.0,7.0,pass
0.2,2.0,4.0,10.0,port
0.5,0.5,1.0,1.0,append
0.25,1.0,3.0,4.0,hdfs
0.3333333333333333,0.6666666666666666,2.0,2.0,current
0.0625,1.375,15.0,22.0,delet
0.16666666666666666,1.0,5.0,6.0,version
0.3333333333333333,0.6666666666666666,2.0,2.0,method
0.5,1.0,1.0,2.0,gener
0.25,1.5,3.0,6.0,address
0.14285714285714285,1.0,6.0,7.0,path
0.25,0.75,3.0,3.0,valu
0.043478260869565216,1.0869565217391304,22.0,25.0,wait
0.3333333333333333,0.6666666666666666,2.0,2.0,daughter
0.3333333333333333,0.6666666666666666,2.0,2.0,step
0.25,1.75,3.0,7.0,queue
0.5,0.5,1.0,1.0,pick
0.1111111111111111,1.0,8.0,9.0,chang
0.5,1.0,1.0,2.0,chanc
0.5,1.0,1.0,2.0,writer
0.5,1.0,1.0,2.0,jar
0.1111111111111111,1.0,8.0,9.0,transit
0.3333333333333333,0.6666666666666666,2.0,2.0,put
0.5,0.5,1.0,1.0,api
0.5,0.5,1.0,1.0,famili
0.3333333333333333,0.6666666666666666,2.0,2.0,unit
0.1111111111111111,1.1111111111111112,8.0,10.0,memori
0.5,0.5,1.0,1.0,give
0.25,0.75,3.0,3.0,upgrad
0.05,1.4000000000000001,19.0,28.0,handler
0.0625,1.8125,15.0,29.0,call
0.2,0.8,4.0,4.0,type
0.125,1.25,7.0,10.0,rit
0.3333333333333333,0.6666666666666666,2.0,2.0,relat
0.14285714285714285,0.8571428571428571,6.0,6.0,notic
0.07692307692307693,1.0,12.0,13.0,stick
0.16666666666666666,1.0,5.0,6.0,hold
0.3333333333333333,1.0,2.0,3.0,restor
0.25,0.75,3.0,3.0,setup
0.08333333333333333,1.1666666666666665,11.0,14.0,work
0.3333333333333333,0.6666666666666666,2.0,2.0,descriptor
0.06666666666666667,1.4,14.0,21.0,root
0.3333333333333333,1.0,2.0,3.0,control
0.14285714285714285,1.2857142857142856,6.0,9.0,stream
0.5,0.5,1.0,1.0,scan
0.07692307692307693,1.153846153846154,12.0,15.0,process
0.2,2.0,4.0,10.0,lock
0.05263157894736842,1.263157894736842,18.0,24.0,abort
0.1111111111111111,0.8888888888888888,8.0,8.0,onlin
0.16666666666666666,1.0,5.0,6.0,occur
0.058823529411764705,1.8235294117647058,16.0,31.0,recov
0.25,0.75,3.0,3.0,multipl
0.5,0.5,1.0,1.0,secur
0.2,1.6,4.0,8.0,write
0.3333333333333333,1.6666666666666665,2.0,5.0,answer
0.2,0.8,4.0,4.0,config
0.25,0.75,3.0,3.0,updat
0.2,1.4000000000000001,4.0,7.0,map
0.5,1.0,1.0,2.0,clone
0.25,1.0,3.0,4.0,catalog
0.2,0.8,4.0,4.0,end
0.047619047619047616,1.2380952380952381,20.0,26.0,data
0.3333333333333333,0.6666666666666666,2.0,2.0,parallel
