IDF,TF*IDF,DF,TF,Word
0.25,0.75,3.0,3.0,serv
0.058823529411764705,1.1176470588235294,16.0,19.0,oper
0.1111111111111111,0.8888888888888888,8.0,8.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,help
0.5,0.5,1.0,1.0,show
0.1111111111111111,1.0,8.0,9.0,edit
0.1111111111111111,1.4444444444444444,8.0,13.0,move
0.3333333333333333,0.6666666666666666,2.0,2.0,obtain
0.25,1.75,3.0,7.0,rest
0.5,0.5,1.0,1.0,jar
0.2,0.8,4.0,4.0,interrupt
0.5,0.5,1.0,1.0,prefix
0.5,0.5,1.0,1.0,concurr
0.16666666666666666,1.0,5.0,6.0,meta
0.5,1.5,1.0,3.0,ttl
0.1111111111111111,0.8888888888888888,8.0,8.0,follow
0.037037037037037035,1.6296296296296295,26.0,44.0,hbase
0.3333333333333333,0.6666666666666666,2.0,2.0,disk
0.0625,1.0,15.0,16.0,find
0.14285714285714285,1.5714285714285714,6.0,11.0,count
0.16666666666666666,1.8333333333333333,5.0,11.0,compact
0.2,0.8,4.0,4.0,access
0.5,0.5,1.0,1.0,occur
0.16666666666666666,0.8333333333333333,5.0,5.0,locat
0.5,0.5,1.0,1.0,monitor
0.3333333333333333,0.6666666666666666,2.0,2.0,async
0.3333333333333333,0.6666666666666666,2.0,2.0,polici
0.125,1.375,7.0,11.0,fix
0.25,1.0,3.0,4.0,writer
0.3333333333333333,0.6666666666666666,2.0,2.0,apach
0.25,0.75,3.0,3.0,send
0.25,0.75,3.0,3.0,discuss
0.1,1.1,9.0,11.0,add
0.5,0.5,1.0,1.0,tracker
0.5,0.5,1.0,1.0,requir
0.25,1.0,3.0,4.0,queri
0.3333333333333333,1.0,2.0,3.0,input
0.3333333333333333,1.0,2.0,3.0,local
0.5,0.5,1.0,1.0,leak
0.5,0.5,1.0,1.0,introduc
0.25,0.75,3.0,3.0,build
0.0625,1.0625,15.0,17.0,case
0.25,1.25,3.0,5.0,sourc
0.05555555555555555,1.5555555555555554,17.0,28.0,return
0.3333333333333333,1.3333333333333333,2.0,4.0,string
0.25,1.25,3.0,5.0,format
0.08333333333333333,1.0,11.0,12.0,read
0.2,1.4000000000000001,4.0,7.0,timestamp
0.25,0.75,3.0,3.0,end
0.16666666666666666,1.6666666666666665,5.0,10.0,offlin
0.5,1.0,1.0,2.0,util
0.3333333333333333,1.3333333333333333,2.0,4.0,sort
0.14285714285714285,1.857142857142857,6.0,13.0,size
0.5,0.5,1.0,1.0,progress
0.14285714285714285,1.1428571428571428,6.0,8.0,report
0.09090909090909091,1.0,10.0,11.0,implement
0.2,0.8,4.0,4.0,restart
0.2,1.4000000000000001,4.0,7.0,enabl
0.5,0.5,1.0,1.0,logic
0.5,0.5,1.0,1.0,splitter
0.1111111111111111,1.0,8.0,9.0,regionserv
0.1111111111111111,1.7777777777777777,8.0,16.0,name
0.5,0.5,1.0,1.0,hook
0.125,1.125,7.0,9.0,hbck
0.5,0.5,1.0,1.0,event
0.25,1.25,3.0,5.0,cell
0.14285714285714285,1.5714285714285714,6.0,11.0,list
0.14285714285714285,1.2857142857142856,6.0,9.0,hmaster
0.5,0.5,1.0,1.0,iter
0.043478260869565216,1.391304347826087,22.0,32.0,server
0.3333333333333333,1.3333333333333333,2.0,4.0,collect
0.09090909090909091,1.0,10.0,11.0,race
0.5,0.5,1.0,1.0,phase
0.25,1.0,3.0,4.0,mode
0.3333333333333333,0.6666666666666666,2.0,2.0,timeout
0.5,0.5,1.0,1.0,contain
0.25,0.75,3.0,3.0,found
0.3333333333333333,0.6666666666666666,2.0,2.0,drop
0.125,0.875,7.0,7.0,manag
0.3333333333333333,1.0,2.0,3.0,depend
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.1111111111111111,0.8888888888888888,8.0,8.0,set
0.16666666666666666,1.3333333333333333,5.0,8.0,zookeeper
0.2,0.8,4.0,4.0,peer
0.125,0.875,7.0,7.0,sync
0.08333333333333333,1.25,11.0,15.0,memstor
0.5,0.5,1.0,1.0,group
0.5,0.5,1.0,1.0,reader
0.16666666666666666,1.3333333333333333,5.0,8.0,replay
0.25,0.75,3.0,3.0,connect
0.16666666666666666,1.1666666666666665,5.0,7.0,flush
0.05263157894736842,1.263157894736842,18.0,24.0,fail
0.25,0.75,3.0,3.0,wait
0.5,0.5,1.0,1.0,stack
0.3333333333333333,0.6666666666666666,2.0,2.0,patch
0.3333333333333333,0.6666666666666666,2.0,2.0,onlin
0.1111111111111111,1.8888888888888888,8.0,17.0,hlog
0.2,1.0,4.0,5.0,append
0.5,0.5,1.0,1.0,out
0.16666666666666666,1.6666666666666665,5.0,10.0,hdfs
0.3333333333333333,0.6666666666666666,2.0,2.0,detect
0.2,1.4000000000000001,4.0,7.0,compar
0.3333333333333333,0.6666666666666666,2.0,2.0,defin
0.09090909090909091,0.9090909090909092,10.0,10.0,miss
0.3333333333333333,0.6666666666666666,2.0,2.0,someth
0.5,0.5,1.0,1.0,develop
0.2,0.8,4.0,4.0,ignor
0.14285714285714285,0.8571428571428571,6.0,6.0,current
