IDF,TF*IDF,DF,TF,Word
0.047619047619047616,1.0952380952380951,20.0,23.0,code
0.2,1.8,4.0,9.0,skip
0.16666666666666666,0.8333333333333333,5.0,5.0,consum
0.25,1.25,3.0,5.0,prefix
0.09090909090909091,0.9090909090909092,10.0,10.0,follow
0.2,0.8,4.0,4.0,disk
0.03125,2.09375,31.0,67.0,compact
0.5,0.5,1.0,1.0,depend
0.3333333333333333,1.0,2.0,3.0,leas
0.16666666666666666,0.8333333333333333,5.0,5.0,send
0.08333333333333333,1.0,11.0,12.0,queri
0.125,0.875,7.0,7.0,introduc
0.07692307692307693,1.153846153846154,12.0,15.0,sourc
0.5,1.0,1.0,2.0,rollback
0.3333333333333333,0.6666666666666666,2.0,2.0,string
0.25,1.0,3.0,4.0,offlin
0.14285714285714285,0.8571428571428571,6.0,6.0,util
0.25,1.0,3.0,4.0,splitter
0.2,0.8,4.0,4.0,level
0.16666666666666666,1.6666666666666665,5.0,10.0,hbck
0.06666666666666667,1.2,14.0,18.0,list
0.16666666666666666,0.8333333333333333,5.0,5.0,iter
0.3333333333333333,0.6666666666666666,2.0,2.0,concurr
0.25,0.75,3.0,3.0,verif
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.1,1.3,9.0,13.0,sync
0.07692307692307693,1.076923076923077,12.0,14.0,second
0.14285714285714285,1.0,6.0,7.0,pass
0.14285714285714285,1.0,6.0,7.0,port
0.16666666666666666,1.0,5.0,6.0,append
0.1,1.4000000000000001,9.0,14.0,hdfs
0.2,1.0,4.0,5.0,compar
0.16666666666666666,1.1666666666666665,5.0,7.0,access
0.1,1.6,9.0,16.0,delet
0.1,1.2000000000000002,9.0,12.0,version
0.1,1.3,9.0,13.0,method
0.5,1.5,1.0,3.0,cleaner
0.16666666666666666,1.3333333333333333,5.0,8.0,gener
0.125,0.875,7.0,7.0,trunk
0.16666666666666666,1.3333333333333333,5.0,8.0,path
0.07142857142857142,1.5,13.0,21.0,valu
0.07142857142857142,1.0714285714285714,13.0,15.0,wait
0.3333333333333333,1.0,2.0,3.0,daughter
0.2,1.2000000000000002,4.0,6.0,host
0.1111111111111111,1.3333333333333333,8.0,12.0,queue
0.3333333333333333,0.6666666666666666,2.0,2.0,pick
0.5,1.0,1.0,2.0,action
0.043478260869565216,1.2608695652173914,22.0,29.0,implement
0.5,0.5,1.0,1.0,chanc
0.3333333333333333,1.3333333333333333,2.0,4.0,writer
0.16666666666666666,0.8333333333333333,5.0,5.0,solut
0.25,1.0,3.0,4.0,transit
0.25,0.75,3.0,3.0,releas
0.2,0.8,4.0,4.0,api
0.16666666666666666,0.8333333333333333,5.0,5.0,famili
0.14285714285714285,1.7142857142857142,6.0,12.0,select
0.047619047619047616,1.2380952380952381,20.0,26.0,memori
0.1111111111111111,1.0,8.0,9.0,give
0.3333333333333333,0.6666666666666666,2.0,2.0,upgrad
0.14285714285714285,1.4285714285714284,6.0,10.0,handler
0.034482758620689655,1.5172413793103448,28.0,44.0,call
0.25,0.75,3.0,3.0,type
0.5,0.5,1.0,1.0,rit
0.3333333333333333,1.0,2.0,3.0,sort
0.3333333333333333,0.6666666666666666,2.0,2.0,relat
0.125,1.0,7.0,8.0,notic
0.3333333333333333,0.6666666666666666,2.0,2.0,stick
0.14285714285714285,0.8571428571428571,6.0,6.0,hold
0.25,1.0,3.0,4.0,restor
0.25,0.75,3.0,3.0,setup
0.09090909090909091,1.0909090909090908,10.0,12.0,work
0.25,1.0,3.0,4.0,descriptor
0.5,0.5,1.0,1.0,root
0.16666666666666666,1.5,5.0,9.0,stream
0.041666666666666664,1.6666666666666665,23.0,40.0,scan
0.0625,0.9375,15.0,15.0,process
0.058823529411764705,1.6470588235294117,16.0,28.0,lock
0.1111111111111111,1.0,8.0,9.0,share
0.3333333333333333,0.6666666666666666,2.0,2.0,abort
0.25,0.75,3.0,3.0,onlin
0.2,0.8,4.0,4.0,occur
0.045454545454545456,2.0,21.0,44.0,filter
0.06666666666666667,1.2666666666666666,14.0,19.0,multipl
0.5,0.5,1.0,1.0,secur
0.041666666666666664,1.3333333333333333,23.0,32.0,write
0.2,0.8,4.0,4.0,answer
0.1111111111111111,1.5555555555555554,8.0,14.0,config
0.14285714285714285,1.1428571428571428,6.0,8.0,updat
0.16666666666666666,1.1666666666666665,5.0,7.0,map
0.3333333333333333,1.0,2.0,3.0,max
0.5,0.5,1.0,1.0,clone
0.2,0.8,4.0,4.0,end
0.037037037037037035,1.4444444444444444,26.0,39.0,data
0.07692307692307693,1.0,12.0,13.0,parallel
0.2,1.2000000000000002,4.0,6.0,alloc
0.2,0.8,4.0,4.0,attempt
0.02564102564102564,1.1282051282051282,38.0,44.0,issu
0.16666666666666666,1.3333333333333333,5.0,8.0,switch
0.2,0.8,4.0,4.0,environ
0.06666666666666667,1.2,14.0,18.0,allow
0.14285714285714285,0.8571428571428571,6.0,6.0,order
0.07142857142857142,0.9285714285714285,13.0,13.0,jira
0.14285714285714285,1.1428571428571428,6.0,8.0,help
0.1111111111111111,1.222222222222222,8.0,11.0,move
0.16666666666666666,0.8333333333333333,5.0,5.0,ttl
0.010416666666666666,1.3645833333333333,95.0,131.0,hbase
0.5,0.5,1.0,1.0,group
0.25,0.75,3.0,3.0,monitor
0.3333333333333333,0.6666666666666666,2.0,2.0,polici
0.1111111111111111,1.1111111111111112,8.0,10.0,fix
0.3333333333333333,0.6666666666666666,2.0,2.0,better
0.5,0.5,1.0,1.0,window
0.5,0.5,1.0,1.0,restart
0.3333333333333333,0.6666666666666666,2.0,2.0,mail
0.1111111111111111,1.3333333333333333,8.0,12.0,return
0.0625,1.1875,15.0,19.0,handl
0.25,1.0,3.0,4.0,timestamp
0.5,0.5,1.0,1.0,initi
0.3333333333333333,0.6666666666666666,2.0,2.0,half
0.3333333333333333,0.6666666666666666,2.0,2.0,interrupt
0.08333333333333333,0.9166666666666666,11.0,11.0,discuss
0.2,1.4000000000000001,4.0,7.0,name
0.16666666666666666,2.333333333333333,5.0,14.0,edit
0.3333333333333333,1.3333333333333333,2.0,4.0,drop
0.25,1.0,3.0,4.0,hmaster
0.3333333333333333,0.6666666666666666,2.0,2.0,mode
0.08333333333333333,1.0833333333333333,11.0,13.0,timeout
0.1111111111111111,1.3333333333333333,8.0,12.0,side
0.16666666666666666,0.8333333333333333,5.0,5.0,mean
0.5,0.5,1.0,1.0,reset
0.07142857142857142,0.9285714285714285,13.0,13.0,continu
0.0625,1.6875,15.0,27.0,meta
0.25,1.0,3.0,4.0,backport
0.2,0.8,4.0,4.0,expect
