IDF,TF*IDF,DF,TF,Word
0.3333333333333333,0.6666666666666666,2.0,2.0,load
0.3333333333333333,1.0,2.0,3.0,set
0.5,0.5,1.0,1.0,scan
0.5,1.5,1.0,3.0,cluster
0.5,1.0,1.0,2.0,replica
0.5,0.5,1.0,1.0,connect
0.3333333333333333,1.3333333333333333,2.0,4.0,tabl
0.5,0.5,1.0,1.0,fail
0.3333333333333333,0.6666666666666666,2.0,2.0,hbase
0.5,0.5,1.0,1.0,event
0.5,1.0,1.0,2.0,group
0.5,0.5,1.0,1.0,trigger
0.5,1.0,1.0,2.0,custom
0.5,0.5,1.0,1.0,current
0.5,0.5,1.0,1.0,start
0.5,0.5,1.0,1.0,handler
0.5,0.5,1.0,1.0,build
0.5,0.5,1.0,1.0,test
0.5,0.5,1.0,1.0,condit
0.3333333333333333,0.6666666666666666,2.0,2.0,function
0.5,1.0,1.0,2.0,applic
0.5,0.5,1.0,1.0,sourc
0.5,0.5,1.0,1.0,deploy
0.5,0.5,1.0,1.0,relat
0.5,0.5,1.0,1.0,hang
0.5,0.5,1.0,1.0,catalog
0.5,0.5,1.0,1.0,base
0.5,0.5,1.0,1.0,user
0.5,0.5,1.0,1.0,multipl
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,improve
0.5,0.5,1.0,1.0,serv
0.5,0.5,1.0,1.0,alloc
0.5,0.5,1.0,1.0,algorithm
0.5,0.5,1.0,1.0,level
0.5,0.5,1.0,1.0,provid
0.2,1.4000000000000001,4.0,7.0,region
0.5,1.0,1.0,2.0,request
0.5,1.5,1.0,3.0,server
0.3333333333333333,0.6666666666666666,2.0,2.0,issu
0.3333333333333333,1.0,2.0,3.0,balanc
0.5,1.0,1.0,2.0,problem
0.5,1.0,1.0,2.0,assign
0.5,0.5,1.0,1.0,mean
