IDF,TF*IDF,DF,TF,Word
0.022222222222222223,1.1111111111111112,44.0,50.0,code
0.08333333333333333,1.25,11.0,15.0,skip
0.2,0.8,4.0,4.0,consum
0.125,1.125,7.0,9.0,prefix
0.02631578947368421,0.9736842105263157,37.0,37.0,follow
0.16666666666666666,0.8333333333333333,5.0,5.0,disk
0.02857142857142857,1.6285714285714286,34.0,57.0,compact
0.125,1.375,7.0,11.0,depend
0.14285714285714285,0.8571428571428571,6.0,6.0,send
0.3333333333333333,0.6666666666666666,2.0,2.0,queri
0.08333333333333333,0.9166666666666666,11.0,11.0,introduc
0.04,1.32,24.0,33.0,sourc
0.1111111111111111,1.1111111111111112,8.0,10.0,rollback
0.1111111111111111,1.4444444444444444,8.0,13.0,string
0.05555555555555555,1.2777777777777777,17.0,23.0,offlin
0.07142857142857142,1.5,13.0,21.0,util
0.14285714285714285,1.1428571428571428,6.0,8.0,splitter
0.1111111111111111,1.222222222222222,8.0,11.0,level
0.047619047619047616,1.476190476190476,20.0,31.0,hbck
0.03571428571428571,1.6428571428571428,27.0,46.0,list
0.25,0.75,3.0,3.0,iter
0.14285714285714285,2.142857142857143,6.0,15.0,session
0.1111111111111111,1.222222222222222,8.0,11.0,verif
0.09090909090909091,1.0909090909090908,10.0,12.0,prevent
0.07692307692307693,1.153846153846154,12.0,15.0,sync
0.06666666666666667,1.4666666666666666,14.0,22.0,second
0.05263157894736842,1.3684210526315788,18.0,26.0,pass
0.1,2.0,9.0,20.0,port
0.14285714285714285,1.2857142857142856,6.0,9.0,append
0.0625,1.25,15.0,20.0,index
0.16666666666666666,1.3333333333333333,5.0,8.0,compar
0.07692307692307693,1.076923076923077,12.0,14.0,access
0.023255813953488372,1.441860465116279,42.0,62.0,delet
0.05555555555555555,1.1111111111111112,17.0,20.0,version
0.03225806451612903,1.4193548387096775,30.0,44.0,method
0.16666666666666666,1.3333333333333333,5.0,8.0,cleaner
0.14285714285714285,1.0,6.0,7.0,gener
0.041666666666666664,1.0416666666666665,23.0,25.0,trunk
0.05555555555555555,1.3888888888888888,17.0,25.0,path
0.02631578947368421,1.4473684210526314,37.0,55.0,valu
0.03333333333333333,1.3666666666666667,29.0,41.0,wait
0.06666666666666667,1.6,14.0,24.0,daughter
0.1111111111111111,0.8888888888888888,8.0,8.0,step
0.06666666666666667,1.6666666666666667,14.0,25.0,queue
0.14285714285714285,0.8571428571428571,6.0,6.0,pick
0.125,1.75,7.0,14.0,action
0.05263157894736842,1.263157894736842,18.0,24.0,implement
0.125,1.0,7.0,8.0,chanc
0.16666666666666666,1.1666666666666665,5.0,7.0,writer
