IDF,TF*IDF,DF,TF,Word
0.16666666666666666,1.1666666666666665,5.0,7.0,load
0.3333333333333333,0.6666666666666666,2.0,2.0,code
0.25,0.75,3.0,3.0,paus
0.5,0.5,1.0,1.0,execut
0.5,0.5,1.0,1.0,show
0.5,0.5,1.0,1.0,skip
0.5,0.5,1.0,1.0,consum
0.5,0.5,1.0,1.0,obtain
0.5,0.5,1.0,1.0,prefix
0.5,0.5,1.0,1.0,kill
0.25,1.75,3.0,7.0,file
0.5,0.5,1.0,1.0,ttl
0.5,0.5,1.0,1.0,implement
0.1,1.5,9.0,15.0,hbase
0.3333333333333333,0.6666666666666666,2.0,2.0,find
0.5,0.5,1.0,1.0,help
0.3333333333333333,1.0,2.0,3.0,compact
0.5,0.5,1.0,1.0,access
0.25,0.75,3.0,3.0,slow
0.2,0.8,4.0,4.0,regionserv
0.3333333333333333,1.0,2.0,3.0,cache
0.5,1.0,1.0,2.0,send
0.5,0.5,1.0,1.0,better
0.25,1.0,3.0,4.0,add
0.5,0.5,1.0,1.0,queri
0.3333333333333333,0.6666666666666666,2.0,2.0,local
0.3333333333333333,0.6666666666666666,2.0,2.0,applic
0.3333333333333333,1.0,2.0,3.0,move
0.5,0.5,1.0,1.0,hit
0.5,0.5,1.0,1.0,format
0.25,0.75,3.0,3.0,read
0.5,2.0,1.0,4.0,answer
0.5,0.5,1.0,1.0,discuss
0.5,1.0,1.0,2.0,restart
0.5,0.5,1.0,1.0,enabl
0.3333333333333333,0.6666666666666666,2.0,2.0,insert
0.5,0.5,1.0,1.0,name
0.25,1.25,3.0,5.0,hbck
0.5,0.5,1.0,1.0,drop
0.25,1.25,3.0,5.0,list
0.5,0.5,1.0,1.0,iter
0.5,0.5,1.0,1.0,patch
0.3333333333333333,0.6666666666666666,2.0,2.0,race
0.5,0.5,1.0,1.0,follow
0.5,1.0,1.0,2.0,timeout
0.5,0.5,1.0,1.0,side
0.5,0.5,1.0,1.0,mean
0.3333333333333333,0.6666666666666666,2.0,2.0,prevent
0.5,0.5,1.0,1.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,zookeeper
0.5,1.0,1.0,2.0,sync
0.3333333333333333,1.0,2.0,3.0,memstor
0.3333333333333333,0.6666666666666666,2.0,2.0,second
0.3333333333333333,0.6666666666666666,2.0,2.0,meta
0.14285714285714285,1.5714285714285714,6.0,11.0,connect
0.5,0.5,1.0,1.0,pass
0.14285714285714285,1.1428571428571428,6.0,8.0,fail
0.3333333333333333,1.0,2.0,3.0,close
0.09090909090909091,2.0,10.0,22.0,server
0.5,0.5,1.0,1.0,event
0.5,0.5,1.0,1.0,index
0.25,0.75,3.0,3.0,network
0.25,1.0,3.0,4.0,lead
0.25,1.0,3.0,4.0,avoid
0.25,0.75,3.0,3.0,current
0.3333333333333333,1.3333333333333333,2.0,4.0,delet
0.5,0.5,1.0,1.0,state
0.5,0.5,1.0,1.0,version
0.5,1.0,1.0,2.0,max
0.5,0.5,1.0,1.0,progress
0.5,1.0,1.0,2.0,duplic
0.5,0.5,1.0,1.0,refer
0.5,1.5,1.0,3.0,cleaner
0.5,0.5,1.0,1.0,power
0.5,0.5,1.0,1.0,situat
0.3333333333333333,1.3333333333333333,2.0,4.0,host
0.5,0.5,1.0,1.0,base
0.5,0.5,1.0,1.0,key
0.5,0.5,1.0,1.0,trunk
0.3333333333333333,0.6666666666666666,2.0,2.0,keeper
0.5,0.5,1.0,1.0,path
0.3333333333333333,0.6666666666666666,2.0,2.0,improve
0.5,0.5,1.0,1.0,hlog
0.16666666666666666,2.6666666666666665,5.0,16.0,thread
0.05263157894736842,2.3684210526315788,18.0,45.0,region
0.125,2.0,7.0,16.0,queue
0.5,0.5,1.0,1.0,place
0.5,0.5,1.0,1.0,context
0.5,0.5,1.0,1.0,chang
0.5,0.5,1.0,1.0,backup
0.16666666666666666,1.8333333333333333,5.0,11.0,assign
0.14285714285714285,1.5714285714285714,6.0,11.0,block
0.3333333333333333,0.6666666666666666,2.0,2.0,oper
0.5,0.5,1.0,1.0,info
0.3333333333333333,0.6666666666666666,2.0,2.0,encount
0.5,0.5,1.0,1.0,encod
0.3333333333333333,0.6666666666666666,2.0,2.0,bound
0.5,0.5,1.0,1.0,put
0.3333333333333333,0.6666666666666666,2.0,2.0,rpc
0.3333333333333333,0.6666666666666666,2.0,2.0,shutdown
0.3333333333333333,0.6666666666666666,2.0,2.0,custom
0.3333333333333333,0.6666666666666666,2.0,2.0,open
0.16666666666666666,1.1666666666666665,5.0,7.0,size
0.5,1.0,1.0,2.0,stream
0.5,0.5,1.0,1.0,memori
0.25,0.75,3.0,3.0,parallel
0.125,1.0,7.0,8.0,start
