IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.2,2.2,4.0,11.0,load
0.14285714285714285,1.0,6.0,7.0,code
0.16666666666666666,1.3333333333333333,5.0,8.0,protocol
0.5,0.5,1.0,1.0,skip
0.2,1.4000000000000001,4.0,7.0,move
0.25,0.75,3.0,3.0,obtain
0.1111111111111111,1.5555555555555554,8.0,14.0,rest
0.3333333333333333,0.6666666666666666,2.0,2.0,report
0.5,0.5,1.0,1.0,upgrad
0.058823529411764705,2.0588235294117645,16.0,35.0,permiss
0.2,0.8,4.0,4.0,follow
0.03225806451612903,1.5806451612903225,30.0,49.0,hbase
0.25,0.75,3.0,3.0,disk
0.3333333333333333,0.6666666666666666,2.0,2.0,find
0.3333333333333333,3.0,2.0,9.0,compact
0.1111111111111111,0.8888888888888888,8.0,8.0,current
0.25,0.75,3.0,3.0,group
0.5,0.5,1.0,1.0,polici
0.3333333333333333,0.6666666666666666,2.0,2.0,hdfs
0.3333333333333333,0.6666666666666666,2.0,2.0,regionserv
0.3333333333333333,1.6666666666666665,2.0,5.0,cache
0.5,1.0,1.0,2.0,jar
0.25,1.0,3.0,4.0,send
0.5,0.5,1.0,1.0,better
0.1111111111111111,0.8888888888888888,8.0,8.0,add
0.5,0.5,1.0,1.0,throw
0.5,0.5,1.0,1.0,queri
0.5,0.5,1.0,1.0,integrate
0.3333333333333333,0.6666666666666666,2.0,2.0,mail
0.16666666666666666,1.1666666666666665,5.0,7.0,introduc
0.3333333333333333,0.6666666666666666,2.0,2.0,info
0.5,0.5,1.0,1.0,sourc
0.5,0.5,1.0,1.0,return
0.5,0.5,1.0,1.0,format
0.3333333333333333,0.6666666666666666,2.0,2.0,handl
0.5,0.5,1.0,1.0,end
0.5,1.0,1.0,2.0,initi
0.25,1.75,3.0,7.0,answer
0.5,1.0,1.0,2.0,window
0.5,0.5,1.0,1.0,know
0.5,0.5,1.0,1.0,progress
0.5,0.5,1.0,1.0,interrupt
0.16666666666666666,0.8333333333333333,5.0,5.0,requir
0.2,1.0,4.0,5.0,name
0.09090909090909091,1.1818181818181819,10.0,13.0,enabl
0.5,0.5,1.0,1.0,succeed
0.125,1.125,7.0,9.0,level
0.5,0.5,1.0,1.0,hbck
0.5,1.0,1.0,2.0,drop
0.2,0.8,4.0,4.0,list
0.16666666666666666,2.1666666666666665,5.0,13.0,hmaster
0.07692307692307693,1.5384615384615385,12.0,20.0,authent
0.0625,1.5,15.0,24.0,server
0.5,0.5,1.0,1.0,refer
0.3333333333333333,0.6666666666666666,2.0,2.0,default
0.5,1.0,1.0,2.0,race
0.25,1.75,3.0,7.0,mode
0.25,1.0,3.0,4.0,contain
0.5,0.5,1.0,1.0,async
0.3333333333333333,0.6666666666666666,2.0,2.0,complet
0.16666666666666666,1.0,5.0,6.0,servic
0.2,0.8,4.0,4.0,mean
0.5,0.5,1.0,1.0,encount
0.14285714285714285,1.0,6.0,7.0,set
0.5,0.5,1.0,1.0,shutdown
0.25,2.0,3.0,8.0,zookeeper
0.5,0.5,1.0,1.0,continu
0.3333333333333333,3.6666666666666665,2.0,11.0,namespac
0.5,1.0,1.0,2.0,meta
0.3333333333333333,0.6666666666666666,2.0,2.0,result
0.5,0.5,1.0,1.0,pass
0.1,1.2000000000000002,9.0,12.0,fail
0.5,1.0,1.0,2.0,wait
0.3333333333333333,0.6666666666666666,2.0,2.0,patch
0.3333333333333333,1.3333333333333333,2.0,4.0,event
0.3333333333333333,1.0,2.0,3.0,append
0.5,0.5,1.0,1.0,index
0.5,1.0,1.0,2.0,detect
0.5,0.5,1.0,1.0,network
0.25,1.0,3.0,4.0,lead
0.3333333333333333,0.6666666666666666,2.0,2.0,descriptor
0.5,0.5,1.0,1.0,leak
0.5,0.5,1.0,1.0,someth
0.5,1.0,1.0,2.0,exec
0.04,1.48,24.0,37.0,access
0.14285714285714285,1.1428571428571428,6.0,8.0,delet
0.5,0.5,1.0,1.0,state
0.25,1.5,3.0,6.0,version
0.5,1.5,1.0,3.0,reader
0.5,1.0,1.0,2.0,condit
0.5,1.0,1.0,2.0,snapshot
0.5,0.5,1.0,1.0,reproduc
0.16666666666666666,0.8333333333333333,5.0,5.0,method
0.2,1.2000000000000002,4.0,6.0,side
0.5,0.5,1.0,1.0,conf
0.5,0.5,1.0,1.0,web
0.5,0.5,1.0,1.0,migrat
0.3333333333333333,0.6666666666666666,2.0,2.0,gener
0.25,1.0,3.0,4.0,verif
0.25,0.75,3.0,3.0,reason
0.2,1.2000000000000002,4.0,6.0,base
0.2,1.0,4.0,5.0,key
0.5,0.5,1.0,1.0,address
0.5,1.5,1.0,3.0,peer
0.5,1.0,1.0,2.0,post
0.3333333333333333,1.0,2.0,3.0,ignor
0.16666666666666666,1.6666666666666665,5.0,10.0,valu
0.3333333333333333,1.3333333333333333,2.0,4.0,thrift
0.5,0.5,1.0,1.0,thread
0.1111111111111111,0.8888888888888888,8.0,8.0,admin
0.07692307692307693,1.5384615384615385,12.0,20.0,region
0.5,0.5,1.0,1.0,script
0.25,0.75,3.0,3.0,put
0.2,0.8,4.0,4.0,count
0.5,0.5,1.0,1.0,comment
0.25,1.25,3.0,5.0,manag
0.5,3.0,1.0,6.0,filter
0.2,1.0,4.0,5.0,instanc
0.3333333333333333,0.6666666666666666,2.0,2.0,place
0.5,1.0,1.0,2.0,context
0.25,0.75,3.0,3.0,action
0.1,1.5,9.0,15.0,coprocessor
0.2,0.8,4.0,4.0,implement
0.5,0.5,1.0,1.0,backup
0.3333333333333333,1.6666666666666665,2.0,5.0,disabl
0.2,1.8,4.0,9.0,block
