IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.25,1.5,3.0,6.0,function
0.3333333333333333,0.6666666666666666,2.0,2.0,set
0.3333333333333333,2.6666666666666665,2.0,8.0,file
0.3333333333333333,0.6666666666666666,2.0,2.0,creat
0.5,0.5,1.0,1.0,give
0.5,0.5,1.0,1.0,process
0.3333333333333333,0.6666666666666666,2.0,2.0,cluster
0.5,0.5,1.0,1.0,code
0.5,0.5,1.0,1.0,replica
0.5,0.5,1.0,1.0,connect
0.5,0.5,1.0,1.0,increment
0.25,2.5,3.0,10.0,tabl
0.5,0.5,1.0,1.0,follow
0.25,0.75,3.0,3.0,hbase
0.5,0.5,1.0,1.0,lookup
0.5,0.5,1.0,1.0,assum
0.5,0.5,1.0,1.0,info
0.5,0.5,1.0,1.0,index
0.25,1.0,3.0,4.0,locat
0.5,0.5,1.0,1.0,parent
0.3333333333333333,0.6666666666666666,2.0,2.0,lead
0.5,0.5,1.0,1.0,script
0.5,0.5,1.0,1.0,someth
0.5,0.5,1.0,1.0,support
0.5,0.5,1.0,1.0,upgrad
0.5,0.5,1.0,1.0,send
0.5,1.5,1.0,3.0,check
0.5,1.0,1.0,2.0,namespac
0.3333333333333333,1.0,2.0,3.0,master
0.3333333333333333,0.6666666666666666,2.0,2.0,split
0.5,1.5,1.0,3.0,input
0.5,0.5,1.0,1.0,order
0.5,0.5,1.0,1.0,machin
0.3333333333333333,0.6666666666666666,2.0,2.0,node
0.5,1.0,1.0,2.0,map
0.5,0.5,1.0,1.0,assign
0.5,1.0,1.0,2.0,exist
0.3333333333333333,1.6666666666666665,2.0,5.0,format
0.5,0.5,1.0,1.0,handl
0.5,0.5,1.0,1.0,gener
0.5,0.5,1.0,1.0,local
0.5,0.5,1.0,1.0,migrat
0.5,0.5,1.0,1.0,offlin
0.3333333333333333,0.6666666666666666,2.0,2.0,host
0.5,0.5,1.0,1.0,link
0.5,0.5,1.0,1.0,user
0.5,0.5,1.0,1.0,depend
0.5,1.0,1.0,2.0,post
0.5,0.5,1.0,1.0,hold
0.5,0.5,1.0,1.0,oper
0.5,1.0,1.0,2.0,target
0.5,1.0,1.0,2.0,reduc
0.5,1.5,1.0,3.0,task
0.5,0.5,1.0,1.0,name
0.5,0.5,1.0,1.0,scenario
0.5,1.0,1.0,2.0,read
0.5,0.5,1.0,1.0,entri
0.16666666666666666,2.333333333333333,5.0,14.0,region
0.5,0.5,1.0,1.0,requir
0.2,0.8,4.0,4.0,server
0.5,0.5,1.0,1.0,issu
0.3333333333333333,0.6666666666666666,2.0,2.0,meta
0.5,1.0,1.0,2.0,snapshot
0.5,1.0,1.0,2.0,output
0.5,1.0,1.0,2.0,implement
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,loop
0.5,0.5,1.0,1.0,point
