IDF,TF*IDF,DF,TF,Word
0.012195121951219513,1.1097560975609757,81.0,91.0,code
0.058823529411764705,1.3529411764705883,16.0,23.0,skip
0.09090909090909091,0.9090909090909092,10.0,10.0,consum
0.08333333333333333,1.25,11.0,15.0,prefix
0.019230769230769232,0.9807692307692308,51.0,51.0,follow
0.08333333333333333,0.9166666666666666,11.0,11.0,disk
0.0136986301369863,1.958904109589041,72.0,143.0,compact
0.1,1.4000000000000001,9.0,14.0,depend
0.05,1.05,19.0,21.0,send
0.05,1.1,19.0,22.0,queri
0.038461538461538464,1.0384615384615385,25.0,27.0,introduc
0.023255813953488372,1.302325581395349,42.0,56.0,sourc
0.1,1.2000000000000002,9.0,12.0,rollback
0.07142857142857142,1.357142857142857,13.0,19.0,string
0.038461538461538464,1.3461538461538463,25.0,35.0,offlin
0.045454545454545456,1.3181818181818181,21.0,29.0,util
0.1,1.2000000000000002,9.0,12.0,splitter
0.047619047619047616,1.1904761904761905,20.0,25.0,level
0.03125,1.53125,31.0,49.0,hbck
0.01818181818181818,1.5272727272727271,54.0,84.0,list
0.1111111111111111,0.8888888888888888,8.0,8.0,iter
0.024390243902439025,1.048780487804878,40.0,43.0,race
0.07142857142857142,1.2142857142857142,13.0,17.0,verif
0.05555555555555555,1.0555555555555556,17.0,19.0,prevent
0.037037037037037035,1.222222222222222,26.0,33.0,sync
0.038461538461538464,1.3076923076923077,25.0,34.0,second
0.030303030303030304,1.2727272727272727,32.0,42.0,pass
0.05555555555555555,1.6666666666666665,17.0,30.0,port
0.0625,1.25,15.0,20.0,append
0.03571428571428571,1.2857142857142856,27.0,36.0,index
0.07142857142857142,1.4285714285714284,13.0,20.0,compar
0.023255813953488372,1.3488372093023255,42.0,58.0,access
0.012987012987012988,1.5454545454545456,76.0,119.0,delet
0.027777777777777776,1.3888888888888888,35.0,50.0,version
0.02,1.34,49.0,67.0,method
0.1111111111111111,1.8888888888888888,8.0,17.0,cleaner
0.06666666666666667,1.2666666666666666,14.0,19.0,gener
0.030303030303030304,1.0303030303030303,32.0,34.0,trunk
0.04,1.44,24.0,36.0,path
0.01639344262295082,1.6065573770491803,60.0,98.0,valu
0.017857142857142856,1.2857142857142856,55.0,72.0,wait
0.05555555555555555,1.5555555555555554,17.0,28.0,daughter
0.07692307692307693,0.9230769230769231,12.0,12.0,step
0.037037037037037035,1.8518518518518516,26.0,50.0,queue
0.08333333333333333,0.9166666666666666,11.0,11.0,pick
0.07692307692307693,1.5384615384615385,12.0,20.0,action
0.018867924528301886,1.2452830188679245,52.0,66.0,implement
0.1111111111111111,1.0,8.0,9.0,chanc
0.09090909090909091,1.3636363636363638,10.0,15.0,writer
0.05,1.25,19.0,25.0,apach
0.037037037037037035,1.1851851851851851,26.0,32.0,transit
0.03225806451612903,1.6129032258064515,30.0,50.0,keeper
0.034482758620689655,1.1724137931034482,28.0,34.0,api
0.03125,1.4375,31.0,46.0,famili
0.05,1.1,19.0,22.0,unit
0.022222222222222223,1.2666666666666666,44.0,57.0,memori
0.034482758620689655,1.0344827586206897,28.0,30.0,give
0.07692307692307693,0.9230769230769231,12.0,12.0,upgrad
0.01639344262295082,1.5245901639344264,60.0,93.0,handler
0.008928571428571428,1.5089285714285714,111.0,169.0,call
0.06666666666666667,0.9333333333333333,14.0,14.0,type
0.06666666666666667,2.0,14.0,30.0,metric
0.1111111111111111,1.3333333333333333,8.0,12.0,sort
0.05,0.9500000000000001,19.0,19.0,relat
0.037037037037037035,1.0,26.0,27.0,notic
0.04,1.04,24.0,26.0,stick
0.043478260869565216,1.1739130434782608,22.0,27.0,hold
0.0625,1.625,15.0,26.0,restor
0.09090909090909091,0.9090909090909092,10.0,10.0,setup
0.017857142857142856,1.1428571428571428,55.0,64.0,work
0.0625,1.1875,15.0,19.0,descriptor
0.02631578947368421,1.5,37.0,57.0,root
0.06666666666666667,1.3333333333333333,14.0,20.0,control
0.038461538461538464,1.2692307692307694,25.0,33.0,stream
0.023809523809523808,1.476190476190476,41.0,62.0,scan
0.014705882352941176,1.2941176470588236,67.0,88.0,process
0.018518518518518517,1.8703703703703702,53.0,101.0,lock
0.058823529411764705,1.0,16.0,17.0,share
0.023809523809523808,1.2142857142857142,41.0,51.0,abort
0.047619047619047616,1.0,20.0,21.0,onlin
0.0625,1.0625,15.0,17.0,occur
0.014492753623188406,1.5942028985507246,68.0,110.0,recov
