TF,DF,Word
84,77,code
2,2,leakag
4,3,chain
22,16,skip
10,10,consum
2,2,salesforc
3,3,failed_open
8,6,prefix
6,5,sleep
2,2,subclass
8,6,abil
49,49,follow
9,9,disk
7,6,hole
112,63,compact
11,11,profil
11,8,depend
2,2,prepar
3,2,safemod
2,2,testadmin
5,4,init
2,2,snippet
6,5,completebulkload
19,17,queri
3,3,aris
2,2,testcas
2,2,spec
27,25,introduc
3,3,everyth
3,3,regionscann
55,42,sourc
11,8,rollback
3,3,risk
12,10,outofmemory
9,9,multi
28,22,offlin
2,2,adddependencyjar
3,3,util
2,2,processfaileov
72,60,failur
5,5,affect
4,4,bottleneck
3,3,reopen
2,2,relev
2,2,splitter
4,3,sequenceid
24,19,level
51,33,hbck
18,18,reproduc
4,4,leftov
57,45,list
3,3,upload
8,8,iter
3,3,kannan
3,2,enabletablehandl
4,4,compactio
42,39,race
3,2,tablerecordread
2,2,swallow
2,2,verif
2,2,keyvalueheap
2,2,dir
2,2,raci
6,6,pleas
21,19,prevent
2,2,impli
2,2,tablenam
3,3,read/writ
2,2,shoud
10,9,sync
2,2,protobufutil
3,3,past
36,27,second
8,7,cost
6,6,design
2,2,experi
5,5,pass
3,2,regionst
2,2,acid
30,17,port
14,12,append
4,4,hadoop-
2,2,compat
60,39,hdfs
4,2,deleg
3,3,hregionthriftserv
5,5,appear
10,8,compar
2,2,columnpaginationfilt
17,16,hconnectionmanag
2,2,getcachedloc
8,5,calcul
3,3,overload
48,48,current
93,63,delet
48,33,version
2,2,tickl
5,3,integrationtestbiglinkedlist
62,45,method
5,3,stochasticloadbalanc
38,29,zookeep
5,5,elimin
4,4,hash
2,2,deriv
4,3,getlock
7,4,memstoret
2,2,restar
16,12,gener
4,4,learn
3,3,satisfi
2,2,thrash
8,5,sink
2,2,debugg
34,31,trunk
10,7,bulkload
28,19,path
59,43,valu
58,49,wait
2,2,box
6,4,convert
25,16,daughter
2,2,org.apache.hadoop..regionserver.hregionserv
3,2,scanneropen
12,12,step
31,19,queue
7,7,amount
2,2,zoo.cfg
18,14,keyvalu
3,3,synchronis
11,11,pick
16,11,action
53,44,implement
3,3,explain
9,8,chanc
5,5,believ
2,2,re-en
8,5,testzookeep
3,3,semant
9,7,writer
8,8,solut
16,14,transit
3,3,hfilesystem
3,3,forev
2,2,brought
5,5,ask
8,7,api
21,19,send
40,29,famili
3,3,fake
4,4,instal
6,4,gateway
