TF,DF,Word
13,12,code
1,1,skip
2,2,consum
4,3,prefix
2,2,sleep
2,1,abil
11,11,follow
1,1,disk
13,7,compact
1,1,content
7,5,depend
7,5,secur
2,1,safemod
1,1,testadmin
2,2,init
1,1,completebulkload
1,1,queri
2,2,sens
1,1,spec
6,6,introduc
10,8,sourc
8,5,string
17,12,replic
2,2,multi
3,3,offlin
8,6,failur
2,2,affect
2,2,servlet
1,1,splitter
1,1,sequenceid
6,4,level
10,8,hbck
9,6,list
1,1,iter
1,1,compactio
4,4,race
1,1,dir
1,1,pleas
3,3,prevent
1,1,impli
2,2,sync
1,1,past
10,7,second
1,1,cost
1,1,design
1,1,pass
21,9,port
2,2,append
1,1,compat
27,17,hdfs
2,1,compar
1,1,overload
9,9,current
3,2,hfileoutputformat
4,3,version
1,1,tickl
14,12,method
1,1,stochasticloadbalanc
11,8,zookeep
2,1,regionload
1,1,hash
1,1,restar
1,1,gener
1,1,sink
17,8,address
4,2,bulkload
13,10,path
20,17,valu
12,9,wait
1,1,box
4,1,checksum
2,2,step
4,3,queue
1,1,amount
2,2,zoo.cfg
1,1,throughput
3,3,pick
6,3,action
17,13,chang
2,1,reclaim
2,2,re-en
1,1,semant
2,2,tweak
1,1,transit
1,1,hfilesystem
1,1,boolean
3,2,send
12,8,famili
2,2,instal
1,1,gateway
2,2,unit
1,1,asyncprocess
1,1,perf
1,1,zip
4,4,memori
8,8,give
4,4,upgrad
4,3,handler
1,1,overhead
1,1,recommend
2,2,increas
1,1,type
2,2,sort
1,1,stable
3,3,notic
1,1,warn
2,2,trail
5,5,stick
1,1,hole
6,3,hold
2,2,document
1,1,overrun
1,1,testsplittransact
1,1,annoy
2,2,none
2,1,endpoint
1,1,retriev
1,1,restor
3,3,setup
16,14,work
1,1,tag
1,1,learn
6,6,root
2,2,stream
4,3,scan
11,9,process
7,4,lock
3,3,share
3,2,indic
11,7,abort
1,1,onlin
1,1,acl
1,1,occur
2,1,hregionpartition
2,1,ratio
2,2,filter
1,1,end
5,2,tablemapreduceutil
2,2,divid
1,1,getmast
2,2,hconnect
1,1,reset
13,8,write
2,1,hfilev
5,3,answer
2,2,verifi
49,32,config
3,3,updat
2,2,minimum
1,1,threadpoolserv
3,1,securecli
2,1,mutat
21,17,data
2,2,lar
1,1,hregioninterfac
2,2,attempt
1,1,hstore
8,5,bind
2,1,counter
10,7,disabl
35,27,issu
3,3,perform
1,1,minizookeeperclust
1,1,combin
8,5,allow
1,1,dmitriy
2,2,first
5,4,order
1,1,talk
2,2,jira
1,1,belong
6,5,move
1,1,timeou
1,1,reconnect
13,10,hlog
2,2,dynam
1,1,bunch
1,1,snippet
2,2,group
1,1,monitor
7,5,fix
2,2,better
11,7,window
3,3,requir
8,3,bypass
1,1,alter
1,1,hregion.internalobtainrowlock
18,12,return
13,11,handl
7,4,timestamp
5,5,initi
1,1,mention
2,2,viewf
1,1,half
4,4,interrupt
2,2,discuss
2,1,workload
16,10,name
1,1,anyth
6,5,edit
1,1,revers
1,1,revert
10,7,hmaster
1,1,refresh
7,5,mode
14,9,timeout
2,1,debug
5,4,side
1,1,splitlog
17,12,hfile
3,2,exportsnapshot
2,1,failov
1,1,replac
9,9,continu
11,10,meta
6,6,backport
22,15,connect
7,7,happen
1,1,waitonallregionstoclos
2,2,network
2,1,space
15,9,open
1,1,profil
1,1,rewrit
3,2,reader
2,2,print
2,1,qualifi
1,1,proxi
3,3,migrat
2,2,manipul
4,4,situat
1,1,someon
1,1,standalon
8,8,reason
4,3,base
5,5,put
8,5,byte
6,5,thread
6,5,launch
4,4,script
1,1,refus
28,18,recov
4,4,thing
1,1,length
2,1,enforc
9,7,place
3,2,prefetch
3,2,circuit
1,1,regress
9,8,assign
1,1,timeoutmonitor
10,7,oper
6,3,rang
1,1,question
1,1,one
1,1,restrict
6,4,messag
4,3,kerbero
1,1,array
11,6,miss
15,9,size
2,2,differ
2,2,hlogsplitt
1,1,properl
1,1,interact
9,7,system
2,2,htabl
2,1,checker
1,1,totalorderpartition
57,33,master
2,2,scheme
2,2,jetti
7,5,store
5,3,schema
13,8,shell
1,1,consol
4,3,option
1,1,namespac
5,3,tool
3,2,copi
3,2,fsutils.getrootdir
1,1,shortl
7,7,serv
1,1,htable.coprocessorexec
2,1,kind
1,1,:
1,1,target
2,2,keyword
3,3,provid
10,9,remov
2,2,structur
2,2,charact
5,3,hregionserv
3,2,balanc
1,1,provis
2,2,mini
3,3,hadoop-
1,1,conflict
3,3,mine
3,1,rowlock
1,1,testcas
3,2,expir
2,1,increment
42,27,tabl
1,1,null
1,1,probabl
2,2,min
1,1,self
4,3,build
1,1,discrep
5,5,environ
2,2,testthriftservercmdline.testrunthriftserv
1,1,channel
1,1,begin
3,3,distribut
2,2,trace
5,3,deploy
1,1,buffer
5,4,object
2,2,reach
2,2,resubmiss
1,1,phase
15,8,class
2,2,hregion
5,3,renam
1,1,localclust
2,2,clear
1,1,gather
11,6,request
6,4,snapshot
5,4,clean
1,1,pattern
2,2,someth
2,2,testdistributedlogsplit
3,2,show
3,3,random
2,2,adddependencyjar
5,3,session
3,1,threshold
26,24,find
5,4,access
2,1,slow
5,5,locat
9,6,delet
16,12,cache
6,5,jar
7,6,state
1,1,busi
1,1,suppos
1,1,analyz
1,1,factor
3,3,folder
19,12,count
1,1,beat
2,1,classload
9,7,report
12,7,restart
1,1,endless
1,1,reveal
1,1,regionobserv
2,2,intermitt
6,5,patch
1,1,stuff
8,8,contain
1,1,respond
8,7,set
4,4,startup
2,1,splitkey
9,7,memstor
13,12,result
72,51,fail
8,5,close
1,1,wonder
4,3,detect
1,1,jenkin
1,1,review
2,2,figur
3,3,progress
1,1,experi
1,1,approach
2,2,attribut
1,1,accord
4,4,parent
2,2,popul
1,1,succeed
2,2,key
2,2,solv
1,1,advertis
1,1,improve
3,2,admin
97,47,region
3,3,instanc
8,5,context
1,1,logic
24,11,coprocessor
1,1,corrupt
2,1,evict
28,16,load
4,2,loadincrementalhfil
5,4,point
4,2,instanti
6,6,trunk
3,3,period
4,2,distributedlogreplay
1,1,loader
11,7,interface
1,1,shutdown
2,2,linux
1,1,cancel
17,14,assum
4,3,duplic
2,2,java
2,1,evalu
2,2,.
1,1,accumul
2,2,trigger
4,2,thrift
1,1,htabledescriptor
3,2,endkey
1,1,imag
6,5,argument
4,3,bulk
2,2,understand
1,1,catch
1,1,spin
21,18,case
3,2,outofmemory
34,28,exception
1,1,align
6,6,batch
6,5,defin
3,2,invok
17,12,error
1,1,occas
1,1,decreas
2,1,invoc
3,3,observ
4,4,loop
2,1,cell
2,1,importtsv
5,2,metric
40,31,cluster
1,1,archiv
3,2,conf
5,3,crash
2,2,develop
1,1,author
4,4,receiv
1,1,format
3,2,classpath
12,10,hadoop
3,2,hardcod
1,1,trip
7,5,split
1,1,zkutil
1,1,day
2,2,complet
6,3,slave
4,4,hostnam
5,4,hang
3,3,effect
3,3,moment
1,1,rais
6,6,user
1,1,implement
2,2,tune
10,3,task
1,1,center
7,7,scenario
8,6,entri
3,3,exampl
10,5,command
1,1,chanc
1,1,catalogjanitor
11,8,filesystem
2,2,traffic
1,1,comment
3,3,paus
2,1,execut
1,1,boot
1,1,obtain
3,2,rest
5,3,testingutil
6,5,kill
1,1,speed
1,1,shoud
1,1,preput
34,24,regionserv
1,1,param
1,1,complain
2,2,servermanag
2,1,startkey
6,4,add
1,1,cleanup
2,2,pile
1,1,input
2,2,applic
2,2,loss
21,15,read
1,1,memstoreflush
1,1,piec
1,1,writabl
5,3,mapreduc
6,2,zkcli
2,2,know
1,1,gmail.com
1,1,destroy
4,3,insert
1,1,daemon
2,1,success
1,1,specif
1,1,happenin
13,10,elaps
51,33,server
1,1,collect
2,2,fs.default.nam
1,1,servernam
6,6,output
3,3,manag
1,1,underli
36,25,node
1,1,deal
2,2,interv
1,1,authent
9,7,flush
2,2,servershutdownhandl
2,1,clash
2,1,tablelockmanag
2,2,definit
1,1,overlap
6,2,leas
2,1,exit
7,6,condit
5,5,reproduc
2,2,refer
5,5,machin
2,2,investig
2,1,truth
4,3,power
4,3,host
2,2,async
5,3,peer
2,2,post
11,11,throw
10,6,socket
2,1,commun
1,1,scenari
1,1,page
1,1,truncat
1,1,commit
4,4,backup
1,1,produc
27,15,block
2,2,repair
1,1,doubl
1,1,testassignmentmanag
1,1,encount
1,1,encod
1,1,bound
2,1,seqid
3,3,splitlogmanag
1,1,ensur
2,1,transfer
6,6,support
3,1,clusterid
4,3,overwrit
26,18,custom
28,23,start
4,3,reli
3,3,includ
2,2,lot
1,1,rowkey
1,1,cowork
21,18,function
1,1,unwrap
1,1,idea
3,3,link
1,1,measur
1,1,atom
5,5,info
1,1,pull
1,1,immedi
4,2,temp
1,1,possibl
44,29,default
1,1,rpcserver
1,1,record
3,3,replay
2,2,limit
16,14,problem
3,3,deadlock
3,3,expect
1,1,featur
5,4,scanner
32,25,creat
1,1,cover
2,2,chao
4,4,repres
8,7,exist
1,1,numregion
38,27,file
3,2,ship
20,14,check
2,2,fill
1,1,concurr
2,1,tableoutputformat
2,1,copyt
2,1,refactor
3,3,field
3,1,codec
4,3,lookup
1,1,branch
48,34,test
1,1,miniclust
1,1,deseri
1,1,relat
10,10,intend
1,1,sequenc
1,1,stay
1,1,and/or
2,2,reduc
1,1,assert
10,7,directori
1,1,descript
1,1,algo
2,2,ignor
29,24,time
1,1,avoid
