TF,DF,Word
25,23,code
5,4,skip
1,1,consum
1,1,root/meta
1,1,sleep
2,2,abil
12,12,follow
1,1,auth
1,1,midst
16,13,zookeep
2,2,depend
4,4,send
2,1,init
2,2,completebulkload
5,4,queri
3,2,sens
1,1,introduc
1,1,regionscann
11,9,sourc
3,3,rollback
1,1,string
3,3,multi
5,5,offlin
33,29,failur
1,1,affect
1,1,servlet
1,1,relev
2,2,improve
5,4,level
15,9,hbck
2,2,htablepool
2,2,leftov
19,14,list
1,1,iter
1,1,compactio
5,5,race
3,2,tablerecordread
1,1,prepar
3,3,pleas
6,6,prevent
1,1,sync
2,2,protobufutil
1,1,past
11,7,second
3,3,pass
1,1,compat
12,9,hdfs
4,2,hide
1,1,appear
5,5,hconnectionmanag
5,4,invok
8,7,access
20,16,delet
10,9,version
1,1,tickl
3,2,integrationtestbiglinkedlist
21,14,method
16,11,compact
1,1,deriv
3,2,getlock
2,2,gener
1,1,learn
2,2,lack
4,3,sink
13,10,trunk
2,1,bulkload
5,4,path
10,6,valu
16,11,wait
2,2,produc
12,7,daughter
3,2,scanneropen
2,2,step
5,4,queue
1,1,zoo.cfg
3,3,keyvalu
2,2,pick
7,4,action
5,4,implement
2,1,transact
5,5,chanc
2,1,writer
1,1,activ
3,3,transit
5,2,put
1,1,boolean
1,1,java.lang.assertionerror
9,7,famili
1,1,visibl
6,6,unit
3,2,asyncprocess
2,2,zip
1,1,memori
5,4,scan
4,4,upgrad
1,1,rs_zk_region_open
6,5,handler
3,2,type
1,1,openregion
1,1,accumulo
5,4,stable
8,8,notic
5,4,warn
13,12,stick
1,1,aris
4,3,hole
7,6,hold
1,1,testsplittransact
1,1,annoy
2,2,none
1,1,retriev
6,5,restor
3,3,setup
12,10,work
3,2,descriptor
1,1,executor
20,14,root
1,1,overrid
1,1,complic
4,4,stream
7,7,give
15,11,process
8,4,lock
1,1,share
1,1,javadoc
5,4,indic
22,18,abort
4,3,unassign
2,2,onlin
1,1,serial
7,6,occur
8,3,filter
2,1,end
1,1,goal
3,3,secur
1,1,length
4,4,reset
13,9,write
1,1,criterion
1,1,bytebloomfilt
2,2,pending_open
2,1,verifi
12,9,config
7,6,updat
4,2,clone
3,1,tool
1,1,reflect
3,1,securecli
1,1,commit
1,1,mutat
7,2,bloom
1,1,parallel
1,1,lar
1,1,hregioninterfac
18,15,attempt
1,1,hadoop-
4,4,nullpointerexception
42,33,issu
3,3,receiv
1,1,switch
1,1,environ
3,3,allow
1,1,dmitriy
2,2,order
2,1,help
16,11,move
2,2,reconnect
13,10,hlog
3,3,pointer
1,1,bunch
1,1,busi
1,1,disconnect
1,1,polici
5,5,fix
1,1,better
1,1,compressiontest
4,3,window
2,2,w.r.t
1,1,logsplit
3,1,bypass
5,4,mail
1,1,therefor
35,25,return
41,32,handl
13,9,initi
2,1,answer
1,1,half
5,5,interrupt
3,3,one
5,4,complain
15,9,name
1,1,anyth
11,7,edit
1,1,perspect
1,1,drop
2,2,revert
23,14,hmaster
9,8,timeout
7,6,debug
2,2,found
4,2,notif
1,1,am.joinclust
3,2,splitlog
10,8,hfile
1,1,subset
4,3,failov
1,1,multipl
22,20,continu
1,1,updatelock
40,23,meta
1,1,backport
29,20,connect
1,1,meta/root
25,21,happen
13,9,event
2,1,variabl
1,1,waitonallregionstoclos
1,1,safeti
2,2,network
2,2,ycsb
4,2,upcal
17,15,miss
1,1,profil
1,1,rewrit
1,1,reader
2,1,print
1,1,migrat
2,1,htable.clos
5,5,situat
9,9,reason
2,2,base
1,1,theori
2,1,element
3,3,ask
5,4,byte
1,1,testdelayedrpc
3,3,care
19,14,thread
1,1,launch
1,1,synchron
1,1,refus
29,19,recov
4,4,thing
2,2,hconnect
2,2,place
1,1,regress
2,1,heartbeat
1,1,confus
49,28,assign
3,3,timeoutmonitor
15,12,oper
1,1,rang
2,1,notifi
1,1,sometim
4,3,hook
8,7,messag
2,2,kerbero
3,3,array
29,17,open
6,5,size
7,4,hconnectionimplement
4,3,hlogsplitt
2,1,script
26,23,data
1,1,system
2,1,htabl
1,1,regionsintransit
2,1,reseek
2,2,compactselect
83,52,master
1,1,accept
10,7,store
1,1,listen
9,7,shell
1,1,storm
4,2,namespac
2,1,verifyandassignroot
1,1,copi
1,1,compressor
2,1,masterobserv
1,1,splitregionhandl
7,7,serv
1,1,htable.coprocessorexec
1,1,kind
2,1,target
1,1,provid
15,12,remov
1,1,charact
7,4,hregionserv
6,5,balanc
1,1,sooner
1,1,cleaner
9,5,argument
6,3,rowlock
1,1,part-
6,4,corrupt
1,1,softvaluesortedmap
3,3,expir
1,1,increment
62,40,tabl
1,1,checksum
1,1,min
1,1,distributedfilesystem
2,2,mix
4,4,exampl
2,2,build
1,1,properl
1,1,channel
1,1,begin
6,5,distribut
5,5,trace
2,1,exec
2,2,track
6,5,object
1,1,reach
1,1,discov
2,2,plan
2,2,phase
4,3,class
2,1,aggregationcli
2,2,testmasterfailov
3,2,hregion
1,1,renam
1,1,filesystem
4,4,clear
2,2,cover
1,1,declar
15,10,snapshot
4,4,clean
3,3,someth
1,1,fact
1,1,receiverespons
5,4,show
3,2,random
2,2,concurr
25,22,find
1,1,htableinterfac
2,2,current
1,1,submit
4,4,locat
2,2,explain
7,6,cache
2,2,solut
1,1,figur
2,1,resubmit
2,2,suppos
5,4,folder
5,4,info
5,5,loss
1,1,hit
1,1,point-of-no-return
2,1,import
8,8,report
27,19,restart
1,1,endless
1,1,mapper
5,3,regionobserv
1,1,intermitt
1,1,metaservershutdownhandl
7,7,patch
1,1,stuff
2,2,integr
5,5,contain
1,1,respond
2,2,set
9,6,startup
3,1,splitkey
10,7,memstor
1,1,tablelockmanag
13,10,result
119,91,fail
32,22,close
2,2,wonder
6,5,detect
1,1,correctli
1,1,boundari
3,2,testsplittransactiononclust
2,1,nosuchmethoderror
1,1,tend
28,21,state
4,4,progress
2,2,failed_open
13,8,parent
2,1,bloomfilt
5,5,succeed
1,1,key
8,7,interface
1,1,hudson
1,1,popul
12,9,admin
1,1,zookeeperwatch
181,95,region
4,4,instanc
2,2,logic
10,8,coprocessor
1,1,swallow
16,11,load
5,3,loadincrementalhfil
5,5,point
1,1,instanti
1,1,schedul
1,1,stuck
5,4,period
1,1,loader
2,2,solv
10,7,shutdown
1,1,exclud
1,1,cancel
17,16,assum
5,3,duplic
1,1,java
1,1,coupl
1,1,empti
2,1,rs_zk_region_split
11,7,trigger
1,1,treat
1,1,interest
1,1,basic
2,2,thrift
1,1,multi-thread
3,3,resolut
1,1,worker
6,4,bulk
3,3,understand
3,3,child
18,13,catch
24,21,case
23,14,replic
194,123,exception
1,1,processdeadserversandregionsintransit
10,9,batch
2,2,defin
2,1,calcul
34,27,error
2,2,occas
1,1,invoc
1,1,checkandmut
7,6,observ
10,10,loop
3,2,testzookeep
2,1,cell
5,3,metric
1,1,destin
45,32,cluster
1,1,archiv
3,3,conf
13,10,crash
1,1,sever
6,6,splitlogwork
15,13,null
2,2,develop
5,5,perform
2,2,belong
3,3,hadoop
37,25,check
2,2,member
2,2,inconsist
1,1,decod
60,40,split
1,1,probabl
1,1,complet
1,1,week
4,2,slave
2,1,hostnam
3,1,optim
14,10,hang
2,2,someon
1,1,moment
3,3,rais
9,7,user
11,10,chang
9,5,task
1,1,center
12,12,scenario
6,4,entri
1,1,flushregion
1,1,contact
4,4,command
2,1,reclaim
2,1,catalogjanitor
1,1,choos
2,2,incrementcolumnvalu
1,1,comment
2,2,paus
1,1,htable.get
6,4,rest
1,1,testingutil
10,8,kill
9,4,storefil
1,1,tableinputformat
44,32,regionserv
1,1,param
2,2,discuss
8,7,add
1,1,input
2,2,applic
2,2,format
14,13,read
1,1,memstoreflush
2,2,regio
4,4,know
1,1,associ
1,1,testreplication.queuefailov
1,1,insert
1,1,daemon
2,2,success
2,2,elaps
58,41,server
1,1,collect
2,2,api
3,3,output
2,2,manag
1,1,miniclust
2,1,deadserv
11,9,assignmentmanag
1,1,fsutil
1,1,interv
1,1,back
6,6,replay
11,8,flush
1,1,manifest
1,1,librari
5,4,servershutdownhandl
1,1,confirm
6,5,leak
5,5,avoid
2,1,deploy
1,1,definit
1,1,subclass
8,4,leas
7,7,exit
9,8,condit
4,4,reproduc
3,3,refer
4,2,machin
4,3,power
2,1,verifyrootregionloc
10,6,host
2,2,peer
1,1,post
59,49,throw
3,3,expiri
7,3,session
3,3,socket
1,1,commun
1,1,algo
3,3,constructor
2,1,discard
2,2,backup
6,6,disabl
22,14,block
1,1,own
1,1,testassignmentmanag
5,5,encount
2,2,waledit
2,2,splitlogmanag
6,4,wrap
2,2,.
1,1,merg
1,1,wal
1,1,deal
4,3,transfer
3,3,support
2,2,question
1,1,overwrit
33,21,custom
30,21,start
2,2,reli
1,1,includ
1,1,lot
3,3,suit
2,2,:
25,23,function
1,1,head
1,1,onlineregion
1,1,unwrap
2,2,link
4,4,count
4,3,pull
1,1,immedi
2,2,consist
8,6,default
1,1,rpcserver
1,1,regionserversnapshotmanag
1,1,record
1,1,postopendeploytask
2,1,tableoutputformat
2,1,limit
1,1,writetow
1,1,sampl
18,17,problem
3,3,deadlock
8,8,expect
1,1,featur
7,5,scanner
41,32,creat
18,13,request
1,1,repres
24,21,exist
1,1,servershutdown
32,17,file
1,1,trip
2,2,zkutil
3,3,incorrect
1,1,index
1,1,boot
2,2,detail
2,1,refactor
1,1,field
1,1,valid
3,1,collis
7,6,branch
50,42,test
1,1,servernam
60,47,node
4,4,relat
17,17,intend
2,2,zkinterprocesslockbas
2,2,sequenc
7,6,stay
1,1,and/or
2,2,pool
2,1,splittransact
1,1,reduc
1,1,outdat
1,1,algorithm
2,2,testfsck
6,4,directori
2,1,space
1,1,descript
13,11,ignor
1,1,testdistributedlogsplit
28,26,time
1,1,integrationtestbulkload
