TF,DF,Word
1,1,reseek
6,5,oper
3,2,code
2,2,paus
1,1,chain
2,2,show
2,2,move
2,1,root/meta
2,2,kill
2,1,region_mover.rb
3,3,follow
7,3,hlog
6,5,find
2,1,zookeep
1,1,busi
1,1,depend
3,1,system
2,1,delet
15,11,regionserv
2,2,forev
1,1,send
1,1,script
2,1,init
1,1,version
1,1,analyz
2,1,local
2,1,leak
1,1,introduc
2,2,case
1,1,return
2,1,halt
5,5,handl
3,3,initi
4,1,disabl
1,1,writabl
1,1,know
3,3,half
3,3,report
1,1,affect
1,1,day
5,4,restart
1,1,endless
2,2,name
1,1,leftov
2,1,restor
2,1,list
8,6,hmaster
1,1,refresh
18,15,server
1,1,race
1,1,contain
1,1,debug
1,1,underli
1,1,miniclust
4,4,startup
4,3,continu
1,1,memstor
1,1,intermitt
9,6,meta
2,1,replay
7,4,connect
3,2,flush
16,11,fail
6,4,close
4,3,happen
1,1,week
1,1,append
1,1,concern
2,2,infinit
1,1,waitonallregionstoclos
1,1,and/or
1,1,hconnectionmanag
3,3,miss
1,1,avoid
2,2,postopendeploytask
2,1,nosuchmethoderror
2,1,access
1,1,leas
6,5,state
1,1,hregionserv
2,1,print
3,3,condit
1,1,method
1,1,invok
3,1,machin
3,3,compact
2,1,regionload
2,1,getlock
3,1,migrat
1,1,restar
3,3,situat
2,1,syncer
1,1,yesterday
1,1,hung
1,1,reason
1,1,base
3,3,address
1,1,put
1,1,byte
4,3,throw
2,2,improve
2,2,socket
7,6,thread
3,2,admin
32,18,region
1,1,memori
2,2,recov
1,1,inconsist
1,1,prefetch
1,1,logic
1,1,heartbeat
3,3,chang
12,8,assign
7,5,block
1,1,load
1,1,info
2,2,notifi
1,1,point
4,4,transit
1,1,trunk
1,1,period
1,1,distributedlogreplay
1,1,sometim
5,4,shutdown
1,1,splitlogmanag
1,1,halfstorefileread
4,3,open
2,2,unit
1,1,prioriti
1,1,stream
1,1,stuck
1,1,transfer
3,3,upgrad
11,5,custom
1,1,attach
1,1,trigger
33,20,master
1,1,morn
9,8,wait
1,1,type
3,2,start
1,1,analysi
1,1,field
2,2,shell
3,2,handler
1,1,relat
2,2,notic
1,1,understand
9,9,stick
4,1,catch
1,1,midst
1,1,hold
1,1,serv
3,2,replic
6,5,exception
1,1,instanc
1,1,compressiontest
2,2,remov
2,2,work
1,1,batch
1,1,calcul
1,1,stall
1,1,limit
2,1,balanc
1,1,assum
6,6,error
4,3,problem
7,7,deadlock
5,3,root
2,2,observ
6,6,loop
2,2,result
2,1,testzookeep
4,4,function
2,1,scanner
5,4,creat
5,3,process
5,2,lock
8,8,cluster
5,4,abort
3,2,exist
1,1,file
9,5,tabl
1,1,hit
4,3,occur
3,2,answer
1,1,secur
1,1,perform
1,1,belong
4,4,check
5,4,read
1,1,codec
1,1,lookup
6,5,split
9,7,test
3,2,snapshot
5,4,failur
1,1,testiofenc
1,1,perspect
1,1,properl
3,3,node
1,1,compat
1,1,intend
1,1,distribut
1,1,sequenc
2,1,clone
24,18,hang
1,1,someon
1,1,discov
1,1,stay
8,5,crash
1,1,user
3,1,securecli
1,1,commit
1,1,phase
2,1,coprocessor
5,4,data
3,1,task
3,3,attempt
1,1,center
2,2,scenario
1,1,entri
1,1,request
1,1,nullpointerexception
4,4,issu
2,1,receiv
1,1,command
1,1,evict
1,1,clean
8,7,time
1,1,dmitriy
1,1,review
