TF,DF,Word
2,2,oper
1,1,code
1,1,execut
1,1,queri
2,2,consum
3,2,rest
1,1,bunch
1,1,increas
1,1,overload
1,1,follow
3,3,find
1,1,locat
1,1,delay
2,2,disconnect
1,1,chain
2,1,hfileoutputformat
2,1,preput
2,1,transact
5,2,cache
1,1,solut
1,1,depend
1,1,add
2,1,completebulkload
1,1,mail
3,2,bulkload
1,1,count
1,1,testdelayedrpc
1,1,thriftserv
1,1,return
1,1,outofmemory
5,4,read
3,3,offlin
1,1,workload
1,1,know
1,1,progress
2,2,report
1,1,requir
2,2,insert
2,1,thrift
2,1,scan
1,1,name
4,1,edit
1,1,drop
2,2,list
10,8,server
4,3,hbck
3,3,race
2,2,timeout
1,1,debug
1,1,manag
1,1,raci
2,2,respond
1,1,encount
2,1,sync
2,2,memstor
2,2,second
2,2,meta
2,1,connect
1,1,flush
7,6,fail
3,2,close
1,1,happen
2,2,patch
2,1,tthreadedselectorserv
1,1,contend
2,1,hdfs
1,1,and/or
1,1,hregionthriftserv
1,1,network
3,2,compar
1,1,open
2,1,avoid
2,1,overlap
3,2,sidelin
2,2,current
3,2,delet
2,1,integrationtestbiglinkedlist
1,1,condit
3,2,merg
1,1,method
1,1,attribut
2,2,qualifi
3,2,parent
2,2,gener
1,1,executor
3,3,situat
1,1,base
2,1,sink
1,1,debugg
1,1,put
1,1,group
1,1,post
2,2,throw
1,1,valu
1,1,care
1,1,box
1,1,produc
3,2,daughter
2,2,throughput
4,3,thread
21,12,region
2,1,side
5,2,queue
2,1,thing
1,1,enforc
1,1,place
1,1,prefetch
1,1,totalorderpartition
1,1,action
4,1,coprocessor
3,3,implement
2,2,hfile
4,3,regionserv
7,5,block
2,1,timeoutmonitor
8,5,load
2,2,point
2,1,hook
2,2,htabl
1,1,famili
1,1,path
4,4,assum
2,1,payload
5,2,size
1,1,sourc
2,2,perf
3,2,support
3,3,give
1,1,question
1,1,construct
13,6,custom
1,1,start
1,1,trigger
1,1,master
1,1,lar
1,1,lot
2,1,perform
2,2,improve
1,1,store
1,1,listen
6,4,function
1,1,audit
2,1,deseri
1,1,interest
7,4,handler
1,1,thousand
2,1,notic
1,1,idea
1,1,provid
1,1,loss
1,1,catch
1,1,hole
1,1,hold
2,1,info
2,1,replic
4,3,exception
1,1,retriev
2,1,target
2,1,instanc
3,3,default
1,1,remov
2,2,work
1,1,batch
1,1,invok
4,3,limit
2,2,case
3,1,error
1,1,motiv
2,2,problem
1,1,deadlock
2,1,initi
1,1,observ
1,1,result
1,1,featur
3,3,scanner
5,2,creat
1,1,importtsv
2,1,process
4,2,lock
2,1,share
1,1,accept
5,4,cluster
1,1,abort
2,1,exist
5,3,file
7,3,tabl
1,1,rollback
1,1,fill
1,1,hit
1,1,disabl
1,1,develop
1,1,min
1,1,receiv
1,1,refactor
5,4,write
1,1,flood
1,1,clientscann
1,1,maintain
5,3,split
1,1,option
5,3,test
1,1,environ
1,1,failur
1,1,config
1,1,hundr
1,1,channel
2,2,updat
8,4,node
1,1,intend
1,1,allow
1,1,optim
1,1,object
2,1,crash
1,1,detect
3,3,user
1,1,mutat
1,1,enhanc
13,7,data
2,2,parallel
2,1,pool
1,1,pull
1,1,reduc
2,1,hregion
1,1,attempt
2,2,clear
1,1,gather
3,3,request
3,3,assign
8,7,issu
3,2,storescann
3,2,switch
1,1,exampl
1,1,combin
1,1,reclaim
2,1,catalogjanitor
10,7,time
2,2,talk
1,1,threadpoolexecutor
