TF,DF,Word
12,12,code
2,1,chain
9,7,skip
1,1,salesforc
1,1,failed_open
1,1,prefix
1,1,abil
3,3,follow
3,3,disk
1,1,visibilitycontrol
12,9,compact
2,1,depend
3,2,secur
3,3,send
1,1,init
1,1,completebulkload
2,1,stable
1,1,aris
1,1,spec
1,1,regio
1,1,everyth
1,1,regionscann
6,5,sourc
7,4,rollback
3,3,string
1,1,outofmemory
11,11,exception
13,9,offlin
12,11,failur
1,1,affect
1,1,sequenceid
2,1,root/meta
11,7,hbck
6,6,reproduc
1,1,leftov
7,5,list
2,2,upload
1,1,iter
2,2,kannan
3,2,enabletablehandl
1,1,compactio
2,2,race
1,1,verif
1,1,dir
3,3,pleas
5,4,prevent
1,1,sync
2,2,second
1,1,design
1,1,regionst
2,2,port
7,6,append
8,4,hdfs
2,1,deleg
1,1,hregionthriftserv
1,1,appear
4,4,compar
2,2,hconnectionmanag
2,2,calcul
7,7,current
33,21,delet
11,7,version
2,1,integrationtestbiglinkedlist
11,8,method
1,1,cleaner
4,4,zookeep
1,1,hash
1,1,deriv
1,1,getlock
4,2,memstoret
2,1,gener
5,5,trunk
2,2,bulkload
4,2,path
14,9,valu
8,7,wait
2,2,convert
10,6,daughter
1,1,org.apache.hadoop..regionserver.hregionserv
7,1,checksum
2,2,treemap
6,3,queue
10,7,keyvalu
3,3,pick
14,11,implement
1,1,believ
2,1,testzookeep
3,3,writer
4,3,transit
1,1,forev
1,1,safemod
14,7,famili
1,1,fake
4,4,unit
2,2,hconnectionimplement
1,1,hudson
1,1,upgrad
2,1,rs_zk_region_open
2,1,handler
2,2,scope
4,4,type
1,1,openregion
5,2,sort
1,1,peopl
1,1,hundr
2,2,relat
3,2,requestspersecond
2,2,enhanc
1,1,accept
2,2,hole
3,2,hold
1,1,overrun
1,1,annoy
2,1,retriev
1,1,sometim
3,3,restor
11,10,work
1,1,descriptor
4,2,tag
2,1,executor
5,5,root
1,1,complain
3,3,overrid
1,1,stream
5,5,scan
8,6,process
6,3,lock
1,1,share
3,3,indic
3,3,abort
4,2,unassign
6,6,onlin
1,1,hfilev
1,1,risk
12,8,filter
1,1,end
2,2,divid
4,3,hregioninfo
1,1,getmast
1,1,length
10,10,write
1,1,till
2,1,hregionpartition
1,1,answer
2,2,verifi
1,1,negoti
3,3,config
12,9,updat
3,3,mess
4,3,clone
30,24,data
2,2,lar
1,1,alloc
