TF,DF,Word
18,16,code
6,3,skip
6,6,consum
1,1,salesforc
1,1,root/meta
4,3,prefix
3,2,sleep
3,2,abil
6,6,follow
1,1,disk
3,3,locat
48,25,compact
4,2,content
1,1,leas
8,7,send
1,1,snippet
10,9,queri
1,1,sens
5,5,introduc
1,1,regionscann
14,11,sourc
2,2,risk
6,2,replic
1,1,end
3,3,multi
1,1,offlin
2,2,util
8,7,failur
4,4,bottleneck
1,1,reopen
1,1,relev
2,2,splitter
4,4,level
6,4,hbck
1,1,leftov
1,1,exec
13,12,list
1,1,upload
4,4,iter
1,1,kannan
1,1,verif
2,2,setup
3,3,prevent
1,1,sync
2,2,past
14,10,second
6,5,cost
1,1,design
4,3,aggreg
1,1,pass
1,1,acid
6,5,port
3,2,append
15,10,hdfs
1,1,compar
1,1,columnpaginationfilt
7,6,hconnectionmanag
1,1,overload
6,5,access
3,2,hfileoutputformat
8,6,version
13,9,method
4,2,stochasticloadbalanc
1,1,zookeep
5,5,elimin
1,1,hash
3,2,memstoret
1,1,restar
8,5,gener
1,1,satisfi
2,1,sink
5,5,trunk
1,1,bulkload
2,2,path
9,6,valu
6,6,wait
1,1,checksum
1,1,step
9,5,queue
4,4,amount
5,5,throughput
3,3,synchronis
3,3,pick
24,18,chang
4,3,transact
1,1,semant
3,2,writer
2,2,appli
1,1,transit
1,1,hfilesystem
1,1,getcachedloc
2,2,brought
2,2,deprec
4,4,famili
1,1,fake
2,2,instal
2,1,gateway
5,4,select
1,1,asyncprocess
5,5,perf
2,1,zip
14,13,memori
6,5,give
2,2,upgrad
2,1,coverag
5,4,handler
1,1,overhead
2,2,spike
1,1,scope
1,1,type
1,1,openregion
1,1,sort
1,1,minim
1,1,peopl
2,2,hundr
2,2,notic
1,1,flag
1,1,accept
6,6,hold
1,1,none
2,2,room
1,1,restor
2,2,keyvalueheap
5,5,work
2,2,descriptor
1,1,learn
2,1,root
6,4,stream
30,16,scan
7,7,process
16,10,lock
9,8,share
2,2,javadoc
2,2,indic
1,1,tag
2,2,onlin
1,1,serial
4,4,occur
1,1,string
23,14,filter
4,4,multipl
1,1,goal
1,1,divid
25,19,write
1,1,till
2,2,hot
1,1,criterion
2,1,bytebloomfilt
6,5,answer
