TF,DF,Word
11,10,code
1,1,skip
1,1,failed_open
1,1,sleep
12,12,follow
11,5,compact
1,1,java.lang.assertionerror
1,1,testadmin
3,2,completebulkload
2,2,sens
5,5,introduc
1,1,regionscann
1,1,thriftserv
21,17,exception
5,3,offlin
2,2,processfaileov
10,8,failur
2,1,sequenceid
4,3,hbck
4,4,reproduc
3,3,list
1,1,upload
1,1,iter
1,1,compactio
5,4,session
2,2,raci
3,2,prevent
1,1,impli
2,2,read/writ
4,3,sync
6,4,second
1,1,design
2,1,regionst
1,1,acid
1,1,port
1,1,append
2,2,hregionthriftserv
2,2,appear
4,4,current
10,8,delet
4,3,version
1,1,tickl
5,2,method
3,3,zookeep
1,1,hash
1,1,gener
1,1,debugg
5,5,trunk
5,2,path
6,5,valu
11,9,wait
3,3,daughter
2,2,step
4,2,queue
2,2,amount
1,1,pick
1,1,action
2,2,implement
1,1,transact
1,1,chanc
7,5,cache
1,1,famili
1,1,select
4,3,asyncprocess
1,1,zip
2,2,memori
1,1,hudson
11,9,handler
1,1,morn
1,1,scope
1,1,type
1,1,hundr
4,4,relat
1,1,notic
5,4,stick
1,1,hold
5,3,restor
13,9,work
14,11,abort
2,1,executor
5,3,root
2,2,complic
3,3,stream
1,1,give
21,16,process
24,13,lock
2,2,registr
1,1,share
9,6,sourc
1,1,unassign
1,1,onlin
2,1,aggregationcli
2,2,occur
3,2,secur
8,4,write
4,4,pending_open
3,2,config
4,4,updat
1,1,tablenam
1,1,catalog
1,1,mutat
20,18,data
3,3,parallel
1,1,alloc
5,5,attempt
2,1,hstore
1,1,element
28,24,issu
1,1,receiv
1,1,maintain
1,1,combin
1,1,re-assign
1,1,talk
2,2,jira
5,4,move
2,2,increas
15,9,hlog
1,1,pointer
1,1,snippet
3,1,monitor
2,2,fix
1,1,compressiontest
1,1,requir
1,1,alter
1,1,count
3,2,return
1,1,halt
7,6,handl
2,1,timestamp
5,5,initi
3,2,interrupt
1,1,complain
4,2,name
4,4,edit
1,1,cell
9,5,hmaster
1,1,authent
1,1,mode
4,2,timeout
2,2,debug
2,2,am.joinclust
1,1,side
1,1,splitlog
4,4,hfile
4,3,failov
4,3,continu
2,2,updatelock
11,6,meta
1,1,backport
6,6,connect
13,13,happen
7,5,event
1,1,contend
2,2,safeti
4,3,network
2,2,ycsb
