TF,DF,Word
1,1,serv
5,3,load
1,1,code
1,1,consum
2,1,rest
1,1,kill
1,1,follow
3,3,hlog
1,1,disk
11,6,compact
1,1,profil
1,1,shoud
1,1,slow
1,1,ratio
1,1,monitor
1,1,explain
1,1,cache
2,1,send
2,1,add
3,3,improve
1,1,introduc
1,1,count
6,4,sourc
1,1,hit
1,1,risk
1,1,exist
5,3,replic
1,1,callqueu
1,1,initi
1,1,period
1,1,test
1,1,classload
1,1,failur
1,1,interrupt
2,2,complain
1,1,loss
1,1,cleanerchor
1,1,alex
1,1,organ
4,4,list
3,2,hmaster
2,1,elaps
10,8,server
1,1,mslab
1,1,contain
1,1,debug
3,2,jenkin
1,1,side
5,4,hfile
1,1,respond
3,3,prevent
10,9,fail
1,1,startup
1,1,qualifi
1,1,memstor
7,3,connect
1,1,someth
2,2,corrupt
7,4,close
3,2,port
2,2,hdfs
1,1,hconnectionmanag
6,5,leak
1,1,boundari
1,1,current
3,1,delet
3,2,reus
2,2,condit
1,1,htablepool
1,1,refer
1,1,machin
2,2,zookeep
1,1,regionload
3,3,investig
2,1,proxi
1,1,parent
1,1,reach
1,1,situat
1,1,reason
1,1,trunk
3,2,byte
2,2,throw
1,1,basi
1,1,produc
1,1,coupl
4,2,thread
1,1,avoid
2,1,checksum
19,10,region
2,2,accumul
3,2,queue
1,1,thing
1,1,amount
5,3,instanc
1,1,place
1,1,circuit
3,1,action
5,2,coprocessor
1,1,chang
1,1,mean
1,1,backup
7,4,regionserv
6,3,block
2,1,user
1,1,oper
1,1,point
1,1,waledit
1,1,bound
1,1,hfilesystem
2,1,loader
1,1,testheaps
1,1,shutdown
1,1,cancel
3,2,open
1,1,payload
10,6,size
3,3,java
9,7,creat
2,1,zip
15,12,memori
1,1,buggi
1,1,give
1,1,question
2,1,system
4,4,custom
2,2,start
3,3,handler
5,3,master
1,1,storm
1,1,handl
2,1,forward
1,1,immedi
2,2,final
3,2,store
1,1,iter
2,2,function
1,1,onlineregion
1,1,hundr
1,1,relat
3,3,notic
2,2,continu
2,1,task
1,1,understand
1,1,hold
2,2,case
8,6,outofmemory
4,4,exception
1,1,retriev
1,1,scenario
1,1,possibl
3,2,default
2,2,remov
1,1,org.apache.hadoop..regionserver.hregionserv
4,2,batch
2,1,structur
1,1,charact
3,1,calcul
2,2,hregionserv
1,1,limit
1,1,assum
2,2,error
2,2,consumpt
1,1,problem
2,2,observ
1,1,result
1,1,sort
1,1,scanner
4,2,stream
1,1,scan
1,1,process
1,1,lock
1,1,metric
2,1,flush
2,2,return
5,4,cluster
2,1,abort
1,1,motiv
8,4,file
2,2,tabl
4,2,crash
1,1,serial
3,3,check
1,1,option
1,1,disabl
1,1,copyt
4,3,hadoop
1,1,refactor
1,1,occur
4,3,write
2,2,read
2,2,cleanup
1,1,split
1,1,branch
2,1,answer
1,1,testthriftservercmdline.testrunthriftserv
3,2,node
1,1,stat
3,2,copi
1,1,intend
1,1,allow
1,1,buffer
3,2,class
4,3,object
1,1,compress
1,1,yesterday
1,1,plan
6,3,data
1,1,implement
1,1,tune
2,2,reduc
3,2,alloc
4,3,hregion
3,1,hstore
3,1,algorithm
1,1,request
1,1,assign
10,10,issu
1,1,command
2,1,chanc
4,2,clean
5,4,time
1,1,everyth
1,1,order
