IDF,TF*IDF,DF,TF,Word
0.0625,1.25,15.0,20.0,jira
0.14285714285714285,1.0,6.0,7.0,code
0.3333333333333333,1.0,2.0,3.0,protocol
0.5,0.5,1.0,1.0,open
0.25,0.75,3.0,3.0,move
0.3333333333333333,1.3333333333333333,2.0,4.0,detail
0.07142857142857142,1.1428571428571428,13.0,16.0,connect
0.1,1.0,9.0,10.0,report
0.2,1.0,4.0,5.0,kill
0.3333333333333333,0.6666666666666666,2.0,2.0,abil
0.14285714285714285,0.8571428571428571,6.0,6.0,follow
0.25,1.0,3.0,4.0,hbase
0.1111111111111111,1.5555555555555554,8.0,14.0,disk
0.2,1.0,4.0,5.0,pointer
0.25,0.75,3.0,3.0,find
0.5,0.5,1.0,1.0,paramet
0.25,0.75,3.0,3.0,current
0.25,0.75,3.0,3.0,occur
0.16666666666666666,1.0,5.0,6.0,locat
0.2,1.4000000000000001,4.0,7.0,monitor
0.125,1.5,7.0,12.0,delet
0.25,1.25,3.0,5.0,polici
0.5,0.5,1.0,1.0,trigger
0.16666666666666666,1.0,5.0,6.0,fix
0.09090909090909091,1.6363636363636365,10.0,18.0,cache
0.08333333333333333,1.3333333333333333,11.0,16.0,safemod
0.07142857142857142,0.9285714285714285,13.0,13.0,add
0.3333333333333333,0.6666666666666666,2.0,2.0,latenc
0.2,0.8,4.0,4.0,requir
0.3333333333333333,0.6666666666666666,2.0,2.0,factor
0.16666666666666666,1.1666666666666665,5.0,7.0,input
0.3333333333333333,0.6666666666666666,2.0,2.0,save
0.125,1.0,7.0,8.0,corrupt
0.25,0.75,3.0,3.0,introduc
0.5,0.5,1.0,1.0,split
0.2,0.8,4.0,4.0,shoot
0.3333333333333333,0.6666666666666666,2.0,2.0,sourc
0.14285714285714285,0.8571428571428571,6.0,6.0,return
0.3333333333333333,1.0,2.0,3.0,format
0.08333333333333333,1.1666666666666665,11.0,14.0,handl
0.2,1.2000000000000002,4.0,6.0,safe
0.3333333333333333,0.6666666666666666,2.0,2.0,stop
0.3333333333333333,0.6666666666666666,2.0,2.0,period
0.25,0.75,3.0,3.0,break
0.5,0.5,1.0,1.0,know
0.16666666666666666,0.8333333333333333,5.0,5.0,condit
0.2,1.2000000000000002,4.0,6.0,interrupt
0.5,1.0,1.0,2.0,bit
0.25,1.0,3.0,4.0,one
0.3333333333333333,0.6666666666666666,2.0,2.0,discuss
0.06666666666666667,1.4,14.0,21.0,restart
0.1111111111111111,1.3333333333333333,8.0,12.0,enabl
0.16666666666666666,1.1666666666666665,5.0,7.0,loss
