IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.5,0.5,1.0,1.0,load
0.3333333333333333,0.6666666666666666,2.0,2.0,set
0.3333333333333333,1.0,2.0,3.0,process
0.5,0.5,1.0,1.0,edit
0.5,1.0,1.0,2.0,read
0.5,1.5,1.0,3.0,corrupt
0.5,0.5,1.0,1.0,rpc
0.5,0.5,1.0,1.0,featur
0.5,1.0,1.0,2.0,design
0.5,0.5,1.0,1.0,result
0.3333333333333333,0.6666666666666666,2.0,2.0,file
0.25,2.0,3.0,8.0,fail
0.5,0.5,1.0,1.0,miss
0.5,0.5,1.0,1.0,gateway
0.3333333333333333,1.3333333333333333,2.0,4.0,append
0.5,0.5,1.0,1.0,issu
0.5,0.5,1.0,1.0,detect
0.5,0.5,1.0,1.0,network
0.5,0.5,1.0,1.0,start
0.5,4.0,1.0,8.0,transfer
0.3333333333333333,0.6666666666666666,2.0,2.0,support
0.5,0.5,1.0,1.0,cache
0.5,0.5,1.0,1.0,hadoop
0.5,1.0,1.0,2.0,safemod
0.5,1.5,1.0,3.0,custom
0.5,1.0,1.0,2.0,checkpoint
0.5,1.0,1.0,2.0,leas
0.25,0.75,3.0,3.0,add
0.5,0.5,1.0,1.0,trigger
0.5,0.5,1.0,1.0,call
0.5,0.5,1.0,1.0,buffer
0.5,1.0,1.0,2.0,save
0.5,1.0,1.0,2.0,method
0.5,0.5,1.0,1.0,refer
0.2,1.6,4.0,8.0,node
0.5,0.5,1.0,1.0,applic
0.3333333333333333,1.0,2.0,3.0,pipelin
0.5,1.0,1.0,2.0,return
0.5,1.0,1.0,2.0,proxi
0.5,0.5,1.0,1.0,hdfs
0.5,1.5,1.0,3.0,namespac
0.5,0.5,1.0,1.0,stop
0.5,0.5,1.0,1.0,understand
0.5,0.5,1.0,1.0,user
0.5,0.5,1.0,1.0,address
0.5,0.5,1.0,1.0,put
0.5,0.5,1.0,1.0,renam
0.3333333333333333,1.3333333333333333,2.0,4.0,data
0.5,0.5,1.0,1.0,chang
0.5,1.0,1.0,2.0,name
0.5,0.5,1.0,1.0,case
0.5,1.0,1.0,2.0,exception
0.5,0.5,1.0,1.0,attempt
0.5,0.5,1.0,1.0,target
0.3333333333333333,0.6666666666666666,2.0,2.0,provid
0.5,0.5,1.0,1.0,checksum
0.5,0.5,1.0,1.0,setup
0.3333333333333333,1.0,2.0,3.0,request
0.3333333333333333,1.0,2.0,3.0,recov
0.5,0.5,1.0,1.0,admin
0.5,1.5,1.0,3.0,write
0.5,0.5,1.0,1.0,commit
0.3333333333333333,1.0,2.0,3.0,implement
0.5,0.5,1.0,1.0,backup
0.5,0.5,1.0,1.0,section
0.5,1.5,1.0,3.0,block
