IDF,TF*IDF,DF,TF,Word
0.06666666666666667,0.9333333333333333,14.0,14.0,jira
0.1,1.1,9.0,11.0,default
0.0625,0.9375,15.0,15.0,code
0.16666666666666666,1.0,5.0,6.0,protocol
0.125,1.125,7.0,9.0,help
0.16666666666666666,0.8333333333333333,5.0,5.0,execut
0.14285714285714285,1.2857142857142856,6.0,9.0,skip
0.3333333333333333,1.0,2.0,3.0,hostnam
0.1111111111111111,1.1111111111111112,8.0,10.0,move
0.25,0.75,3.0,3.0,obtain
0.2,0.8,4.0,4.0,fsdirectori
0.09090909090909091,1.0,10.0,11.0,concurr
0.5,0.5,1.0,1.0,kill
0.125,1.25,7.0,10.0,invalid
0.2,0.8,4.0,4.0,abil
0.05,1.1500000000000001,19.0,23.0,implement
0.05555555555555555,1.1666666666666665,17.0,21.0,hbase
0.043478260869565216,1.391304347826087,22.0,32.0,disk
0.1111111111111111,1.222222222222222,8.0,11.0,speed
0.14285714285714285,1.0,6.0,7.0,find
0.25,1.25,3.0,5.0,paramet
0.14285714285714285,1.0,6.0,7.0,web
0.09090909090909091,1.5454545454545454,10.0,17.0,locat
0.2,1.0,4.0,5.0,monitor
0.09090909090909091,3.0,10.0,33.0,leas
0.2,1.6,4.0,8.0,polici
0.14285714285714285,1.2857142857142856,6.0,9.0,trigger
0.1111111111111111,0.8888888888888888,8.0,8.0,fix
0.14285714285714285,1.857142857142857,6.0,13.0,writer
0.125,1.125,7.0,9.0,releas
0.14285714285714285,0.8571428571428571,6.0,6.0,send
0.027777777777777776,1.222222222222222,35.0,44.0,add
0.14285714285714285,1.0,6.0,7.0,latenc
0.08333333333333333,1.0833333333333333,11.0,13.0,requir
0.2,1.0,4.0,5.0,factor
0.1,1.8,9.0,18.0,input
0.1111111111111111,0.8888888888888888,8.0,8.0,save
0.14285714285714285,1.4285714285714284,6.0,10.0,local
0.14285714285714285,0.8571428571428571,6.0,6.0,introduc
0.25,0.75,3.0,3.0,build
0.1,1.0,9.0,10.0,applic
0.125,1.0,7.0,8.0,random
0.3333333333333333,1.0,2.0,3.0,crash
0.16666666666666666,1.3333333333333333,5.0,8.0,string
0.16666666666666666,1.0,5.0,6.0,format
0.017543859649122806,1.719298245614035,56.0,98.0,read
0.5,1.0,1.0,2.0,safe
0.5,0.5,1.0,1.0,stop
0.25,1.0,3.0,4.0,daemon
0.25,0.75,3.0,3.0,period
0.2,1.2000000000000002,4.0,6.0,util
0.5,0.5,1.0,1.0,specifi
0.25,0.75,3.0,3.0,know
0.03125,2.3125,31.0,74.0,report
0.125,0.875,7.0,7.0,bit
0.2,0.8,4.0,4.0,one
0.16666666666666666,0.8333333333333333,5.0,5.0,discuss
0.14285714285714285,1.0,6.0,7.0,restart
0.16666666666666666,1.0,5.0,6.0,enabl
0.25,1.5,3.0,6.0,measur
0.045454545454545456,1.3636363636363638,21.0,30.0,optim
0.023255813953488372,1.6511627906976745,42.0,71.0,name
0.2,0.8,4.0,4.0,level
0.045454545454545456,1.9090909090909092,21.0,42.0,edit
0.125,1.125,7.0,9.0,drop
0.05,1.7000000000000002,19.0,34.0,list
0.1,1.3,9.0,13.0,leak
0.1111111111111111,1.1111111111111112,8.0,10.0,server
0.125,1.125,7.0,9.0,collect
0.25,1.25,3.0,5.0,token
0.3333333333333333,0.6666666666666666,2.0,2.0,follow
0.25,1.75,3.0,7.0,mode
0.2,1.0,4.0,5.0,timeout
0.07142857142857142,1.1428571428571428,13.0,16.0,contain
0.5,0.5,1.0,1.0,break
0.5,1.0,1.0,2.0,output
0.16666666666666666,0.8333333333333333,5.0,5.0,updat
0.1111111111111111,1.3333333333333333,8.0,12.0,servic
0.3333333333333333,1.3333333333333333,2.0,4.0,persist
0.07692307692307693,0.9230769230769231,12.0,12.0,mean
0.16666666666666666,1.0,5.0,6.0,prevent
0.047619047619047616,1.0952380952380951,20.0,23.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,qjm
0.2,1.0,4.0,5.0,permiss
0.16666666666666666,1.0,5.0,6.0,replac
0.14285714285714285,1.1428571428571428,6.0,8.0,chunk
0.03571428571428571,1.9642857142857142,27.0,55.0,sync
0.3333333333333333,1.3333333333333333,2.0,4.0,group
0.06666666666666667,1.1333333333333333,14.0,17.0,second
0.25,1.0,3.0,4.0,xceiver
0.05263157894736842,1.789473684210526,18.0,34.0,connect
0.25,1.75,3.0,7.0,respons
0.06666666666666667,1.3333333333333333,14.0,20.0,fail
0.06666666666666667,1.2,14.0,18.0,close
0.14285714285714285,0.8571428571428571,6.0,6.0,patch
0.1111111111111111,1.1111111111111112,8.0,10.0,transport
0.16666666666666666,1.0,5.0,6.0,page
0.012987012987012988,1.4675324675324677,76.0,113.0,hdfs
0.16666666666666666,1.5,5.0,9.0,diff
0.04,1.0,24.0,25.0,detect
0.5,0.5,1.0,1.0,hftp
0.09090909090909091,1.0,10.0,11.0,network
0.09090909090909091,0.9090909090909092,10.0,10.0,space
0.03225806451612903,1.096774193548387,30.0,34.0,assum
0.25,0.75,3.0,3.0,someth
0.14285714285714285,1.0,6.0,7.0,size
0.25,1.0,3.0,4.0,invok
0.05263157894736842,0.9473684210526315,18.0,18.0,current
0.05555555555555555,1.7777777777777777,17.0,32.0,delet
0.0625,1.1875,15.0,19.0,state
0.5,1.0,1.0,2.0,exit
0.07692307692307693,1.3846153846153846,12.0,18.0,reader
0.2,1.2000000000000002,4.0,6.0,progress
