load,node,protocol,abil,creat,process,abstract,cluster,rpc,replica,result,increment,hbase,port,transport,help,hdfs,multipl,stream,delet,support,writer,system,custom,write,start,reader,config,topolog,function,applic,file,distribut,read,alloc,data,requir,network,case,handl,name,thread,provid,servic,current,request,queue,exampl,issu,time,decommiss,problem,avoid,block,connect
0,7.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1.0,0,0,0,3.0,0
0,7.0,0,2.0,0,0,0,3.0,0,4.0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,1.0,0,0,0,0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0
0,7.0,0,0,0,0,0,0,0,4.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,3.0,0
2.0,7.0,0,0,0,0,0,0,0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,2.0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,3.0,1.0
2.0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,1.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
0,7.0,1.0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,2.0,1.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,1.0,0,0,0,0,0,2.0,0,2.0,0,2.0,0,0,1.0,0,0,1.0,1.0,0,0,0,0,0,2.0,0,0,0,1.0,0,0
0,7.0,0,0,0,0,1.0,3.0,2.0,0,0,0,1.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,0,0
