IDF,TF*IDF,DF,TF,Word
0.3333333333333333,1.0,2.0,3.0,load
0.5,0.5,1.0,1.0,function
0.5,0.5,1.0,1.0,protocol
0.3333333333333333,0.6666666666666666,2.0,2.0,abil
0.5,0.5,1.0,1.0,creat
0.5,0.5,1.0,1.0,process
0.5,0.5,1.0,1.0,abstract
0.25,0.75,3.0,3.0,cluster
0.3333333333333333,1.0,2.0,3.0,rpc
0.2,2.4000000000000004,4.0,12.0,replica
0.5,0.5,1.0,1.0,result
0.5,0.5,1.0,1.0,increment
0.5,0.5,1.0,1.0,stream
0.5,0.5,1.0,1.0,hbase
0.5,1.0,1.0,2.0,port
0.5,0.5,1.0,1.0,transport
0.5,0.5,1.0,1.0,help
0.5,1.0,1.0,2.0,hdfs
0.3333333333333333,0.6666666666666666,2.0,2.0,multipl
0.5,1.0,1.0,2.0,network
0.5,0.5,1.0,1.0,start
0.25,1.0,3.0,4.0,support
0.5,0.5,1.0,1.0,writer
0.5,1.0,1.0,2.0,system
0.5,0.5,1.0,1.0,custom
0.5,1.0,1.0,2.0,write
0.5,0.5,1.0,1.0,delet
0.5,0.5,1.0,1.0,reader
0.5,1.0,1.0,2.0,config
0.5,0.5,1.0,1.0,topolog
0.125,1.875,7.0,15.0,node
0.5,0.5,1.0,1.0,applic
0.3333333333333333,1.0,2.0,3.0,file
0.5,0.5,1.0,1.0,distribut
0.3333333333333333,1.6666666666666665,2.0,5.0,read
0.5,0.5,1.0,1.0,handl
0.3333333333333333,0.6666666666666666,2.0,2.0,data
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,case
0.5,0.5,1.0,1.0,alloc
0.5,0.5,1.0,1.0,name
0.5,0.5,1.0,1.0,thread
0.5,0.5,1.0,1.0,provid
0.5,0.5,1.0,1.0,servic
0.5,0.5,1.0,1.0,current
0.3333333333333333,1.0,2.0,3.0,request
0.5,0.5,1.0,1.0,queue
0.5,0.5,1.0,1.0,exampl
0.3333333333333333,0.6666666666666666,2.0,2.0,issu
0.5,0.5,1.0,1.0,time
0.5,1.5,1.0,3.0,decommiss
0.5,0.5,1.0,1.0,problem
0.5,0.5,1.0,1.0,avoid
0.25,1.75,3.0,7.0,block
0.5,0.5,1.0,1.0,connect
