IDF,TF*IDF,DF,TF,Word
0.08333333333333333,1.1666666666666665,11.0,14.0,jira
0.05555555555555555,1.3888888888888888,17.0,25.0,code
0.1111111111111111,1.222222222222222,8.0,11.0,protocol
0.14285714285714285,1.1428571428571428,6.0,8.0,execut
0.2,1.2000000000000002,4.0,6.0,open
0.3333333333333333,1.3333333333333333,2.0,4.0,skip
0.14285714285714285,1.2857142857142856,6.0,9.0,move
0.5,0.5,1.0,1.0,obtain
0.125,1.125,7.0,9.0,detail
0.2,1.2000000000000002,4.0,6.0,interrupt
0.125,0.875,7.0,7.0,concurr
0.3333333333333333,0.6666666666666666,2.0,2.0,kill
0.1111111111111111,1.8888888888888888,8.0,17.0,upgrad
0.16666666666666666,1.5,5.0,9.0,permiss
0.2,0.8,4.0,4.0,follow
0.125,0.875,7.0,7.0,hbase
0.05263157894736842,1.4210526315789473,18.0,27.0,disk
0.1111111111111111,1.0,8.0,9.0,pointer
0.1,1.0,9.0,10.0,find
0.5,0.5,1.0,1.0,amount
0.3333333333333333,0.6666666666666666,2.0,2.0,paramet
0.3333333333333333,0.6666666666666666,2.0,2.0,delay
0.1,1.3,9.0,13.0,locat
0.125,1.25,7.0,10.0,monitor
0.06666666666666667,2.1333333333333333,14.0,32.0,leas
0.09090909090909091,2.5454545454545454,10.0,28.0,polici
0.5,1.0,1.0,2.0,invalid
0.05555555555555555,1.1111111111111112,17.0,20.0,fix
0.08333333333333333,1.75,11.0,21.0,cache
0.25,0.75,3.0,3.0,releas
0.3333333333333333,0.6666666666666666,2.0,2.0,port
0.08333333333333333,1.25,11.0,15.0,safemod
0.2,1.6,4.0,8.0,distribut
0.045454545454545456,1.1363636363636365,21.0,25.0,add
0.5,0.5,1.0,1.0,latenc
0.2,1.0,4.0,5.0,requir
0.2,1.0,4.0,5.0,factor
0.25,1.75,3.0,7.0,input
0.125,1.375,7.0,11.0,save
0.5,0.5,1.0,1.0,local
0.5,0.5,1.0,1.0,introduc
0.5,0.5,1.0,1.0,split
0.25,0.75,3.0,3.0,shoot
0.2,1.0,4.0,5.0,random
0.25,1.25,3.0,5.0,crash
0.2,1.0,4.0,5.0,string
0.125,1.125,7.0,9.0,format
0.045454545454545456,1.0909090909090908,21.0,24.0,handl
0.3333333333333333,0.6666666666666666,2.0,2.0,safe
0.1111111111111111,0.8888888888888888,8.0,8.0,stop
0.25,0.75,3.0,3.0,period
0.1111111111111111,1.0,8.0,9.0,break
0.14285714285714285,0.8571428571428571,6.0,6.0,know
0.09090909090909091,1.0,10.0,11.0,base
