IDF,TF*IDF,DF,TF,Word
0.25,0.75,3.0,3.0,jira
0.25,0.75,3.0,3.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,protocol
0.5,0.5,1.0,1.0,help
0.5,0.5,1.0,1.0,execut
0.5,0.5,1.0,1.0,skip
0.5,1.0,1.0,2.0,hostnam
0.5,1.0,1.0,2.0,random
0.5,0.5,1.0,1.0,obtain
0.3333333333333333,0.6666666666666666,2.0,2.0,fsdirectori
0.3333333333333333,0.6666666666666666,2.0,2.0,concurr
0.5,0.5,1.0,1.0,kill
0.5,0.5,1.0,1.0,abil
0.2,0.8,4.0,4.0,implement
0.2,0.8,4.0,4.0,hbase
0.3333333333333333,1.0,2.0,3.0,disk
0.3333333333333333,1.0,2.0,3.0,speed
0.25,1.0,3.0,4.0,find
0.3333333333333333,1.3333333333333333,2.0,4.0,move
0.25,0.75,3.0,3.0,web
0.25,0.75,3.0,3.0,locat
0.3333333333333333,1.3333333333333333,2.0,4.0,monitor
0.2,2.0,4.0,10.0,leas
0.5,0.5,1.0,1.0,polici
0.5,0.5,1.0,1.0,trigger
0.16666666666666666,0.8333333333333333,5.0,5.0,fix
0.16666666666666666,1.8333333333333333,5.0,11.0,cache
0.3333333333333333,0.6666666666666666,2.0,2.0,send
0.25,0.75,3.0,3.0,add
0.5,0.5,1.0,1.0,latenc
0.3333333333333333,0.6666666666666666,2.0,2.0,requir
0.5,0.5,1.0,1.0,factor
0.25,1.25,3.0,5.0,input
0.3333333333333333,0.6666666666666666,2.0,2.0,save
0.5,0.5,1.0,1.0,corrupt
0.3333333333333333,1.0,2.0,3.0,introduc
0.3333333333333333,0.6666666666666666,2.0,2.0,applic
0.3333333333333333,1.3333333333333333,2.0,4.0,sourc
0.5,1.0,1.0,2.0,crash
0.5,0.5,1.0,1.0,string
0.5,1.0,1.0,2.0,loss
0.1111111111111111,1.0,8.0,9.0,read
0.5,0.5,1.0,1.0,period
0.5,0.5,1.0,1.0,util
0.5,0.5,1.0,1.0,know
0.5,0.5,1.0,1.0,condit
0.14285714285714285,1.5714285714285714,6.0,11.0,report
0.5,0.5,1.0,1.0,bit
0.5,0.5,1.0,1.0,discuss
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,measur
0.5,0.5,1.0,1.0,daemon
0.08333333333333333,1.8333333333333333,11.0,22.0,name
0.2,1.8,4.0,9.0,edit
0.1111111111111111,1.4444444444444444,8.0,13.0,list
0.5,0.5,1.0,1.0,elaps
0.25,0.75,3.0,3.0,server
0.3333333333333333,1.0,2.0,3.0,collect
0.3333333333333333,1.0,2.0,3.0,token
0.5,0.5,1.0,1.0,mode
0.3333333333333333,1.0,2.0,3.0,timeout
0.14285714285714285,0.8571428571428571,6.0,6.0,contain
0.5,1.0,1.0,2.0,output
0.2,0.8,4.0,4.0,updat
0.2,1.2000000000000002,4.0,6.0,servic
0.3333333333333333,0.6666666666666666,2.0,2.0,mean
0.5,0.5,1.0,1.0,prevent
0.16666666666666666,0.8333333333333333,5.0,5.0,set
0.5,0.5,1.0,1.0,replac
0.5,0.5,1.0,1.0,chunk
0.2,0.8,4.0,4.0,continu
0.2,1.0,4.0,5.0,second
0.5,1.0,1.0,2.0,design
0.25,0.75,3.0,3.0,connect
0.5,0.5,1.0,1.0,follow
0.125,1.75,7.0,14.0,fail
0.1111111111111111,1.3333333333333333,8.0,12.0,close
0.5,0.5,1.0,1.0,transport
0.5,0.5,1.0,1.0,qjm
0.058823529411764705,1.6470588235294117,16.0,28.0,hdfs
0.125,0.875,7.0,7.0,detect
0.3333333333333333,0.6666666666666666,2.0,2.0,network
0.2,0.8,4.0,4.0,space
0.25,1.75,3.0,7.0,miss
0.2,2.0,4.0,10.0,section
0.5,0.5,1.0,1.0,gateway
0.25,0.75,3.0,3.0,access
0.16666666666666666,2.0,5.0,12.0,delet
0.16666666666666666,1.3333333333333333,5.0,8.0,state
0.5,0.5,1.0,1.0,reader
0.5,0.5,1.0,1.0,progress
0.5,1.0,1.0,2.0,merg
0.5,0.5,1.0,1.0,xceiver
0.5,0.5,1.0,1.0,topolog
0.25,1.0,3.0,4.0,refer
0.14285714285714285,1.857142857142857,6.0,13.0,object
0.5,0.5,1.0,1.0,gener
0.5,0.5,1.0,1.0,host
0.5,0.5,1.0,1.0,address
0.5,0.5,1.0,1.0,put
0.16666666666666666,0.8333333333333333,5.0,5.0,path
0.125,1.125,7.0,9.0,method
0.5,0.5,1.0,1.0,stay
0.25,0.75,3.0,3.0,throw
0.2,0.8,4.0,4.0,valu
0.1111111111111111,1.1111111111111112,8.0,10.0,improve
0.1,1.7000000000000002,9.0,17.0,socket
0.07142857142857142,1.7857142857142856,13.0,25.0,thread
0.5,0.5,1.0,1.0,avoid
0.3333333333333333,1.0,2.0,3.0,admin
0.3333333333333333,0.6666666666666666,2.0,2.0,region
0.3333333333333333,0.6666666666666666,2.0,2.0,count
0.5,0.5,1.0,1.0,refus
0.16666666666666666,1.6666666666666665,5.0,10.0,manag
0.5,0.5,1.0,1.0,queue
0.5,0.5,1.0,1.0,amount
0.5,0.5,1.0,1.0,throughput
0.5,1.0,1.0,2.0,context
0.3333333333333333,2.0,2.0,6.0,heartbeat
0.16666666666666666,1.0,5.0,6.0,chang
