IDF,TF*IDF,DF,TF,Word
0.14285714285714285,0.8571428571428571,6.0,6.0,jira
0.2,1.0,4.0,5.0,code
0.14285714285714285,1.0,6.0,7.0,protocol
0.25,0.75,3.0,3.0,obtain
0.5,0.5,1.0,1.0,page
0.5,0.5,1.0,1.0,detail
0.5,0.5,1.0,1.0,concurr
0.25,1.75,3.0,7.0,permiss
0.5,0.5,1.0,1.0,follow
0.5,0.5,1.0,1.0,disk
0.5,0.5,1.0,1.0,pointer
0.5,0.5,1.0,1.0,find
0.5,0.5,1.0,1.0,paramet
0.1111111111111111,0.8888888888888888,8.0,8.0,current
0.3333333333333333,1.0,2.0,3.0,group
0.5,0.5,1.0,1.0,polici
0.25,0.75,3.0,3.0,fix
0.5,1.0,1.0,2.0,cache
0.3333333333333333,0.6666666666666666,2.0,2.0,send
0.06666666666666667,1.0666666666666667,14.0,16.0,add
0.5,0.5,1.0,1.0,restart
0.5,0.5,1.0,1.0,factor
0.5,0.5,1.0,1.0,introduc
0.5,0.5,1.0,1.0,applic
0.25,1.0,3.0,4.0,return
0.25,1.25,3.0,5.0,read
0.5,0.5,1.0,1.0,stop
0.3333333333333333,1.0,2.0,3.0,break
0.5,0.5,1.0,1.0,report
0.3333333333333333,1.0,2.0,3.0,servlet
0.2,1.0,4.0,5.0,requir
0.1,2.0,9.0,20.0,name
0.058823529411764705,1.2352941176470589,16.0,21.0,enabl
0.5,0.5,1.0,1.0,level
0.16666666666666666,1.0,5.0,6.0,edit
0.5,0.5,1.0,1.0,list
0.07692307692307693,1.076923076923077,12.0,14.0,authent
0.09090909090909091,1.1818181818181819,10.0,13.0,server
0.03125,2.09375,31.0,67.0,token
0.5,0.5,1.0,1.0,race
0.3333333333333333,1.0,2.0,3.0,mode
0.25,1.0,3.0,4.0,contain
0.3333333333333333,0.6666666666666666,2.0,2.0,path
0.09090909090909091,1.7272727272727273,10.0,19.0,servic
0.25,0.75,3.0,3.0,mean
0.25,0.75,3.0,3.0,prevent
0.1111111111111111,1.1111111111111112,8.0,10.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,second
0.07692307692307693,1.3076923076923077,12.0,17.0,connect
0.5,0.5,1.0,1.0,respons
0.05263157894736842,1.3157894736842104,18.0,25.0,fail
0.5,0.5,1.0,1.0,patch
0.1,2.0,9.0,20.0,port
