IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.5,1.0,1.0,2.0,random
0.5,0.5,1.0,1.0,follow
0.2,1.4000000000000001,4.0,7.0,group
0.3333333333333333,1.0,2.0,3.0,monitor
0.16666666666666666,2.0,5.0,12.0,polici
0.3333333333333333,0.6666666666666666,2.0,2.0,add
0.3333333333333333,0.6666666666666666,2.0,2.0,restart
0.3333333333333333,0.6666666666666666,2.0,2.0,factor
0.5,1.0,1.0,2.0,save
0.5,0.5,1.0,1.0,local
0.3333333333333333,0.6666666666666666,2.0,2.0,count
0.5,0.5,1.0,1.0,handl
0.5,0.5,1.0,1.0,stop
0.5,0.5,1.0,1.0,report
0.25,0.75,3.0,3.0,implement
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,enabl
0.5,0.5,1.0,1.0,drop
0.3333333333333333,0.6666666666666666,2.0,2.0,list
0.5,0.5,1.0,1.0,server
0.5,0.5,1.0,1.0,provid
0.5,0.5,1.0,1.0,mode
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,design
0.5,0.5,1.0,1.0,fail
0.3333333333333333,1.0,2.0,3.0,hdfs
0.2,0.8,4.0,4.0,network
0.5,1.0,1.0,2.0,avoid
0.5,0.5,1.0,1.0,current
0.5,1.0,1.0,2.0,method
0.5,0.5,1.0,1.0,condit
0.16666666666666666,1.3333333333333333,5.0,8.0,topolog
0.5,0.5,1.0,1.0,refer
0.5,0.5,1.0,1.0,machin
0.5,0.5,1.0,1.0,gener
0.3333333333333333,2.0,2.0,6.0,put
0.5,0.5,1.0,1.0,improve
0.5,0.5,1.0,1.0,thread
0.125,1.75,7.0,14.0,rack
0.5,1.0,1.0,2.0,queue
0.25,0.75,3.0,3.0,chang
0.1111111111111111,2.111111111111111,8.0,19.0,block
0.5,0.5,1.0,1.0,number
0.25,0.75,3.0,3.0,assum
0.5,0.5,1.0,1.0,size
0.25,1.0,3.0,4.0,support
0.5,0.5,1.0,1.0,system
0.5,1.0,1.0,2.0,custom
0.5,0.5,1.0,1.0,start
0.3333333333333333,0.6666666666666666,2.0,2.0,call
0.5,0.5,1.0,1.0,store
0.3333333333333333,0.6666666666666666,2.0,2.0,option
0.5,0.5,1.0,1.0,tool
0.3333333333333333,0.6666666666666666,2.0,2.0,case
0.5,1.0,1.0,2.0,exception
0.16666666666666666,0.8333333333333333,5.0,5.0,default
0.25,1.0,3.0,4.0,remov
0.25,1.0,3.0,4.0,work
0.25,1.75,3.0,7.0,balanc
0.5,0.5,1.0,1.0,problem
0.5,1.5,1.0,3.0,loop
0.5,0.5,1.0,1.0,comput
0.5,0.5,1.0,1.0,creat
0.3333333333333333,0.6666666666666666,2.0,2.0,process
0.5,0.5,1.0,1.0,lock
0.5,0.5,1.0,1.0,abstract
0.5,0.5,1.0,1.0,defect
0.3333333333333333,0.6666666666666666,2.0,2.0,cluster
0.125,2.75,7.0,22.0,replica
0.3333333333333333,0.6666666666666666,2.0,2.0,exist
0.3333333333333333,0.6666666666666666,2.0,2.0,check
0.5,0.5,1.0,1.0,multipl
0.3333333333333333,0.6666666666666666,2.0,2.0,hadoop
0.5,0.5,1.0,1.0,test
0.3333333333333333,1.3333333333333333,2.0,4.0,config
0.3333333333333333,1.0,2.0,3.0,updat
0.1,2.4000000000000004,9.0,24.0,node
0.3333333333333333,1.0,2.0,3.0,choos
0.5,0.5,1.0,1.0,stay
0.5,0.5,1.0,1.0,class
0.5,0.5,1.0,1.0,reduc
0.16666666666666666,2.1666666666666665,5.0,13.0,placement
0.5,0.5,1.0,1.0,scenario
0.5,0.5,1.0,1.0,time
0.5,0.5,1.0,1.0,decommiss
