IDF,TF*IDF,DF,TF,Word
0.01818181818181818,1.2,54.0,66.0,code
0.1,1.4000000000000001,9.0,14.0,skip
0.09090909090909091,0.9090909090909092,10.0,10.0,abil
0.0625,0.9375,15.0,15.0,follow
0.0196078431372549,1.4901960784313726,50.0,76.0,disk
0.03571428571428571,1.3928571428571428,27.0,39.0,safemod
0.07142857142857142,1.0,13.0,14.0,introduc
0.08333333333333333,1.5,11.0,18.0,sourc
0.1,1.3,9.0,13.0,string
0.09090909090909091,1.2727272727272727,10.0,14.0,util
0.1111111111111111,1.5555555555555554,8.0,14.0,servlet
0.017241379310344827,1.206896551724138,57.0,70.0,implement
0.07142857142857142,0.9285714285714285,13.0,13.0,level
0.018518518518518517,1.6296296296296295,53.0,88.0,list
0.04,1.28,24.0,32.0,race
0.05555555555555555,1.3333333333333333,17.0,24.0,verif
0.0625,2.0,15.0,32.0,rack
0.05555555555555555,1.0,17.0,18.0,prevent
0.02127659574468085,1.7872340425531914,46.0,84.0,sync
0.03571428571428571,1.107142857142857,27.0,31.0,second
0.08333333333333333,1.0833333333333333,11.0,13.0,design
0.05,1.75,19.0,35.0,port
0.02857142857142857,1.5142857142857142,34.0,53.0,append
0.004784688995215311,1.444976076555024,208.0,302.0,hdfs
0.037037037037037035,1.6296296296296295,26.0,44.0,deleg
0.058823529411764705,1.0588235294117647,16.0,18.0,appear
0.05555555555555555,1.8333333333333333,17.0,33.0,section
0.025,0.9750000000000001,39.0,39.0,current
0.020833333333333332,1.5,47.0,72.0,delet
0.02127659574468085,1.2340425531914894,46.0,58.0,method
0.05263157894736842,1.4210526315789473,18.0,27.0,gener
0.05,1.0,19.0,20.0,trunk
0.020833333333333332,1.4583333333333333,47.0,70.0,path
0.08333333333333333,1.0,11.0,12.0,modifi
0.05263157894736842,1.0,18.0,19.0,valu
0.047619047619047616,1.2380952380952381,20.0,26.0,wait
0.041666666666666664,1.875,23.0,45.0,checksum
0.1111111111111111,1.4444444444444444,8.0,13.0,diff
0.058823529411764705,1.6470588235294117,16.0,28.0,queue
0.1,0.9,9.0,9.0,amount
0.1,0.9,9.0,9.0,throughput
0.020833333333333332,1.1875,47.0,57.0,chang
0.0625,1.6875,15.0,27.0,writer
0.047619047619047616,1.3333333333333333,20.0,28.0,put
0.0625,1.1875,15.0,19.0,api
0.058823529411764705,1.1176470588235294,16.0,19.0,send
0.1,1.4000000000000001,9.0,14.0,gateway
0.014285714285714285,1.5142857142857142,69.0,106.0,memori
0.037037037037037035,1.222222222222222,26.0,33.0,give
0.1111111111111111,1.6666666666666665,8.0,15.0,regist
0.0625,2.125,15.0,34.0,upgrad
0.1111111111111111,0.8888888888888888,8.0,8.0,handler
0.008695652173913044,1.5043478260869565,114.0,173.0,call
0.1,1.2000000000000002,9.0,12.0,flag
0.08333333333333333,1.3333333333333333,11.0,16.0,loss
0.07692307692307693,1.0,12.0,13.0,shoot
0.05555555555555555,1.1111111111111112,17.0,20.0,setup
0.022727272727272728,1.1590909090909092,43.0,51.0,work
0.09090909090909091,0.9090909090909092,10.0,10.0,remain
0.09090909090909091,1.3636363636363638,10.0,15.0,root
0.05,1.25,19.0,25.0,fetch
