TF,DF,Word
63,52,code
4,2,edg
4,4,queri
4,4,consum
3,3,month
10,10,abil
23,23,follow
67,47,disk
2,2,zookeep
3,2,stub
5,4,repl
2,2,lifetim
57,43,secur
46,29,safemod
5,3,fs.defaultf
2,2,decis
2,2,jvm
7,5,stable
3,3,sens
14,13,introduc
3,2,everyth
17,10,sourc
7,6,string
2,2,congest
19,18,replic
2,2,offlin
6,5,util
4,4,print
38,15,volum
5,4,bpofferservic
80,57,failur
7,7,affect
4,4,ticket
3,3,bottleneck
9,7,servlet
3,3,common
2,2,writelock
11,9,administr
10,10,level
2,2,complic
8,6,scalabl
68,46,list
11,9,upload
6,6,iter
2,2,findmaxtransact
30,23,race
12,8,verif
7,7,mount
10,9,dir
18,17,prevent
5,4,leasemanag
6,5,read/writ
2,2,ten
34,22,sync
2,2,cachin
2,2,past
22,20,second
3,3,cost
13,11,design
21,16,pass
12,7,download
29,17,port
35,25,append
30,17,deleg
18,16,appear
8,6,compar
3,3,cast
2,2,bufcurr
29,16,section
4,3,fadvis
8,7,replicationmonitor
47,47,current
68,43,delet
56,44,method
9,7,metadata
5,4,redirect
3,3,subtre
6,3,hash
20,15,gener
2,2,satisfi
4,3,fsdir
7,6,free
20,19,trunk
54,39,path
12,11,modifi
19,18,valu
17,15,wait
3,3,incom
5,2,search
4,4,scanner
4,3,fenc
2,2,respon
31,16,checksum
6,4,diff
2,2,observ
25,15,queue
2,2,credit
2,2,getvolumemap
8,8,throughput
3,3,behav
51,43,chang
2,2,explain
7,7,semant
24,14,writer
3,3,regardless
4,3,solut
7,6,transit
4,3,re-regist
6,3,leasecheck
6,5,ask
2,2,intent
3,2,opcod
4,3,instal
3,2,decrement
13,8,gateway
9,7,unit
6,4,bookkeep
4,3,nullpointerexception
9,7,distcp
4,3,commun
32,25,give
21,13,upgrad
2,2,impos
2,2,piggyback
3,2,pre-alloc
8,8,handler
5,5,overhead
10,9,increas
4,4,scope
6,6,type
2,2,sort
4,4,desir
3,2,idempot
2,2,notif
4,4,mismatch
2,2,networktopolog
6,5,enhanc
4,3,warn
2,2,trail
5,4,visual
25,23,indic
2,2,examin
4,3,effort
6,5,shoot
3,3,retriev
2,2,puzzl
8,7,restor
20,17,setup
49,42,work
3,3,focu
9,5,histori
10,10,remain
2,2,learn
4,3,abandon
2,2,minidfsclust
11,8,root
20,16,fetch
25,18,address
12,10,control
8,2,ldap
2,2,malform
47,32,stream
26,17,scan
152,100,process
110,58,lock
7,4,registr
25,21,share
2,2,javadoc
10,8,accept
3,3,abort
3,2,fsnamesystem.startfileintern
4,4,serial
6,2,acl
17,15,occur
2,2,uncheck
3,2,editlogtail
9,8,multipl
4,3,goal
4,3,divid
28,16,renew
4,3,revisit
136,96,write
3,2,subdirectori
12,9,verifi
8,7,fsdataset
62,43,config
24,20,updat
3,3,product
6,6,spot
2,2,superus
2,2,reflect
24,18,standbi
5,3,httpserver
4,3,checkleas
20,15,retain
20,19,end
183,119,data
9,6,parallel
2,2,drop-behind
62,41,dfsclient
29,19,alloc
8,7,coupl
25,17,attempt
5,5,practic
5,2,bind
2,2,sit
2,2,credenti
2,2,correspond
6,5,exclud
82,67,issu
28,23,receiv
17,10,switch
6,6,maintain
4,4,environ
4,3,uncach
57,48,allow
8,7,enter
5,3,fallback
19,19,order
5,5,talk
44,40,jira
4,3,oper
13,11,help
2,2,diagnos
3,2,sometim
19,15,move
4,3,hftpfilesystem
6,6,fsdirectori
2,2,timeou
2,2,privileg
2,2,reconnect
2,2,instea
30,26,hbase
7,7,suffer
3,2,pointer
4,3,readahead
11,8,paramet
10,10,delay
11,7,group
14,9,monitor
26,15,polici
