TF,DF,Word
1,1,jira
3,2,code
1,1,protocol
3,2,circuit
1,1,remov
1,1,timeou
1,1,abil
3,3,follow
1,1,hbase
1,1,bail
4,3,paramet
1,1,note
2,2,locat
8,6,secur
1,1,fenc
1,1,delet
4,2,dataxceiv
1,1,transact
1,1,histori
5,3,fs.defaultf
1,1,window
1,1,jvm
5,1,ldap
2,2,input
1,1,improve
1,1,corrupt
2,2,match
5,5,case
2,2,return
15,7,read
1,1,initi
2,1,break
1,1,feder
1,1,traffic
1,1,know
1,1,background
4,4,failur
1,1,report
1,1,replicas/rack
1,1,stable
1,1,implement
1,1,requir
2,2,saniti
1,1,measur
1,1,mapreduc
6,5,name
1,1,level
10,5,edit
1,1,sendheartbeat
5,2,list
2,1,upload
3,3,elaps
1,1,topolog
2,2,refer
5,2,provid
3,1,token
1,1,race
2,2,mode
6,3,timeout
2,2,contain
1,1,decommiss
3,2,clean
1,1,xceiver
3,3,setup
1,1,dir
1,1,mean
1,1,failov
1,1,work
1,1,permiss
2,1,interv
2,2,startup
1,1,begin
1,1,past
1,1,replay
8,6,connect
1,1,getdelegationtoken
19,13,fail
2,2,close
2,2,happen
3,3,server
5,3,port
1,1,page
2,2,statu
9,9,detect
1,1,keytab
2,2,network
1,1,compar
1,1,space
1,1,assum
1,1,someth
1,1,regionserv
1,1,week
4,2,access
3,2,switch
2,2,state
4,2,exit
2,2,condit
1,1,order
6,4,method
1,1,manag
1,1,machin
1,1,object
1,1,proxi
3,3,gener
3,2,host
1,1,base
1,1,key
7,5,address
3,2,peer
5,3,path
1,1,fsck
2,1,modifi
9,6,throw
2,2,valu
1,1,wait
1,1,convert
1,1,store
3,2,dfs.https.port
9,3,socket
2,2,thread
1,1,region
2,2,memori
1,1,refus
5,2,rack
3,1,recov
2,1,polici
1,1,length
1,1,succeed
1,1,behav
1,1,context
4,1,section
2,1,heartbeat
3,3,chang
1,1,disabl
25,12,block
2,2,regardless
1,1,conform
1,1,trunk
1,1,meantim
6,3,number
3,2,system
3,2,put
1,1,submit
1,1,shutdown
3,2,kerbero
2,1,opcod
1,1,respect
1,1,array
2,1,fsnamesystem
3,3,miss
1,1,size
7,3,checkpoint
1,1,java
4,2,stream
2,1,script
1,1,stamp
5,2,transfer
2,2,support
1,1,iter
2,2,messag
1,1,mark
1,1,compon
14,11,start
3,3,includ
2,1,submiss
1,1,:
7,2,hftp
2,2,treat
4,3,function
1,1,deni
4,2,option
1,1,thousand
2,1,resolut
1,1,specifi
1,1,continu
1,1,trail
1,1,attempt
1,1,inlin
2,2,count
1,1,commun
6,5,exception
1,1,genstamp
12,7,default
6,6,servic
1,1,properti
3,3,minut
1,1,structur
2,2,lead
1,1,invok
1,1,reus
2,2,limit
12,4,balanc
4,4,error
4,1,login
1,1,problem
1,1,authent
1,1,result
1,1,unencrypt
1,1,conf
6,4,creat
3,2,give
1,1,process
1,1,lock
3,3,pass
1,1,command
2,1,uri
8,8,cluster
1,1,replica
2,2,decreas
10,8,file
1,1,incom
1,1,crash
1,1,exist
1,1,null
2,2,occur
1,1,end
2,2,author
2,1,perform
1,1,violat
3,2,hadoop
7,7,check
2,2,write
1,1,field
2,1,valid
1,1,lookup
2,2,test
1,1,verifi
22,15,config
1,1,channel
63,27,node
1,1,browsedirectory.jsp
2,1,pipelin
3,2,star
12,5,hostnam
1,1,class
1,1,filesystem
4,3,hang
1,1,effect
1,1,stay
1,1,reflect
2,2,user
3,2,retain
1,1,custom
12,11,data
1,1,stack
1,1,appear
2,1,placement
1,1,practic
1,1,scenario
3,2,nameservic
7,4,directori
1,1,fsimag
2,2,hadoop-
1,1,combin
3,2,exclud
5,2,issu
2,2,receiv
1,1,portion
2,2,exampl
5,5,ignor
2,2,determin
5,5,time
3,2,wildcard
3,2,rpc-address
2,2,fact
