TF,DF,Word
17,14,code
3,1,edg
1,1,leaserenew
2,2,follow
14,9,disk
8,5,safemod
3,1,sourc
3,2,string
2,1,volum
17,16,failur
1,1,affect
2,2,servlet
2,1,administr
1,1,level
6,5,list
2,2,upload
1,1,hive
3,2,race
1,1,verif
3,1,rack
3,2,dir
2,2,prevent
1,1,leasemanag
3,3,second
1,1,design
3,3,pass
2,1,download
1,1,port
2,2,append
5,5,appear
1,1,cast
1,1,bufcurr
4,3,section
7,7,current
10,8,delet
4,2,method
1,1,impact
3,3,gener
1,1,closur
2,2,free
4,4,address
5,5,path
2,2,modifi
2,2,valu
5,4,wait
1,1,convert
2,2,respon
2,2,checksum
3,2,queue
1,1,credit
3,3,chang
1,1,semant
1,1,peer
2,2,httpf
14,9,memori
1,1,hudson
2,2,handler
3,3,type
1,1,sort
3,3,claus
1,1,mismatch
1,1,warn
5,4,indic
2,2,shoot
1,1,retriev
2,1,restor
3,2,setup
5,4,work
1,1,learn
5,3,fetch
1,1,control
1,1,malform
9,6,stream
1,1,scan
19,15,process
2,2,lock
1,1,registr
4,4,share
1,1,javadoc
1,1,accept
2,2,abort
3,3,occur
2,2,uncheck
8,8,end
6,4,secur
11,4,renew
1,1,revisit
11,11,write
1,1,fsdataset
7,4,config
1,1,updat
1,1,spot
5,5,standbi
2,2,checkleas
2,2,associ
15,10,dfsclient
2,2,alloc
4,3,attempt
4,4,hadoop-
1,1,correspond
2,2,exclud
14,11,issu
6,5,receiv
2,2,switch
1,1,environ
3,2,allow
3,2,enter
4,2,fallback
3,3,order
1,1,talk
2,2,jira
2,1,move
1,1,fsdirectori
1,1,timeou
1,1,reconnect
3,2,hbase
1,1,suffer
3,2,pointer
3,2,paramet
1,1,delay
1,1,disconnect
5,2,polici
5,5,fix
3,3,fsnamesystem
1,1,better
12,9,restart
4,4,mail
1,1,count
18,14,return
21,16,handl
2,2,dfsoutputstream.clos
5,5,break
1,1,framework
8,6,interrupt
1,1,datastream
15,10,name
23,15,edit
1,1,drop
2,1,revert
9,3,token
2,2,mode
8,5,timeout
2,2,debug
1,1,namenod
4,2,side
2,2,truncat
5,5,mean
1,1,compil
3,3,failov
1,1,outputstream
1,1,fseditlog
12,9,continu
13,11,connect
12,9,happen
1,1,event
3,3,network
3,3,space
1,1,reboot
1,1,checkdiskerror
2,2,proxi
2,1,choosetarget
5,5,situat
1,1,bkjm
3,3,base
1,1,put
18,10,thread
2,2,refus
30,13,recov
9,5,length
5,2,circuit
1,1,regress
4,3,notifi
9,6,number
1,1,system
1,1,kerbero
7,7,miss
2,1,size
16,13,data
1,1,mkdir
3,2,sometim
6,5,messag
1,1,stack
11,8,checkpoint
1,1,attach
