TF,DF,Word
2,1,code
3,2,transferfsimag
2,2,leaserenew
2,2,report
1,1,kill
1,1,follow
1,1,hbase
2,1,disk
1,1,renam
1,1,involv
1,1,note
4,1,firewal
1,1,locat
4,1,monitor
1,1,writer
1,1,forev
5,2,safemod
4,3,fsnamesystem
1,1,add
1,1,suppos
5,1,ldap
1,1,adapt
2,2,case
3,2,return
2,1,handl
1,1,dfsoutputstream.clos
1,1,initi
1,1,framework
1,1,condit
5,3,interrupt
1,1,restart
1,1,writelock
2,2,datastream
2,1,name
2,1,list
1,1,server
2,1,race
2,1,mode
13,8,timeout
1,1,contain
3,2,failov
2,2,output
2,2,manag
2,1,respond
1,1,miniclust
1,1,outputstream
1,1,interv
1,1,abort
3,3,continu
5,3,connect
2,2,pass
4,3,fail
5,4,close
3,2,happen
2,1,port
3,1,append
2,2,infinit
1,1,freez
1,1,statu
6,6,detect
1,1,appear
4,3,lead
3,2,miss
3,2,someth
2,1,namesystem
2,1,access
1,1,leas
1,1,state
2,1,exit
2,1,inject
2,2,progress
1,1,behav
1,1,snapshot
1,1,method
1,1,page=com.atlassian.jira.plugin.system.issuetabpanel
2,1,xceiver
2,2,object
1,1,gener
1,1,situat
1,1,cycl
1,1,host
3,3,trunk
2,1,ask
1,1,byte
1,1,throw
4,3,wait
3,2,socket
14,10,thread
1,1,focusedcommentid=
5,3,synchron
1,1,count
1,1,side
6,3,recov
3,1,renew
1,1,recheck
1,1,regress
3,2,retain
2,2,chang
21,9,block
1,1,load
1,1,semant
3,3,cache
1,1,prevent
2,1,dfsinputstream
1,1,attach
1,1,custom
1,1,assum
1,1,unit
2,2,creat
1,1,coupl
2,1,commun
1,1,transfer
1,1,mark
1,1,start
1,1,handler
1,1,includ
3,2,branch-
1,1,type
1,1,outag
2,1,hftp
7,7,function
1,1,form
3,2,imag
2,2,problem
3,3,understand
2,2,dfsoutputstream
1,1,center
3,2,pipelin
1,1,replic
6,5,exception
2,1,packag
1,1,default
1,1,remov
2,2,jstack
1,1,record
1,1,stall
3,1,balanc
1,1,minidfsclust
2,2,minut
19,14,deadlock
10,9,loop
1,1,result
1,1,sort
1,1,fashion
1,1,conf
2,2,stream
1,1,give
3,2,process
15,9,lock
1,1,respons
2,1,defect
1,1,indic
2,2,cluster
1,1,replica
1,1,exist
2,2,file
2,2,crash
1,1,serial
1,1,check
1,1,uncheck
2,1,editlogtail
1,1,end
2,1,secur
3,2,hadoop
1,1,safemodemonitor
4,4,write
2,2,read
4,4,test
1,1,environ
2,1,failur
7,3,config
1,1,play
42,21,node
1,1,incorrect
1,1,begin
12,9,time
10,9,hang
4,3,stay
1,1,standbi
1,1,user
3,2,heartbeat
1,1,completefil
3,3,data
1,1,class
2,2,network
5,3,dfsclient
1,1,alloc
1,1,attempt
1,1,practic
2,2,scenario
2,2,directori
1,1,fsimag
1,1,responseprocessor
1,1,hadoop-
4,1,issu
1,1,ignor
2,1,uncach
1,1,allow
3,2,filesystem
1,1,model
1,1,order
1,1,talk
