TF,DF,Word
1,1,jira
5,4,code
1,1,protocol
3,1,skip
1,1,circuit
1,1,move
1,1,stack
1,1,fsdirectori
2,2,concurr
2,1,webui
2,2,read/writ
1,1,threshold
5,2,implement
2,2,hbase
4,3,disk
2,2,speed
1,1,impact
4,4,current
1,1,metric
2,2,slow
1,1,locat
1,1,monitor
1,1,field
1,1,dataxceiv
4,3,trigger
4,2,transact
2,1,writer
1,1,activ
1,1,start
8,4,fsnamesystem
2,2,add
1,1,diff
1,1,requir
3,2,polici
2,2,factor
3,2,grow
1,1,corrupt
1,1,jobtrack
1,1,checkdiskerror
1,1,applic
1,1,sourc
2,1,crash
1,1,string
1,1,congest
2,1,format
15,11,read
1,1,rejoin
2,1,end
1,1,stop
2,2,initi
11,9,number
1,1,util
1,1,framework
1,1,repl
1,1,safe-mod
2,2,know
1,1,background
2,1,failur
17,8,report
2,2,bottleneck
2,2,restart
1,1,like
3,3,measur
1,1,workload
3,2,internalreleaseleas
2,2,name
1,1,level
10,6,edit
1,1,possibl
9,4,list
3,2,upload
2,2,server
1,1,findmaxtransact
3,2,collect
2,2,achiev
1,1,exampl
2,2,mode
8,5,timeout
7,6,contain
1,1,break
1,1,drop
2,2,updat
1,1,page
3,3,mean
7,4,user
1,1,week
2,2,exceed
1,1,work
1,1,leasemanag
2,2,permiss
1,1,replac
2,2,chunk
1,1,begin
1,1,startup
2,2,continu
1,1,percentag
1,1,maintain
4,4,second
1,1,itsel
2,2,connect
1,1,follow
13,9,fail
1,1,fallback
6,4,happen
2,2,durat
3,3,servic
1,1,transport
2,1,transmiss
2,1,merg
1,1,freez
1,1,statu
6,6,detect
4,4,network
20,15,lead
2,2,space
1,1,leak
4,3,avoid
1,1,namesystem
1,1,replicationmonitor
7,6,access
16,6,delet
1,1,state
1,1,select
1,1,reader
1,1,print
1,1,progress
1,1,duplic
2,2,method
1,1,refer
1,1,machin
1,1,core
7,2,object
2,1,throttl
1,1,conf
4,3,gener
1,1,free
1,1,pipelin
1,1,closur
1,1,stress
3,2,host
1,1,excess
1,1,put
3,3,path
4,3,throw
3,3,valu
5,4,improve
1,1,protect
1,1,socket
8,4,thread
1,1,region
1,1,commun
1,1,synchron
1,1,refus
1,1,rack
12,6,recov
1,1,thing
1,1,length
1,1,rais
1,1,throughput
1,1,context
9,4,section
1,1,heartbeat
5,4,chang
2,1,nullpointerexception
73,28,block
1,1,plan
5,5,load
1,1,info
1,1,rang
2,2,cache
2,1,failov
1,1,wast
2,2,one
1,1,batch
1,1,rpc
1,1,featur
2,1,instal
1,1,array
1,1,.
1,1,miss
4,2,leas
2,1,unit
1,1,size
2,1,prioriti
1,1,restor
1,1,arriv
6,2,stream
8,7,memori
2,2,transfer
5,2,system
5,3,messag
1,1,mark
5,4,checkpoint
1,1,accumul
1,1,json
2,2,handler
1,1,overhead
1,1,includ
1,1,storm
2,2,branch-
3,2,wait
1,1,interv
2,1,hftp
7,4,queue
7,6,function
1,1,audit
1,1,getlist
2,2,deni
1,1,option
1,1,namespac
1,1,detail
2,2,thousand
1,1,copi
4,4,problem
1,1,networktopolog
3,3,sync
1,1,flag
2,2,savenamespac
2,2,understand
3,3,indic
1,1,examin
2,2,catch
1,1,placement
1,1,quorum
1,1,shoot
1,1,replic
7,4,exception
3,2,scalabl
4,4,default
7,4,remov
1,1,caller
1,1,jstack
2,2,rate
2,1,structur
3,2,histori
1,1,period
1,1,outofmemori
2,2,remain
1,1,delay
8,7,limit
9,5,case
4,4,error
1,1,abandon
1,1,exist
5,4,minut
1,1,fetch
4,3,result
1,1,malform
1,1,scanner
4,3,creat
5,4,scan
19,13,process
17,10,lock
1,1,dfsadmin
1,1,share
1,1,accept
8,8,cluster
9,4,replica
1,1,decreas
2,2,expir
20,13,file
5,3,return
1,1,serial
1,1,occur
1,1,encount
1,1,distcp
1,1,packag
7,6,issu
1,1,multipl
1,1,secur
10,9,perform
1,1,checkmod
3,1,hadoop
1,1,invalid
2,2,check
1,1,note
5,5,handl
3,2,valid
1,1,lookup
1,1,split
2,2,logsync
2,2,test
2,2,assum
2,2,fsdataset
2,1,fill
5,4,deem
3,2,imag
3,2,complet
77,36,node
1,1,product
1,1,star
1,1,distribut
1,1,trace
1,1,normal
4,2,buffer
1,1,filesystem
1,1,compress
1,1,invok
2,1,fsck
4,2,standbi
1,1,wire
2,1,checkleas
1,1,and/or
4,3,retain
1,1,phase
1,1,robust
6,5,data
1,1,class
1,1,pool
5,4,reduc
4,2,dfsclient
3,2,alloc
1,1,task
1,1,impos
1,1,compar
1,1,scenario
11,6,directori
3,2,fsimag
1,1,hadoop-
10,7,request
2,1,center
4,1,filestatu
1,1,portion
9,8,write
2,2,command
1,1,talk
1,1,determin
19,13,time
1,1,dataset
3,1,decommiss
1,1,model
2,2,spend
1,1,fact
1,1,bpofferservic
