TF,DF,Word
14,10,code
1,1,queri
1,1,consum
1,1,month
9,9,follow
6,5,disk
5,3,locat
25,14,safemod
1,1,decis
3,2,stable
6,6,introduc
3,2,sourc
2,2,string
1,1,util
1,1,volum
11,8,failur
3,3,affect
2,2,ticket
1,1,servlet
2,1,administr
12,8,list
2,2,upload
7,3,verif
3,3,mount
1,1,dir
4,4,prevent
2,1,leasemanag
2,2,sync
2,2,zero
2,2,design
4,3,download
13,6,port
13,11,append
17,11,deleg
7,6,appear
5,3,compar
1,1,bufcurr
3,2,section
3,3,replicationmonitor
3,3,access
14,9,delet
14,10,method
3,2,metadata
1,1,impact
2,2,subtre
5,3,gener
1,1,satisfi
2,1,free
7,7,trunk
17,12,path
3,3,modifi
6,5,valu
4,4,wait
2,2,convert
5,4,checksum
8,5,queue
14,12,chang
3,3,semant
2,1,writer
2,2,transit
1,1,intent
2,1,leasecheck
2,2,ask
1,1,opcod
2,2,instal
3,2,decrement
4,2,gateway
1,1,unit
1,1,bookkeep
3,2,httpf
8,6,distcp
17,12,memori
2,2,hudson
10,6,upgrad
1,1,scope
1,1,type
1,1,mismatch
1,1,improve
1,1,warn
1,1,trail
4,3,flag
8,8,indic
1,1,shoot
2,2,retriev
6,5,setup
21,16,work
1,1,remain
3,2,abandon
8,6,root
6,5,fetch
2,1,control
6,6,stream
3,3,give
26,18,process
9,5,lock
6,3,registr
3,2,share
3,2,accept
1,1,serial
3,2,occur
1,1,editlogtail
3,3,multipl
28,21,secur
9,6,renew
1,1,reset
36,23,write
3,2,verifi
4,4,config
14,11,updat
1,1,product
2,2,spot
1,1,superus
1,1,reflect
10,6,standbi
2,2,retain
4,4,end
27,21,data
1,1,grow
13,7,dfsclient
10,5,alloc
1,1,coupl
12,7,attempt
1,1,sit
1,1,credenti
2,2,nullpointerexception
13,12,issu
10,8,perform
6,3,switch
1,1,environ
1,1,uncach
7,6,allow
2,2,enter
1,1,talk
1,1,jira
2,2,belong
4,3,move
4,3,hftpfilesystem
5,4,hadoop
2,2,increas
2,2,privileg
3,3,hbase
2,2,paramet
1,1,delay
1,1,disconnect
5,5,monitor
2,2,polici
3,2,brows
1,1,fix
6,5,fsnamesystem
3,2,window
2,1,pend
6,5,requir
7,4,persist
5,3,mail
12,10,corrupt
28,19,return
17,14,handl
1,1,initi
9,8,break
1,1,browsedirectory.jsp
1,1,interrupt
2,2,discuss
2,2,mapreduc
19,12,name
1,1,map/reduc
26,16,edit
1,1,drop
4,3,authent
38,20,token
8,7,mode
3,2,timeout
1,1,namenod
1,1,side
2,2,truncat
1,1,mean
5,5,failov
3,2,webfilesystem
2,1,replac
3,2,chunk
1,1,getlist
9,9,continu
2,2,replay
19,14,connect
1,1,neededrepl
2,2,todd
14,13,happen
1,1,event
3,3,network
6,6,space
8,5,open
1,1,reboot
3,2,chooserandom
1,1,rewrit
1,1,reader
1,1,print
2,2,correct
1,1,page=com.atlassian.jira.plugin.system.issuetabpanel
1,1,common
2,1,proxi
3,1,choosetarget
1,1,manipul
1,1,situat
2,2,op=open
1,1,bkjm
1,1,standard
5,5,base
8,5,put
1,1,logsync
7,6,byte
1,1,basi
11,7,thread
1,1,focusedcommentid=
4,3,refus
7,5,rack
9,7,recov
11,6,length
2,1,circuit
2,2,regress
2,1,heartbeat
2,1,rang
1,1,notifi
10,9,number
1,1,one
6,5,overwrit
7,5,kerbero
3,2,owner
10,9,miss
1,1,primari
12,8,size
2,1,prioriti
1,1,script
1,1,associ
2,1,interact
4,2,mkdir
7,5,system
14,7,messag
1,1,stack
19,7,checkpoint
3,2,termin
2,2,branch-
1,1,scheme
1,1,final
3,3,store
4,4,option
5,5,namespac
14,10,copi
7,6,specifi
3,1,direct
2,1,byterangeinputstream
2,2,pars
2,1,dfsoutputstream
2,1,genstamp
1,1,grep
7,4,target
2,1,deletesnapshot
3,3,provid
13,9,remov
1,1,nameservic
1,1,tree
1,1,second
12,9,structur
1,1,reus
1,1,posix
4,3,balanc
2,1,minut
2,1,recheck
5,5,hadoop-
2,2,comput
1,1,mind
1,1,argument
9,3,packag
5,5,expir
2,1,tabl
1,1,exclud
4,2,seek
1,1,violat
3,2,atim
2,2,note
3,3,build
1,1,noth
2,1,channel
4,4,pipelin
1,1,plenti
1,1,normal
2,1,buffer
2,1,object
24,8,quota
2,2,packetrespond
1,1,plan
1,1,dfs.name.dir
2,1,completefil
2,2,class
2,2,filecontext
10,7,renam
14,9,request
1,1,drive
1,1,reportdiff
3,1,deni
10,8,snapshot
1,1,runtim
4,3,clean
1,1,fact
2,1,gain
1,1,random
6,4,permiss
2,2,threshold
2,1,redirect
8,8,current
3,3,layout
4,3,transact
16,7,cache
2,2,activ
1,1,forev
2,2,suppos
4,3,factor
1,1,info
1,1,system.exit
3,3,stop
1,1,imperson
3,2,repl
1,1,tcp
14,11,report
2,2,reconstruct
25,18,restart
9,6,receiv
3,2,internalreleaseleas
1,1,topolog
3,2,reload
2,1,integr
9,7,contain
3,2,testfileappend
2,1,webui
1,1,set
2,1,getfilechecksum
8,5,startup
16,14,result
5,4,respons
68,52,fail
14,13,close
1,1,mistak
1,1,infinit
2,2,statu
16,15,detect
2,2,someth
14,14,state
1,1,benchmark
2,1,progress
1,1,accord
2,2,parent
2,2,disallow
4,3,succeed
5,3,group
3,2,dfsinputstream
2,2,re-regist
1,1,informatio
1,1,admin
7,6,region
1,1,cod
2,1,context
2,2,logic
1,1,login
1,1,comment
1,1,instanti
2,2,schedul
1,1,address
2,2,period
1,1,loader
7,5,header
4,3,rpc
4,3,shutdown
1,1,linux
4,4,respect
6,6,assum
1,1,java
1,1,recur
3,1,stamp
2,1,decomiss
6,5,mark
2,2,compon
1,1,accumul
2,2,json
1,1,trigger
2,2,treat
1,1,delegationtoken
1,1,addit
17,11,hftp
1,1,comment|http
10,4,imag
1,1,resolut
1,1,assert
9,7,understand
1,1,catch
16,14,case
4,4,replic
28,21,exception
1,1,ident
21,12,servic
2,2,cast
1,1,invok
16,11,error
3,2,loop
1,1,null
1,1,metric
1,1,hflush
2,2,destin
27,20,cluster
4,4,crash
5,3,httpserver
2,1,develop
5,3,author
2,2,journal
5,4,format
1,1,fsdirectori
1,1,munlock
1,1,document
8,6,complet
1,1,week
2,2,finish
2,2,hostnam
1,1,optim
6,4,hang
2,2,effect
1,1,moment
1,1,rais
13,11,user
1,1,ownership
1,1,robust
3,3,implement
1,1,travers
1,1,task
3,3,scenario
2,1,cross
5,3,insecur
1,1,thu
1,1,inherit
1,1,testfileconcurrentread
1,1,exampl
12,10,command
7,6,filesystem
3,2,hsync
2,1,everyth
13,10,load
3,2,distributedfilesystem
3,3,protocol
3,2,rest
1,1,bandwidth
3,3,kill
3,2,invalid
1,1,expos
2,2,complain
9,9,add
1,1,bloc
2,2,save
4,3,match
2,2,insert
23,16,read
2,2,arriv
1,1,traffic
1,1,know
1,1,world
1,1,replicas/rack
8,5,measur
5,3,daemon
4,1,scan
2,1,fsync
2,1,atmostonc
4,4,elaps
6,6,server
3,2,collect
3,2,fuse-df
3,3,output
2,2,page
2,2,encount
3,3,exceed
1,1,acknowledg
2,2,image/edit
3,1,refresh
2,2,getdelegationtoken
7,2,transport
1,1,and/or
5,3,feder
11,9,lead
10,7,leak
5,3,avoid
1,1,achiev
1,1,subclass
28,14,leas
5,4,exit
3,2,select
2,2,condit
3,3,reproduc
2,1,localhost
10,8,refer
1,1,machin
2,2,garbag
5,2,symlink
7,2,host
1,1,prerequisit
3,1,offset
1,1,peer
2,1,post
6,5,stay
16,12,throw
9,4,socket
2,2,cacheadmin
1,1,manag
1,1,stand
2,2,constructor
7,3,commit
1,1,backup
2,2,disabl
162,64,block
1,1,own
1,1,miniclust
2,2,encod
1,1,wrap
3,2,snapshotmanag
2,2,merg
3,2,fill
4,4,transfer
3,3,support
1,1,submit
21,10,custom
1,1,avail
17,13,start
4,2,includ
2,2,submiss
1,1,:
14,12,function
1,1,form
1,1,branc
2,2,skip
11,7,translat
2,1,placement
2,2,bug
7,5,count
1,1,pull
1,1,consist
1,1,default
1,1,wish
3,2,caller
2,2,record
5,4,limit
2,2,close_wait
11,11,problem
1,1,display
3,2,expect
3,3,featur
32,21,creat
3,3,dfsadmin
2,1,flush
45,19,replica
9,7,exist
134,64,file
4,2,mtime
1,1,trace
25,20,check
1,1,probabl
2,2,incorrect
2,2,detail
1,1,refactor
3,3,valid
2,2,lookup
2,2,branch
15,15,test
6,3,trash
1,1,realiti
194,89,node
7,4,star
1,1,sequenc
4,4,fsck
3,1,leaserenew
1,1,track
3,2,pool
2,1,savenamespac
36,20,directori
39,14,fsimag
1,1,visual
1,1,rule
1,1,filestatu
5,4,portion
2,2,ignor
17,14,time
11,6,decommiss
