TF,DF,Word
12,12,code
7,5,skip
2,2,consum
1,1,month
3,3,abil
1,1,follow
24,16,disk
10,4,leas
4,3,safemod
1,1,stable
2,2,sens
4,4,introduc
2,2,sourc
2,2,string
1,1,congest
1,1,outofmemory
4,2,volum
1,1,bpofferservic
1,1,affect
2,2,bottleneck
1,1,writelock
1,1,restor
19,14,list
3,3,iter
1,1,findmaxtransact
3,3,verif
1,1,rack
5,4,prevent
2,2,leasemanag
4,3,permiss
1,1,ten
24,13,sync
15,14,second
2,2,cost
2,2,pass
5,2,download
4,3,append
1,1,recur
1,1,appear
2,2,compar
11,6,section
4,3,fadvis
1,1,calcul
16,16,current
26,11,delet
2,1,health
20,18,method
1,1,metadata
6,3,hash
4,2,gener
1,1,satisfi
4,3,fsdir
2,2,free
4,4,trunk
22,14,path
2,2,modifi
4,4,valu
3,3,wait
1,1,incom
5,3,convert
14,6,checksum
6,4,diff
2,2,observ
7,4,queue
6,6,throughput
18,15,implement
1,1,explain
20,10,cache
1,1,regardless
1,1,transit
2,1,leasecheck
6,6,put
2,2,api
2,1,unit
3,1,httpf
23,18,memori
4,4,give
4,3,upgrad
1,1,throw
2,2,piggyback
1,1,pre-alloc
5,5,handler
5,5,overhead
3,2,paramet
2,2,scope
1,1,type
2,2,desir
5,5,benchmark
1,1,enhanc
2,1,visual
4,3,accept
1,1,examin
4,3,shoot
2,2,puzzl
5,4,scalabl
3,2,setup
7,6,work
3,3,remain
1,1,learn
4,3,fetch
3,2,address
2,2,control
5,4,stream
15,11,scan
66,38,process
73,36,lock
10,8,share
1,1,javadoc
10,9,indic
3,2,fsnamesystem.startfileintern
1,1,serial
1,1,acl
3,3,occur
3,3,end
1,1,goal
1,1,secur
1,1,length
1,1,revisit
6,6,delay
1,1,subdirectori
2,2,verifi
5,4,fsdataset
5,3,config
2,2,updat
1,1,product
1,1,standbi
2,1,checkleas
8,7,retain
5,4,namesystem
42,28,data
4,3,grow
2,2,drop-behind
14,7,dfsclient
9,6,alloc
2,2,domin
3,1,bind
7,6,hadoop-
1,1,disabl
19,15,issu
5,5,receiv
2,1,switch
2,2,maintain
1,1,environ
11,9,allow
6,6,order
11,11,jira
7,6,help
6,5,move
3,3,hadoop
59,26,report
1,1,instea
14,12,hbase
3,3,suffer
4,3,readahead
3,3,bunch
37,25,write
3,2,group
2,2,monitor
3,3,polici
2,2,fix
18,11,fsnamesystem
4,2,filechannel
5,4,restart
2,1,persist
5,5,mail
8,7,return
6,6,handl
3,3,wast
2,2,break
1,1,promis
6,6,discuss
2,2,dfs.data.dir
1,1,mapreduc
12,6,name
1,1,map/reduc
27,15,edit
5,3,drop
1,1,refresh
2,2,achiev
4,2,mode
6,4,timeout
2,2,side
2,1,truncat
10,10,mean
3,2,failov
2,2,weight
6,5,replac
4,3,chunk
1,1,getlist
1,1,fseditlog
3,3,idea
1,1,wrap
23,11,connect
1,1,neededrepl
1,1,todd
15,13,happen
2,2,variabl
4,4,network
5,5,space
8,5,open
8,6,content
4,2,rewrit
2,2,getvolumemap
3,3,reader
2,2,print
1,1,fuse_df
1,1,correct
1,1,page=com.atlassian.jira.plugin.system.issuetabpanel
1,1,xceiver
1,1,umbrella
2,1,choosetarget
2,2,situat
1,1,attempt
2,1,bkjm
5,4,base
1,1,ask
9,5,byte
1,1,basi
2,2,runtime.getruntim
33,16,thread
1,1,focusedcommentid=
12,11,synchron
1,1,refus
6,5,recov
6,6,thing
4,3,renew
2,2,regress
9,5,heartbeat
1,1,view
3,3,rang
1,1,notifi
1,1,kernel
22,21,number
2,2,one
3,3,addtoreplicasmap
1,1,array
8,4,miss
6,5,size
1,1,invalid
1,1,associ
2,2,interact
11,7,system
11,8,messag
6,4,parallel
11,5,checkpoint
2,2,branch-
5,5,scheme
1,1,final
15,9,store
2,2,option
9,6,namespac
8,5,copi
1,1,stress
2,2,specifi
1,1,dfsoutputstream
4,4,provid
16,13,remov
6,5,tree
2,2,rate
12,9,structur
3,1,jetti
3,2,reus
5,3,balanc
13,12,minut
2,1,browser
2,2,fork
3,3,comput
2,2,mind
1,1,defect
6,4,packag
6,3,tabl
1,1,seek
3,2,distributedfilesystem
1,1,checkmod
1,1,mount
2,2,build
1,1,combin
1,1,noth
2,2,channel
1,1,simplifi
8,7,pipelin
2,2,excess
1,1,distribut
2,1,plenti
4,4,track
11,6,object
3,2,fsinputcheck
2,2,wire
1,1,plan
2,2,phase
6,4,class
1,1,placement
2,2,quorum
1,1,safemodemonitor
29,20,request
3,3,reportdiff
1,1,deni
3,3,determin
2,2,fact
8,7,random
2,2,speedup
9,8,concurr
5,4,read/writ
3,3,impact
12,9,access
4,4,slow
2,1,locat
5,5,transact
7,5,writer
3,3,activ
1,1,forev
6,5,latenc
5,4,factor
1,1,local
2,2,info
1,1,safe-mod
7,6,increas
11,9,requir
3,2,internalreleaseleas
5,3,editlog
5,5,patch
1,1,common
4,2,partit
19,13,contain
1,1,summari
1,1,conform
1,1,set
1,1,dump
10,9,startup
3,3,result
7,3,respons
8,6,fail
6,6,close
3,3,stack
1,1,statu
22,20,detect
1,1,extend
1,1,someth
8,8,state
3,3,progress
3,3,experi
2,2,altern
1,1,accord
2,2,parent
1,1,popul
2,2,cycl
4,2,hardlink
17,2,interface
1,1,addit
2,2,protect
1,1,clust
2,2,datastorag
2,1,region
2,2,inconsist
3,2,grain
1,1,logic
1,1,seri
19,15,load
3,2,schedul
2,2,performanc
1,1,period
1,1,header
4,4,rpc
4,3,shutdown
1,1,linux
5,4,dfsinputstream
5,3,op_add
7,6,assum
1,1,duplic
1,1,better
3,3,java
3,3,coupl
2,2,reentrantreadwritelock
3,2,devic
3,2,mark
2,1,compon
3,3,trigger
1,1,datanod
1,1,treat
2,2,stringbuild
48,35,improve
1,1,comment|http
15,6,imag
8,8,understand
3,2,child
5,4,catch
16,11,case
6,6,replic
3,3,exception
8,5,servic
1,1,properti
1,1,jstack
8,7,batch
2,2,durat
1,1,aim
2,1,outofmemori
2,1,replicationmonitor
8,6,deem
2,2,error
5,4,exist
2,2,robin
2,2,loop
3,3,advantag
1,1,metric
3,2,hflush
1,1,destin
20,19,cluster
2,1,crash
1,1,develop
55,42,perform
1,1,belong
4,4,fsdirectori
9,4,split
1,1,document
4,2,complet
1,1,week
1,1,hostnam
28,19,optim
2,2,capabl
1,1,rais
6,5,user
3,2,footprint
1,1,robust
3,3,decoupl
8,7,chang
4,2,audit
1,1,travers
2,1,task
3,3,center
3,3,scenario
1,1,choos
2,1,inherit
2,2,exampl
4,4,command
12,7,filesystem
1,1,model
5,4,spend
2,2,protocol
1,1,reserv
2,1,select
1,1,kill
2,1,webui
3,1,openfilectx
9,6,speed
1,1,expos
3,2,dataxceiv
1,1,regionserv
11,10,add
1,1,bloc
8,3,input
6,6,save
6,5,applic
2,2,format
59,38,read
1,1,rejoin
1,1,arriv
4,4,workload
4,3,traffic
2,2,know
2,2,background
1,1,insert
4,1,saniti
10,9,measur
3,2,daemon
1,1,resid
4,3,like
2,1,fsync
6,5,server
1,1,collect
1,1,benefit
5,3,manag
1,1,underli
4,3,interv
1,1,begin
3,2,percentag
2,2,respect
10,8,transport
1,1,freez
3,3,scale
4,4,trace
37,31,lead
3,2,leak
10,9,avoid
3,2,token
1,1,subclass
13,8,buffer
2,1,exit
1,1,inject
1,1,complic
1,1,localhost
4,2,refer
4,2,machin
2,2,investig
1,1,power
1,1,garbag
4,4,host
1,1,prerequisit
1,1,post
6,3,fsck
2,2,impos
1,1,simpler
8,3,socket
1,1,commun
4,3,page
1,1,stand
2,1,constructor
4,3,commit
1,1,produc
242,96,block
2,2,effici
1,1,dataset
2,2,dataxceiveserv
2,2,merg
4,4,logsync
1,1,area
7,5,transfer
8,8,support
2,2,custom
10,9,start
3,2,starv
2,2,includ
2,2,submiss
2,1,fsdatainputstream
2,2,individu
23,19,function
4,3,form
1,1,forc
1,1,bundl
1,1,branc
6,4,continu
1,1,gain
2,2,trun
2,1,renam
1,1,inlin
1,1,bug
2,2,count
1,1,pull
2,2,outcal
2,2,possibl
7,5,default
2,1,caller
2,2,record
9,8,limit
6,6,problem
2,2,display
1,1,expect
3,3,featur
3,3,scanner
31,19,creat
1,1,cover
1,1,repres
22,14,replica
4,4,decreas
84,51,file
4,3,journal
1,1,pread
10,6,check
4,2,probabl
2,2,detail
4,3,refactor
3,2,field
1,1,valid
2,2,lookup
2,2,futur
3,2,branch
10,9,test
2,2,thousand
1,1,realiti
263,102,node
2,2,stat
2,1,clean
1,1,sequenc
2,2,stay
1,1,leaserenew
6,5,pool
1,1,feder
22,20,reduc
1,1,savenamespac
2,2,algorithm
38,19,directori
11,6,fsimag
3,2,flag
1,1,rule
4,1,filestatu
1,1,ignor
50,42,time
3,3,decommiss
1,1,degrad
