TF,DF,Word
1,1,jira
2,2,code
1,1,diagnos
2,1,retain
2,2,rest
18,12,report
3,3,concurr
1,1,rolleditlog
3,3,follow
1,1,involv
1,1,current
1,1,failov
1,1,layout
3,1,monitor
6,4,leas
1,1,fix
8,5,writer
4,4,safemod
3,3,fsnamesystem
2,2,add
2,2,pend
1,1,suppos
4,1,fstime
4,4,mail
2,2,save
1,1,pass
2,1,leak
11,6,case
1,1,move
3,3,return
3,2,format
10,6,read
3,1,deletesnapshot
1,1,dfsoutputstream.clos
2,2,stop
2,2,initi
1,1,period
1,1,break
1,1,repl
2,1,safe-mod
3,2,bpofferservic
5,5,failur
6,5,interrupt
2,2,precommit
1,1,servlet
1,1,discuss
6,5,restart
1,1,editlog
1,1,daemon
8,4,name
1,1,success
22,12,edit
2,2,op_invalid
3,2,revert
2,2,upload
2,2,iter
1,1,patch
29,22,race
1,1,mode
1,1,timeout
4,3,contain
2,2,debug
1,1,output
2,2,updat
1,1,setup
1,1,truncat
2,1,view
1,1,underli
1,1,week
1,1,set
1,1,abil
4,4,list
2,2,chunk
1,1,getlist
3,3,startup
3,3,continu
1,1,second
1,1,subtre
11,9,result
2,2,flush
13,11,corrupt
18,9,close
6,6,happen
3,1,server
5,5,event
4,2,append
1,1,handler
1,1,statu
8,8,detect
2,1,appear
3,3,lead
1,1,space
1,1,assum
2,2,someth
2,2,namesystem
1,1,associ
7,6,access
2,2,track
11,8,state
5,3,exit
7,4,reader
1,1,print
12,10,condit
1,1,size
4,3,method
1,1,refer
1,1,object
1,1,conf
2,1,deem
1,1,journal
1,1,manipul
2,1,bkjm
1,1,closur
2,1,succeed
1,1,free
2,2,trunk
2,2,put
3,3,path
4,4,byte
2,1,gateway
2,1,dfsinputstream
4,4,throw
1,1,protect
20,12,thread
1,1,datastorag
1,1,root
2,2,region
6,4,synchron
1,1,count
4,3,manag
18,10,recov
1,1,credit
4,4,length
1,1,logic
1,1,regress
3,3,commit
1,1,implement
2,2,mean
3,2,backup
87,31,block
4,4,load
2,1,info
1,1,rang
4,2,cache
1,1,prevent
1,1,handl
3,2,transit
1,1,address
1,1,meantim
7,3,number
2,1,crash
2,1,leasecheck
3,2,header
1,1,outputstream
5,3,shutdown
1,1,linux
3,3,chang
5,4,mark
5,5,miss
1,1,admin
1,1,unit
1,1,merg
8,4,stream
3,2,memori
2,2,stamp
3,1,transfer
1,1,support
3,1,decomiss
1,1,question
1,1,system
1,1,overwrit
2,2,.
10,6,checkpoint
14,9,start
2,1,pre-alloc
1,1,trigger
1,1,includ
4,2,snapshot
1,1,:
1,1,type
15,11,function
1,1,properli
1,1,form
1,1,namespac
9,7,delet
7,3,imag
1,1,claus
4,3,alloc
3,3,sync
3,2,assert
3,2,flag
8,8,understand
4,2,translat
1,1,catch
1,1,attempt
1,1,bug
1,1,reset
3,2,replic
22,17,exception
1,1,genstamp
4,3,packag
10,7,remov
1,1,work
1,1,tree
1,1,batch
1,1,structur
3,3,cluster
1,1,cast
2,2,replicationmonitor
1,1,stall
1,1,arriv
8,8,error
1,1,minidfsclust
2,2,problem
3,2,servic
1,1,fetch
3,2,loop
1,1,expect
1,1,sort
1,1,comput
1,1,scanner
15,10,creat
1,1,scan
8,7,process
7,3,lock
1,1,registr
1,1,defect
1,1,accept
27,21,fail
21,12,replica
38,23,file
1,1,incom
1,1,window
6,5,occur
1,1,incorrect
2,2,end
2,1,open
6,5,perform
3,1,distributedfilesystem
3,3,detail
5,4,check
17,10,write
1,1,forc
1,1,constructor
2,2,build
14,12,test
1,1,ignor
1,1,fsdataset
1,1,config
3,2,complet
60,30,node
3,3,pipelin
1,1,determin
4,4,trace
2,2,buffer
3,3,sequenc
2,2,class
3,3,enter
2,1,fsck
1,1,propag
1,1,standbi
1,1,moment
1,1,ownership
1,1,dfs.name.dir
2,2,encount
3,2,completefil
7,5,data
1,1,stack
1,1,pool
1,1,system.exit
6,6,dfsclient
3,2,stress
4,2,savenamespac
4,2,renam
4,4,scenario
6,3,filesystem
6,4,directori
1,1,thu
2,1,request
9,8,issu
3,3,receiv
2,1,switch
6,2,command
2,2,allow
11,9,time
3,3,order
2,2,know
