TF,DF,Word
1,1,load
2,1,editlogfileoutputstream.clos
1,1,enter
1,1,random
1,1,detail
1,1,timeou
1,1,concurr
1,1,rolleditlog
1,1,follow
1,1,hbase
7,5,disk
1,1,speed
1,1,miss
4,4,write
1,1,slow
1,1,locat
1,1,expos
1,1,polici
5,2,writer
1,1,submiss
1,1,better
1,1,restart
1,1,factor
1,1,sens
1,1,save
2,2,pass
3,3,case
7,3,sourc
1,1,return
1,1,congest
1,1,format
3,3,handl
1,1,initi
1,1,period
1,1,break
4,1,volum
2,2,know
1,1,background
2,2,failur
2,2,report
1,1,associ
1,1,dfs.data.dir
2,1,editlog
2,2,datastream
5,4,name
2,1,administr
2,2,edit
2,2,list
1,1,upload
1,1,elaps
1,1,collect
1,1,achiev
3,1,mode
1,1,timeout
3,3,contain
1,1,remov
2,2,dir
2,2,mean
1,1,encount
2,2,detect
1,1,weight
1,1,chunk
2,1,dataxceiverserv
2,1,startup
1,1,sync
2,1,percentag
1,1,rate
1,1,replay
1,1,expect
2,1,instal
9,6,fail
3,2,reserv
1,1,openfilectx
1,1,abandon
1,1,suffer
1,1,fallback
3,3,lead
13,8,space
6,5,leak
1,1,avoid
1,1,hive
3,3,current
2,2,delet
3,3,state
1,1,condit
1,1,method
2,2,refer
1,1,machin
1,1,core
6,3,object
2,1,throttl
1,1,garbag
3,3,situat
1,1,closur
2,2,cycl
1,1,fsshell
6,1,interface
1,1,path
1,1,modifi
5,4,throw
7,5,socket
13,7,thread
3,1,checksum
1,1,synchron
1,1,robin
3,2,queue
1,1,thing
1,1,behav
1,1,circuit
3,2,retain
2,2,implement
1,1,seri
20,10,block
1,1,user
1,1,comment
7,5,cache
3,2,notifi
5,4,number
2,2,one
1,1,put
1,1,rpc
2,1,webfilesystem
2,1,shutdown
3,3,respect
1,1,open
1,1,gateway
1,1,select
2,1,size
4,2,prioriti
1,1,optim
4,3,stream
10,6,memori
1,1,parallel
4,2,transfer
3,3,support
3,3,system
1,1,.
1,1,checkpoint
5,4,start
1,1,handler
1,1,treat
1,1,storm
1,1,scope
3,2,dfsclient.clos
2,2,final
1,1,record
2,1,function
1,1,option
1,1,unexpect
1,1,namespac
2,2,thousand
1,1,stable
1,1,mismatch
4,3,continu
1,1,byterangeinputstream
2,2,understand
1,1,translat
1,1,examin
1,1,mail
1,1,catch
1,1,dump
2,2,center
1,1,shoot
5,3,outofmemory
6,4,exception
7,4,servic
2,2,work
1,1,minut
5,3,outofmemori
4,4,limit
2,2,error
3,2,socketcach
2,2,problem
1,1,fetch
5,3,connect
1,1,spawn
1,1,featur
1,1,comput
9,7,creat
2,2,give
3,3,process
1,1,dfsadmin
1,1,respons
1,1,cluster
5,2,replica
2,2,exist
1,1,expir
21,11,file
10,6,close
1,1,journal
1,1,replic
2,1,check
1,1,fill
1,1,result
11,5,recov
1,1,perform
2,1,allow
1,1,distributedfilesystem
2,1,hadoop
3,3,note
1,1,read
2,2,exampl
1,1,futur
3,3,test
1,1,config
1,1,updat
45,24,node
1,1,pipelin
2,1,clean
2,2,buffer
5,2,filesystem
1,1,hang
1,1,stay
1,1,and/or
1,1,plan
1,1,applic
1,1,dfs.name.dir
8,6,data
1,1,stack
2,1,filecontext
5,5,dfsclient
2,1,alloc
1,1,attempt
1,1,practic
1,1,choos
1,1,directori
4,3,fsimag
1,1,responseprocessor
3,2,hadoop-
1,1,order
4,4,issu
1,1,maintain
1,1,command
2,1,token
1,1,determin
2,2,time
1,1,promis
1,1,model
1,1,spend
