IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.14285714285714285,1.0,6.0,7.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,execut
0.3333333333333333,0.6666666666666666,2.0,2.0,connect
0.125,1.25,7.0,10.0,report
0.125,1.125,7.0,9.0,kill
0.3333333333333333,0.6666666666666666,2.0,2.0,permiss
0.3333333333333333,0.6666666666666666,2.0,2.0,touch
0.5,0.5,1.0,1.0,disk
0.25,0.75,3.0,3.0,pointer
0.5,1.0,1.0,2.0,slot
0.5,1.0,1.0,2.0,web
0.5,0.5,1.0,1.0,locat
0.3333333333333333,0.6666666666666666,2.0,2.0,mr-
0.5,0.5,1.0,1.0,window
0.25,1.25,3.0,5.0,cache
0.25,1.5,3.0,6.0,jar
0.3333333333333333,1.3333333333333333,2.0,4.0,add
0.5,0.5,1.0,1.0,pend
0.14285714285714285,1.1428571428571428,6.0,8.0,restart
0.2,1.4000000000000001,4.0,7.0,jvm
0.14285714285714285,1.1428571428571428,6.0,8.0,master
0.2,1.0,4.0,5.0,input
0.5,0.5,1.0,1.0,improve
0.2,1.4000000000000001,4.0,7.0,local
0.5,1.0,1.0,2.0,build
0.125,1.125,7.0,9.0,applic
0.1111111111111111,1.4444444444444444,8.0,13.0,sourc
0.5,0.5,1.0,1.0,return
0.25,1.25,3.0,5.0,format
0.16666666666666666,1.0,5.0,6.0,read
0.5,0.5,1.0,1.0,initi
0.3333333333333333,0.6666666666666666,2.0,2.0,period
0.16666666666666666,1.3333333333333333,5.0,8.0,condit
0.25,1.75,3.0,7.0,interrupt
0.5,0.5,1.0,1.0,requir
0.5,0.5,1.0,1.0,name
0.25,1.75,3.0,7.0,mapper
0.3333333333333333,0.6666666666666666,2.0,2.0,enabl
0.5,0.5,1.0,1.0,level
0.5,0.5,1.0,1.0,fetch
0.3333333333333333,0.6666666666666666,2.0,2.0,list
0.1,0.9,9.0,9.0,mapreduce
0.5,1.0,1.0,2.0,server
0.25,1.0,3.0,4.0,default
0.3333333333333333,1.3333333333333333,2.0,4.0,token
0.09090909090909091,1.0909090909090908,10.0,12.0,race
0.5,0.5,1.0,1.0,mode
0.3333333333333333,0.6666666666666666,2.0,2.0,timeout
0.07142857142857142,1.6428571428571428,13.0,23.0,contain
0.14285714285714285,1.0,6.0,7.0,hung
0.16666666666666666,0.8333333333333333,5.0,5.0,output
0.09090909090909091,1.6363636363636365,10.0,18.0,manag
0.25,0.75,3.0,3.0,prevent
0.07142857142857142,1.2857142857142856,13.0,18.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,fair
0.25,2.5,3.0,10.0,aggreg
0.034482758620689655,1.6206896551724137,28.0,47.0,fail
0.2,1.4000000000000001,4.0,7.0,close
0.09090909090909091,1.7272727272727273,10.0,19.0,event
0.125,1.0,7.0,8.0,out
0.14285714285714285,1.0,6.0,7.0,hdfs
0.5,1.0,1.0,2.0,deleg
0.08333333333333333,1.0,11.0,12.0,detect
0.25,1.25,3.0,5.0,appear
0.5,0.5,1.0,1.0,space
0.5,0.5,1.0,1.0,leak
0.5,0.5,1.0,1.0,avoid
0.5,0.5,1.0,1.0,current
0.25,1.5,3.0,6.0,delet
0.1,1.0,9.0,10.0,state
0.08333333333333333,1.5833333333333333,11.0,19.0,tracker
0.125,1.0,7.0,8.0,exit
0.1,1.2000000000000002,9.0,12.0,progress
0.3333333333333333,1.0,2.0,3.0,merg
0.2,0.8,4.0,4.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,core
0.030303030303030304,1.4848484848484849,32.0,49.0,hang
0.3333333333333333,1.0,2.0,3.0,gener
0.5,1.0,1.0,2.0,symlink
0.5,0.5,1.0,1.0,xml
0.0196078431372549,1.9019607843137254,50.0,97.0,job
0.5,0.5,1.0,1.0,succeed
0.25,1.0,3.0,4.0,trunk
