IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,jira
0.25,1.0,3.0,4.0,code
0.5,1.0,1.0,2.0,dist
0.2,1.0,4.0,5.0,execut
0.5,1.5,1.0,3.0,kill
0.5,1.0,1.0,2.0,permiss
0.5,0.5,1.0,1.0,touch
0.5,0.5,1.0,1.0,disk
0.5,0.5,1.0,1.0,xml
0.25,1.5,3.0,6.0,cache
0.5,0.5,1.0,1.0,jar
0.5,1.0,1.0,2.0,window
0.5,1.0,1.0,2.0,pend
0.25,1.5,3.0,6.0,jvm
0.5,0.5,1.0,1.0,input
0.5,0.5,1.0,1.0,local
0.5,1.0,1.0,2.0,applic
0.3333333333333333,0.6666666666666666,2.0,2.0,crash
0.5,1.0,1.0,2.0,string
0.5,0.5,1.0,1.0,format
0.25,1.0,3.0,4.0,handl
0.5,0.5,1.0,1.0,initi
0.5,0.5,1.0,1.0,period
0.16666666666666666,1.0,5.0,6.0,condit
0.3333333333333333,1.3333333333333333,2.0,4.0,report
0.25,1.0,3.0,4.0,requir
0.5,0.5,1.0,1.0,heartbeat
0.3333333333333333,0.6666666666666666,2.0,2.0,enabl
0.25,1.0,3.0,4.0,mapreduce
0.25,1.25,3.0,5.0,server
0.5,0.5,1.0,1.0,default
0.5,0.5,1.0,1.0,timeout
0.3333333333333333,0.6666666666666666,2.0,2.0,contain
0.16666666666666666,1.1666666666666665,5.0,7.0,output
0.25,1.25,3.0,5.0,manag
0.5,1.5,1.0,3.0,mean
0.5,0.5,1.0,1.0,prevent
0.25,0.75,3.0,3.0,set
0.5,1.0,1.0,2.0,fair
0.5,0.5,1.0,1.0,result
0.08333333333333333,1.6666666666666665,11.0,20.0,fail
0.5,0.5,1.0,1.0,extract
0.5,2.0,1.0,4.0,port
0.3333333333333333,0.6666666666666666,2.0,2.0,index
0.3333333333333333,0.6666666666666666,2.0,2.0,miss
0.3333333333333333,0.6666666666666666,2.0,2.0,avoid
0.5,0.5,1.0,1.0,current
0.5,0.5,1.0,1.0,delet
0.25,2.0,3.0,8.0,state
0.16666666666666666,1.5,5.0,9.0,tracker
0.3333333333333333,0.6666666666666666,2.0,2.0,exit
0.5,1.5,1.0,3.0,progress
0.5,1.5,1.0,3.0,slot
0.5,0.5,1.0,1.0,hang
0.5,0.5,1.0,1.0,clean
0.5,1.0,1.0,2.0,executor
0.07142857142857142,3.0,13.0,42.0,job
0.5,0.5,1.0,1.0,key
0.5,0.5,1.0,1.0,address
0.5,0.5,1.0,1.0,interface
0.5,0.5,1.0,1.0,path
0.3333333333333333,1.6666666666666665,2.0,5.0,valu
0.3333333333333333,0.6666666666666666,2.0,2.0,wait
0.3333333333333333,1.6666666666666665,2.0,5.0,thread
0.3333333333333333,0.6666666666666666,2.0,2.0,launch
0.5,1.5,1.0,3.0,count
0.3333333333333333,1.6666666666666665,2.0,5.0,queue
0.5,1.0,1.0,2.0,commit
0.5,1.5,1.0,3.0,block
0.25,1.0,3.0,4.0,load
0.16666666666666666,1.1666666666666665,5.0,7.0,schedul
0.25,1.25,3.0,5.0,number
0.25,1.0,3.0,4.0,capac
0.3333333333333333,1.0,2.0,3.0,submit
0.5,0.5,1.0,1.0,shutdown
0.3333333333333333,0.6666666666666666,2.0,2.0,assum
0.5,0.5,1.0,1.0,stream
0.5,0.5,1.0,1.0,memori
0.3333333333333333,1.0,2.0,3.0,data
0.5,0.5,1.0,1.0,support
0.5,0.5,1.0,1.0,system
0.5,0.5,1.0,1.0,messag
0.5,1.0,1.0,2.0,custom
0.3333333333333333,1.6666666666666665,2.0,5.0,specul
0.16666666666666666,1.5,5.0,9.0,start
0.3333333333333333,2.0,2.0,6.0,attack
0.5,0.5,1.0,1.0,call
0.5,0.5,1.0,1.0,function
0.3333333333333333,0.6666666666666666,2.0,2.0,option
0.5,1.0,1.0,2.0,alloc
0.25,0.75,3.0,3.0,specifi
0.5,1.0,1.0,2.0,child
0.3333333333333333,1.0,2.0,3.0,bug
0.1111111111111111,1.1111111111111112,8.0,10.0,case
0.14285714285714285,1.2857142857142856,6.0,9.0,exception
0.5,0.5,1.0,1.0,provid
0.5,1.0,1.0,2.0,servic
0.5,0.5,1.0,1.0,properti
0.5,0.5,1.0,1.0,batch
0.16666666666666666,1.8333333333333333,5.0,11.0,histori
0.5,0.5,1.0,1.0,record
0.5,2.0,1.0,4.0,limit
0.3333333333333333,0.6666666666666666,2.0,2.0,error
0.5,1.5,1.0,3.0,control
0.5,1.0,1.0,2.0,conf
0.25,0.75,3.0,3.0,creat
0.25,0.75,3.0,3.0,give
0.5,0.5,1.0,1.0,process
0.5,1.5,1.0,3.0,lock
0.3333333333333333,0.6666666666666666,2.0,2.0,site
0.25,0.75,3.0,3.0,cluster
0.5,0.5,1.0,1.0,exist
0.3333333333333333,0.6666666666666666,2.0,2.0,manner
0.25,1.0,3.0,4.0,file
0.3333333333333333,1.0,2.0,3.0,work
0.3333333333333333,1.3333333333333333,2.0,4.0,recov
0.5,1.0,1.0,2.0,multipl
0.5,1.0,1.0,2.0,perform
0.5,0.5,1.0,1.0,hadoop
0.5,0.5,1.0,1.0,build
0.2,3.0,4.0,15.0,test
0.5,0.5,1.0,1.0,command
0.25,2.5,3.0,10.0,config
0.2,1.0,4.0,5.0,complet
0.2,1.4000000000000001,4.0,7.0,node
0.5,1.0,1.0,2.0,map
0.5,0.5,1.0,1.0,raid
0.3333333333333333,1.0,2.0,3.0,distribut
0.3333333333333333,1.3333333333333333,2.0,4.0,object
0.5,0.5,1.0,1.0,reach
0.5,0.5,1.0,1.0,retain
0.3333333333333333,1.0,2.0,3.0,end
0.5,0.5,1.0,1.0,associ
0.3333333333333333,1.6666666666666665,2.0,5.0,class
0.5,1.5,1.0,3.0,pool
0.3333333333333333,1.0,2.0,3.0,reduc
0.5,1.0,1.0,2.0,travers
0.09090909090909091,2.272727272727273,10.0,25.0,task
0.25,1.25,3.0,5.0,directori
0.5,0.5,1.0,1.0,counter
0.2,1.0,4.0,5.0,issu
0.5,1.0,1.0,2.0,inform
0.3333333333333333,1.0,2.0,3.0,environ
0.5,0.5,1.0,1.0,allow
0.25,1.5,3.0,6.0,time
