IDF,TF*IDF,DF,TF,Word
0.3333333333333333,0.6666666666666666,2.0,2.0,jira
0.1,1.0,9.0,10.0,code
0.25,1.0,3.0,4.0,protocol
0.125,0.875,7.0,7.0,execut
0.16666666666666666,1.0,5.0,6.0,retain
0.3333333333333333,1.3333333333333333,2.0,4.0,jar
0.09090909090909091,1.3636363636363638,10.0,15.0,kill
0.16666666666666666,1.1666666666666665,5.0,7.0,touch
0.25,1.0,3.0,4.0,dist
0.09090909090909091,1.1818181818181819,10.0,13.0,disk
0.5,1.0,1.0,2.0,group
0.5,1.5,1.0,3.0,count
0.14285714285714285,2.2857142857142856,6.0,16.0,slot
0.5,0.5,1.0,1.0,write
0.3333333333333333,0.6666666666666666,2.0,2.0,locat
0.25,1.0,3.0,4.0,mr-
0.3333333333333333,0.6666666666666666,2.0,2.0,copi
0.07692307692307693,1.9230769230769231,12.0,25.0,cache
0.2,0.8,4.0,4.0,apach
0.06666666666666667,1.2,14.0,18.0,add
0.3333333333333333,0.6666666666666666,2.0,2.0,pend
0.3333333333333333,1.0,2.0,3.0,restart
0.16666666666666666,0.8333333333333333,5.0,5.0,throw
0.07142857142857142,1.1428571428571428,13.0,16.0,master
0.09090909090909091,1.8181818181818183,10.0,20.0,input
0.1,1.1,9.0,11.0,local
0.3333333333333333,0.6666666666666666,2.0,2.0,build
0.1111111111111111,1.222222222222222,8.0,11.0,applic
0.05555555555555555,1.2777777777777777,17.0,23.0,sourc
0.5,0.5,1.0,1.0,crash
0.14285714285714285,1.1428571428571428,6.0,8.0,string
0.125,1.875,7.0,15.0,format
0.2,1.0,4.0,5.0,handl
0.3333333333333333,0.6666666666666666,2.0,2.0,initi
0.5,0.5,1.0,1.0,period
0.5,0.5,1.0,1.0,window
0.1111111111111111,1.0,8.0,9.0,condit
0.125,1.25,7.0,10.0,report
0.5,0.5,1.0,1.0,associ
0.25,1.0,3.0,4.0,requir
0.5,0.5,1.0,1.0,enabl
0.2,1.2000000000000002,4.0,6.0,mapper
0.14285714285714285,1.857142857142857,6.0,13.0,name
0.1111111111111111,1.222222222222222,8.0,11.0,level
0.09090909090909091,1.1818181818181819,10.0,13.0,list
0.05,1.1500000000000001,19.0,23.0,mapreduce
0.25,1.0,3.0,4.0,hive
0.07142857142857142,1.357142857142857,13.0,19.0,server
0.14285714285714285,1.1428571428571428,6.0,8.0,default
0.5,2.5,1.0,5.0,token
0.3333333333333333,0.6666666666666666,2.0,2.0,race
0.125,1.625,7.0,13.0,timeout
0.05,1.7000000000000002,19.0,34.0,contain
0.5,0.5,1.0,1.0,hung
0.03225806451612903,1.7741935483870968,30.0,55.0,output
0.5,0.5,1.0,1.0,out
0.14285714285714285,1.5714285714285714,6.0,11.0,servic
0.16666666666666666,0.8333333333333333,5.0,5.0,mean
0.16666666666666666,0.8333333333333333,5.0,5.0,prevent
0.058823529411764705,1.7058823529411764,16.0,29.0,set
0.5,1.0,1.0,2.0,fair
0.16666666666666666,1.3333333333333333,5.0,8.0,resolv
0.14285714285714285,1.5714285714285714,6.0,11.0,connect
0.25,0.75,3.0,3.0,follow
0.03571428571428571,1.607142857142857,27.0,45.0,fail
0.5,0.5,1.0,1.0,home
0.2,1.2000000000000002,4.0,6.0,stack
0.3333333333333333,0.6666666666666666,2.0,2.0,extract
0.3333333333333333,0.6666666666666666,2.0,2.0,port
0.1111111111111111,1.5555555555555554,8.0,14.0,page
0.25,0.75,3.0,3.0,hdfs
