IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,fair
0.5,0.5,1.0,1.0,give
0.5,1.0,1.0,2.0,schedul
0.5,1.0,1.0,2.0,number
0.5,0.5,1.0,1.0,pend
0.5,0.5,1.0,1.0,file
0.5,1.0,1.0,2.0,memori
0.5,0.5,1.0,1.0,submit
0.5,0.5,1.0,1.0,delay
0.5,0.5,1.0,1.0,start
0.5,0.5,1.0,1.0,tracker
0.5,0.5,1.0,1.0,call
0.5,1.5,1.0,3.0,split
0.5,0.5,1.0,1.0,progress
0.5,0.5,1.0,1.0,map
0.5,0.5,1.0,1.0,read
0.5,1.0,1.0,2.0,initi
0.3333333333333333,2.6666666666666665,2.0,8.0,job
0.5,0.5,1.0,1.0,notic
0.5,0.5,1.0,1.0,pool
0.5,1.0,1.0,2.0,reduc
0.5,2.0,1.0,4.0,task
0.5,0.5,1.0,1.0,queue
0.5,1.0,1.0,2.0,inform
0.5,0.5,1.0,1.0,limit
0.5,0.5,1.0,1.0,time
0.5,0.5,1.0,1.0,hung
0.5,0.5,1.0,1.0,manag
