IDF,TF*IDF,DF,TF,Word
0.16666666666666666,0.8333333333333333,5.0,5.0,jira
0.045454545454545456,1.1818181818181819,21.0,26.0,code
0.2,1.6,4.0,8.0,dist
0.09090909090909091,0.9090909090909092,10.0,10.0,execut
0.25,0.75,3.0,3.0,retain
0.09090909090909091,1.1818181818181819,10.0,13.0,remov
0.14285714285714285,1.1428571428571428,6.0,8.0,page
0.125,1.5,7.0,12.0,jar
0.1111111111111111,1.1111111111111112,8.0,10.0,interrupt
0.04,1.8800000000000001,24.0,47.0,kill
0.1111111111111111,1.1111111111111112,8.0,10.0,permiss
0.1,1.3,9.0,13.0,touch
0.14285714285714285,0.8571428571428571,6.0,6.0,follow
0.2,1.0,4.0,5.0,environ
0.09090909090909091,1.6363636363636365,10.0,18.0,disk
0.1111111111111111,1.1111111111111112,8.0,10.0,pointer
0.07692307692307693,1.8461538461538463,12.0,24.0,count
0.05555555555555555,1.0555555555555556,17.0,19.0,xml
0.1111111111111111,1.1111111111111112,8.0,10.0,access
0.16666666666666666,1.6666666666666665,5.0,10.0,locat
0.1111111111111111,1.1111111111111112,8.0,10.0,mr-
0.125,1.5,7.0,12.0,window
0.06666666666666667,1.6,14.0,24.0,cache
0.14285714285714285,1.0,6.0,7.0,apach
0.125,1.0,7.0,8.0,mrapp
0.07692307692307693,1.3846153846153846,12.0,18.0,add
0.3333333333333333,1.0,2.0,3.0,pend
0.07692307692307693,1.3846153846153846,12.0,18.0,restart
0.07692307692307693,1.6153846153846154,12.0,21.0,jvm
0.047619047619047616,1.3333333333333333,20.0,28.0,master
0.058823529411764705,2.0,16.0,34.0,input
0.05,1.35,19.0,27.0,local
0.1,1.1,9.0,11.0,build
0.04,1.36,24.0,34.0,applic
0.04,1.28,24.0,32.0,sourc
0.1,1.1,9.0,11.0,crash
0.5,0.5,1.0,1.0,string
0.05555555555555555,1.3888888888888888,17.0,25.0,format
0.05263157894736842,1.263157894736842,18.0,24.0,handl
0.2,0.8,4.0,4.0,initi
0.16666666666666666,1.5,5.0,9.0,period
0.16666666666666666,2.0,5.0,12.0,progress
0.05263157894736842,1.4210526315789473,18.0,27.0,report
0.5,0.5,1.0,1.0,associ
0.16666666666666666,0.8333333333333333,5.0,5.0,requir
0.08333333333333333,1.0833333333333333,11.0,13.0,enabl
0.125,0.875,7.0,7.0,mapper
0.1,1.1,9.0,11.0,name
0.5,1.0,1.0,2.0,level
0.08333333333333333,1.3333333333333333,11.0,16.0,fetch
0.25,1.0,3.0,4.0,list
0.020833333333333332,1.1041666666666665,47.0,53.0,mapreduce
0.3333333333333333,1.0,2.0,3.0,authent
0.05,1.25,19.0,25.0,server
0.2,1.0,4.0,5.0,provid
0.1111111111111111,2.888888888888889,8.0,26.0,token
0.05555555555555555,1.5,17.0,27.0,race
0.1111111111111111,1.222222222222222,8.0,11.0,mode
0.14285714285714285,1.5714285714285714,6.0,11.0,timeout
0.02564102564102564,1.8974358974358974,38.0,74.0,contain
0.5,0.5,1.0,1.0,hung
0.04,1.72,24.0,43.0,output
0.25,0.75,3.0,3.0,out
0.030303030303030304,1.393939393939394,32.0,46.0,manag
0.14285714285714285,0.8571428571428571,6.0,6.0,mean
0.1,0.9,9.0,9.0,prevent
0.021739130434782608,1.5217391304347825,45.0,70.0,set
0.3333333333333333,0.6666666666666666,2.0,2.0,fair
0.3333333333333333,1.3333333333333333,2.0,4.0,multipl
0.2,1.0,4.0,5.0,resolv
0.058823529411764705,1.1764705882352942,16.0,20.0,result
0.008333333333333333,1.5916666666666666,119.0,191.0,fail
0.1,1.3,9.0,13.0,close
0.16666666666666666,0.8333333333333333,5.0,5.0,stack
0.2,1.0,4.0,5.0,extract
0.09090909090909091,1.4545454545454546,10.0,16.0,event
0.09090909090909091,1.2727272727272727,10.0,14.0,distribut
0.125,1.25,7.0,10.0,hdfs
0.16666666666666666,1.5,5.0,9.0,deleg
0.05,1.05,19.0,21.0,detect
0.1111111111111111,1.222222222222222,8.0,11.0,length
0.16666666666666666,0.8333333333333333,5.0,5.0,appear
0.3333333333333333,0.6666666666666666,2.0,2.0,space
0.2,0.8,4.0,4.0,assum
0.25,0.75,3.0,3.0,avoid
0.2,1.0,4.0,5.0,hive
0.1,0.9,9.0,9.0,current
0.07692307692307693,1.8461538461538463,12.0,24.0,delet
0.05263157894736842,1.3684210526315788,18.0,26.0,state
0.04,1.84,24.0,46.0,tracker
0.05263157894736842,1.1578947368421053,18.0,22.0,exit
0.047619047619047616,1.4285714285714284,20.0,30.0,condit
0.25,1.25,3.0,5.0,size
0.07142857142857142,1.0,13.0,14.0,method
0.14285714285714285,1.1428571428571428,6.0,8.0,side
0.5,0.5,1.0,1.0,core
0.0625,1.1875,15.0,19.0,process
0.14285714285714285,1.0,6.0,7.0,conf
0.25,1.0,3.0,4.0,web
0.16666666666666666,0.8333333333333333,5.0,5.0,reach
0.1111111111111111,1.1111111111111112,8.0,10.0,gener
0.14285714285714285,1.4285714285714284,6.0,10.0,executor
0.16666666666666666,2.1666666666666665,5.0,13.0,symlink
0.2,1.2000000000000002,4.0,6.0,aggreg
0.006369426751592357,2.547770700636943,156.0,400.0,job
0.09090909090909091,1.0909090909090908,10.0,12.0,succeed
0.2,1.8,4.0,9.0,key
0.14285714285714285,1.0,6.0,7.0,trunk
0.3333333333333333,1.3333333333333333,2.0,4.0,interface
0.1,1.4000000000000001,9.0,14.0,path
0.041666666666666664,1.1666666666666665,23.0,28.0,throw
0.058823529411764705,1.2352941176470589,16.0,21.0,valu
0.125,1.0,7.0,8.0,stage
0.07692307692307693,1.3076923076923077,12.0,17.0,thread
0.047619047619047616,1.2857142857142856,20.0,27.0,launch
0.08333333333333333,1.5,11.0,18.0,memori
0.125,1.0,7.0,8.0,host
0.047619047619047616,1.2857142857142856,20.0,27.0,yarn
0.16666666666666666,1.3333333333333333,5.0,8.0,acl
0.0625,1.625,15.0,26.0,recov
0.25,3.0,3.0,12.0,renew
0.16666666666666666,1.6666666666666665,5.0,10.0,base
0.125,1.0,7.0,8.0,context
0.3333333333333333,1.6666666666666665,2.0,5.0,slot
0.05,1.7000000000000002,19.0,34.0,commit
0.07692307692307693,1.153846153846154,12.0,15.0,chang
0.25,0.75,3.0,3.0,assign
0.1111111111111111,1.3333333333333333,8.0,12.0,block
0.16666666666666666,1.1666666666666665,5.0,7.0,load
0.041666666666666664,1.625,23.0,39.0,schedul
0.05263157894736842,1.263157894736842,18.0,24.0,app
0.25,0.75,3.0,3.0,address
0.125,0.875,7.0,7.0,number
0.058823529411764705,2.8235294117647056,16.0,48.0,capac
0.3333333333333333,0.6666666666666666,2.0,2.0,releas
0.058823529411764705,1.4117647058823528,16.0,24.0,submit
0.125,1.25,7.0,10.0,shutdown
0.125,1.5,7.0,12.0,linux
0.14285714285714285,1.0,6.0,7.0,array
0.058823529411764705,1.1764705882352942,16.0,20.0,miss
0.16666666666666666,1.3333333333333333,5.0,8.0,merg
0.05,1.35,19.0,27.0,java
0.125,2.25,7.0,18.0,stream
0.125,1.375,7.0,11.0,script
0.16666666666666666,0.8333333333333333,5.0,5.0,transfer
0.16666666666666666,1.0,5.0,6.0,support
0.125,0.875,7.0,7.0,display
0.06666666666666667,1.0,14.0,15.0,system
0.07142857142857142,1.0714285714285714,13.0,15.0,messag
0.06666666666666667,1.4,14.0,21.0,custom
0.16666666666666666,1.5,5.0,9.0,specul
0.03125,1.40625,31.0,45.0,start
0.045454545454545456,2.3181818181818183,21.0,51.0,attack
0.16666666666666666,1.1666666666666665,5.0,7.0,handler
0.07142857142857142,1.1428571428571428,13.0,16.0,call
0.14285714285714285,1.1428571428571428,6.0,8.0,submiss
0.3333333333333333,0.6666666666666666,2.0,2.0,improve
0.3333333333333333,1.0,2.0,3.0,store
0.07142857142857142,1.2142857142857142,13.0,17.0,function
0.16666666666666666,0.8333333333333333,5.0,5.0,notic
0.14285714285714285,1.2857142857142856,6.0,9.0,copi
0.2,1.0,4.0,5.0,travers
0.05263157894736842,1.1052631578947367,18.0,21.0,specifi
0.1,1.0,9.0,10.0,site
0.25,0.75,3.0,3.0,blacklist
