IDF,TF*IDF,DF,TF,Word
0.3333333333333333,0.6666666666666666,2.0,2.0,jira
0.25,1.0,3.0,4.0,code
0.3333333333333333,0.6666666666666666,2.0,2.0,dist
0.25,0.75,3.0,3.0,execut
0.5,0.5,1.0,1.0,retain
0.5,1.0,1.0,2.0,remov
0.25,0.75,3.0,3.0,page
0.5,1.5,1.0,3.0,connect
0.3333333333333333,0.6666666666666666,2.0,2.0,kill
0.3333333333333333,1.0,2.0,3.0,touch
0.125,1.375,7.0,11.0,disk
0.5,0.5,1.0,1.0,pointer
0.2,2.2,4.0,11.0,slot
0.3333333333333333,0.6666666666666666,2.0,2.0,write
0.5,1.0,1.0,2.0,group
0.5,0.5,1.0,1.0,window
0.2,1.4000000000000001,4.0,7.0,cache
0.3333333333333333,1.6666666666666665,2.0,5.0,jar
0.25,1.5,3.0,6.0,add
0.3333333333333333,1.0,2.0,3.0,pend
0.3333333333333333,1.3333333333333333,2.0,4.0,jvm
0.14285714285714285,1.0,6.0,7.0,master
0.14285714285714285,2.142857142857143,6.0,15.0,input
0.5,0.5,1.0,1.0,local
0.5,0.5,1.0,1.0,build
0.25,1.5,3.0,6.0,applic
0.16666666666666666,1.0,5.0,6.0,sourc
0.3333333333333333,0.6666666666666666,2.0,2.0,return
0.16666666666666666,2.0,5.0,12.0,format
0.25,0.75,3.0,3.0,handl
0.14285714285714285,0.8571428571428571,6.0,6.0,end
0.3333333333333333,0.6666666666666666,2.0,2.0,number
0.14285714285714285,1.4285714285714284,6.0,10.0,report
0.3333333333333333,0.6666666666666666,2.0,2.0,restart
0.25,1.0,3.0,4.0,mapper
0.3333333333333333,1.3333333333333333,2.0,4.0,list
0.09090909090909091,1.2727272727272727,10.0,14.0,mapreduce
0.5,0.5,1.0,1.0,hive
0.2,1.0,4.0,5.0,server
0.5,0.5,1.0,1.0,provid
0.5,0.5,1.0,1.0,mode
0.3333333333333333,0.6666666666666666,2.0,2.0,timeout
0.2,1.4000000000000001,4.0,7.0,contain
0.3333333333333333,0.6666666666666666,2.0,2.0,hung
0.2,3.0,4.0,15.0,output
0.3333333333333333,1.3333333333333333,2.0,4.0,manag
0.25,0.75,3.0,3.0,mean
0.16666666666666666,0.8333333333333333,5.0,5.0,prevent
0.125,1.125,7.0,9.0,set
0.5,0.5,1.0,1.0,aggreg
0.05555555555555555,1.4444444444444444,17.0,26.0,fail
0.5,0.5,1.0,1.0,close
0.5,0.5,1.0,1.0,extract
0.5,0.5,1.0,1.0,port
0.5,0.5,1.0,1.0,out
0.5,0.5,1.0,1.0,hdfs
0.3333333333333333,0.6666666666666666,2.0,2.0,detect
0.5,0.5,1.0,1.0,appear
0.16666666666666666,1.0,5.0,6.0,space
0.5,0.5,1.0,1.0,miss
0.5,0.5,1.0,1.0,avoid
0.5,0.5,1.0,1.0,current
0.5,3.0,1.0,6.0,delet
0.25,0.75,3.0,3.0,state
0.14285714285714285,1.0,6.0,7.0,tracker
0.3333333333333333,0.6666666666666666,2.0,2.0,exit
0.3333333333333333,0.6666666666666666,2.0,2.0,progress
0.5,1.0,1.0,2.0,merg
0.3333333333333333,0.6666666666666666,2.0,2.0,method
0.5,0.5,1.0,1.0,side
0.5,0.5,1.0,1.0,xml
0.16666666666666666,1.1666666666666665,5.0,7.0,hang
0.25,0.75,3.0,3.0,gener
0.029411764705882353,2.0,33.0,68.0,job
0.5,0.5,1.0,1.0,succeed
0.5,0.5,1.0,1.0,address
0.3333333333333333,0.6666666666666666,2.0,2.0,interface
0.3333333333333333,0.6666666666666666,2.0,2.0,locat
0.5,0.5,1.0,1.0,throw
0.5,0.5,1.0,1.0,valu
0.25,0.75,3.0,3.0,improve
0.2,0.8,4.0,4.0,thread
0.2,0.8,4.0,4.0,launch
0.2,3.8000000000000003,4.0,19.0,event
0.5,0.5,1.0,1.0,yarn
0.3333333333333333,0.6666666666666666,2.0,2.0,tasktrack
0.125,1.875,7.0,15.0,queue
0.5,0.5,1.0,1.0,base
0.25,1.0,3.0,4.0,heartbeat
0.25,1.25,3.0,5.0,chang
0.3333333333333333,1.3333333333333333,2.0,4.0,assign
0.25,2.5,3.0,10.0,block
0.3333333333333333,0.6666666666666666,2.0,2.0,load
0.09090909090909091,1.5454545454545454,10.0,17.0,schedul
0.3333333333333333,0.6666666666666666,2.0,2.0,app
0.3333333333333333,0.6666666666666666,2.0,2.0,period
0.125,3.375,7.0,27.0,capac
0.3333333333333333,1.0,2.0,3.0,releas
0.5,0.5,1.0,1.0,assum
0.14285714285714285,1.4285714285714284,6.0,10.0,size
0.5,0.5,1.0,1.0,java
0.5,2.5,1.0,5.0,stream
0.14285714285714285,1.0,6.0,7.0,memori
0.5,0.5,1.0,1.0,transfer
0.5,0.5,1.0,1.0,support
0.2,1.0,4.0,5.0,system
0.5,1.0,1.0,2.0,submit
0.2,0.8,4.0,4.0,start
0.2,1.6,4.0,8.0,attack
0.25,1.0,3.0,4.0,handler
0.2,0.8,4.0,4.0,call
0.5,1.5,1.0,3.0,submiss
0.2,0.8,4.0,4.0,wait
0.14285714285714285,1.4285714285714284,6.0,10.0,sort
0.5,0.5,1.0,1.0,notic
0.5,0.5,1.0,1.0,copi
0.5,0.5,1.0,1.0,travers
0.16666666666666666,0.8333333333333333,5.0,5.0,specifi
0.5,0.5,1.0,1.0,apach
0.14285714285714285,0.8571428571428571,6.0,6.0,heap
0.3333333333333333,0.6666666666666666,2.0,2.0,induc
0.09090909090909091,1.0,10.0,11.0,case
0.25,0.75,3.0,3.0,exception
0.16666666666666666,1.5,5.0,9.0,default
0.5,0.5,1.0,1.0,servic
0.25,0.75,3.0,3.0,work
0.2,0.8,4.0,4.0,batch
0.2,1.2000000000000002,4.0,6.0,histori
0.5,1.0,1.0,2.0,calcul
0.2,0.8,4.0,4.0,limit
0.5,0.5,1.0,1.0,error
0.14285714285714285,0.8571428571428571,6.0,6.0,problem
0.5,0.5,1.0,1.0,deadlock
0.14285714285714285,1.2857142857142856,6.0,9.0,fetch
0.5,1.0,1.0,2.0,loop
0.3333333333333333,0.6666666666666666,2.0,2.0,result
0.3333333333333333,0.6666666666666666,2.0,2.0,function
0.3333333333333333,0.6666666666666666,2.0,2.0,mrapp
0.5,1.5,1.0,3.0,gridmix
0.3333333333333333,2.333333333333333,2.0,7.0,creat
0.5,0.5,1.0,1.0,give
0.2,1.4000000000000001,4.0,7.0,process
0.25,1.5,3.0,6.0,lock
0.5,0.5,1.0,1.0,site
0.5,0.5,1.0,1.0,pig
0.07142857142857142,1.357142857142857,13.0,19.0,cluster
0.5,0.5,1.0,1.0,exist
0.3333333333333333,0.6666666666666666,2.0,2.0,manner
0.09090909090909091,1.6363636363636365,10.0,18.0,file
0.2,1.0,4.0,5.0,crash
0.5,0.5,1.0,1.0,null
0.2,1.0,4.0,5.0,saw
0.2,0.8,4.0,4.0,check
0.5,0.5,1.0,1.0,recov
0.16666666666666666,1.3333333333333333,5.0,8.0,shuffl
0.14285714285714285,1.0,6.0,7.0,perform
0.25,0.75,3.0,3.0,hadoop
0.3333333333333333,0.6666666666666666,2.0,2.0,regression
0.5,0.5,1.0,1.0,delay
0.5,1.0,1.0,2.0,mr-
0.5,0.5,1.0,1.0,cleanup
0.5,0.5,1.0,1.0,read
0.16666666666666666,2.6666666666666665,5.0,16.0,split
0.5,0.5,1.0,1.0,branch
0.16666666666666666,1.3333333333333333,5.0,8.0,test
0.25,2.0,3.0,8.0,combin
0.5,1.0,1.0,2.0,properti
0.125,0.875,7.0,7.0,config
0.25,2.75,3.0,11.0,complet
0.09090909090909091,1.8181818181818183,10.0,20.0,node
0.05263157894736842,1.3157894736842104,18.0,25.0,map
0.5,0.5,1.0,1.0,raid
0.25,1.0,3.0,4.0,distribut
0.3333333333333333,1.0,2.0,3.0,index
0.5,1.0,1.0,2.0,leak
0.5,1.0,1.0,2.0,object
0.3333333333333333,0.6666666666666666,2.0,2.0,reach
0.3333333333333333,0.6666666666666666,2.0,2.0,stay
0.25,1.5,3.0,6.0,user
0.25,2.25,3.0,9.0,commit
0.3333333333333333,0.6666666666666666,2.0,2.0,phase
0.3333333333333333,1.0,2.0,3.0,multipl
0.125,1.125,7.0,9.0,data
0.5,0.5,1.0,1.0,stack
0.5,0.5,1.0,1.0,pool
0.045454545454545456,1.9090909090909092,21.0,42.0,reduc
0.3333333333333333,1.0,2.0,3.0,alloc
0.045454545454545456,2.0454545454545454,21.0,45.0,task
0.5,0.5,1.0,1.0,filesystem
0.2,1.2000000000000002,4.0,6.0,directori
0.3333333333333333,1.0,2.0,3.0,mrv
0.3333333333333333,0.6666666666666666,2.0,2.0,counter
0.16666666666666666,1.5,5.0,9.0,request
0.14285714285714285,0.8571428571428571,6.0,6.0,issu
0.5,1.0,1.0,2.0,inform
0.25,1.0,3.0,4.0,command
0.125,1.125,7.0,9.0,allow
0.08333333333333333,1.0,11.0,12.0,time
0.25,0.75,3.0,3.0,order
