IDF,TF*IDF,DF,TF,Word
0.25,1.0,3.0,4.0,jira
0.16666666666666666,1.0,5.0,6.0,code
0.1111111111111111,1.3333333333333333,8.0,12.0,protocol
0.25,0.75,3.0,3.0,execut
0.2,0.8,4.0,4.0,interrupt
0.5,0.5,1.0,1.0,kill
0.08333333333333333,1.5,11.0,18.0,permiss
0.5,0.5,1.0,1.0,touch
0.16666666666666666,0.8333333333333333,5.0,5.0,follow
0.5,1.5,1.0,3.0,data
0.3333333333333333,1.0,2.0,3.0,locat
0.3333333333333333,0.6666666666666666,2.0,2.0,xml
0.09090909090909091,1.0,10.0,11.0,access
0.5,1.5,1.0,3.0,tasktrack
0.2,1.0,4.0,5.0,group
0.5,0.5,1.0,1.0,mr-
0.5,0.5,1.0,1.0,window
0.14285714285714285,2.0,6.0,14.0,cache
0.25,0.75,3.0,3.0,apach
0.16666666666666666,1.0,5.0,6.0,add
0.25,2.5,3.0,10.0,jvm
0.16666666666666666,1.6666666666666665,5.0,10.0,master
0.25,2.0,3.0,8.0,input
0.2,1.4000000000000001,4.0,7.0,local
0.25,0.75,3.0,3.0,build
0.1,1.4000000000000001,9.0,14.0,applic
0.1111111111111111,1.1111111111111112,8.0,10.0,sourc
0.25,1.0,3.0,4.0,return
0.3333333333333333,0.6666666666666666,2.0,2.0,format
0.5,0.5,1.0,1.0,handl
0.3333333333333333,1.3333333333333333,2.0,4.0,end
0.3333333333333333,0.6666666666666666,2.0,2.0,initi
0.3333333333333333,1.3333333333333333,2.0,4.0,progress
0.3333333333333333,0.6666666666666666,2.0,2.0,report
0.25,0.75,3.0,3.0,requir
0.16666666666666666,0.8333333333333333,5.0,5.0,enabl
0.14285714285714285,1.7142857142857142,6.0,12.0,name
0.16666666666666666,1.8333333333333333,5.0,11.0,list
0.05,1.2000000000000002,19.0,24.0,mapreduce
0.1111111111111111,1.3333333333333333,8.0,12.0,authent
0.07692307692307693,1.4615384615384617,12.0,19.0,server
0.16666666666666666,1.5,5.0,9.0,provid
0.038461538461538464,2.730769230769231,25.0,71.0,token
0.5,1.0,1.0,2.0,race
0.16666666666666666,1.1666666666666665,5.0,7.0,mode
0.125,1.625,7.0,13.0,contain
0.16666666666666666,1.3333333333333333,5.0,8.0,output
0.14285714285714285,1.4285714285714284,6.0,10.0,servic
0.25,0.75,3.0,3.0,mean
0.2,0.8,4.0,4.0,prevent
0.08333333333333333,1.5833333333333333,11.0,19.0,set
0.3333333333333333,1.0,2.0,3.0,fair
0.16666666666666666,1.0,5.0,6.0,connect
0.043478260869565216,1.5217391304347825,22.0,35.0,fail
0.25,0.75,3.0,3.0,home
0.5,0.5,1.0,1.0,stack
0.5,0.5,1.0,1.0,extract
0.25,0.75,3.0,3.0,port
0.25,1.0,3.0,4.0,page
0.2,1.0,4.0,5.0,hdfs
0.08333333333333333,1.0833333333333333,11.0,13.0,deleg
0.125,1.0,7.0,8.0,detect
0.25,1.0,3.0,4.0,appear
0.25,0.75,3.0,3.0,display
0.5,0.5,1.0,1.0,miss
0.3333333333333333,0.6666666666666666,2.0,2.0,avoid
0.3333333333333333,1.0,2.0,3.0,hive
0.2,0.8,4.0,4.0,current
0.2,1.0,4.0,5.0,delet
0.16666666666666666,1.8333333333333333,5.0,11.0,tracker
0.5,1.0,1.0,2.0,exit
0.3333333333333333,1.3333333333333333,2.0,4.0,condit
0.5,0.5,1.0,1.0,merg
0.25,1.0,3.0,4.0,gener
0.3333333333333333,1.0,2.0,3.0,core
0.5,0.5,1.0,1.0,process
0.25,0.75,3.0,3.0,web
0.3333333333333333,0.6666666666666666,2.0,2.0,clean
0.2,1.0,4.0,5.0,executor
0.25,0.75,3.0,3.0,symlink
0.3333333333333333,2.333333333333333,2.0,7.0,host
0.14285714285714285,0.8571428571428571,6.0,6.0,base
0.14285714285714285,1.1428571428571428,6.0,8.0,key
0.25,1.25,3.0,5.0,trunk
0.3333333333333333,1.0,2.0,3.0,interface
0.25,1.0,3.0,4.0,path
0.25,1.0,3.0,4.0,method
0.3333333333333333,0.6666666666666666,2.0,2.0,throw
0.16666666666666666,1.1666666666666665,5.0,7.0,valu
0.5,1.0,1.0,2.0,wait
0.25,1.0,3.0,4.0,thread
0.14285714285714285,1.0,6.0,7.0,launch
0.0196078431372549,2.2549019607843137,50.0,115.0,job
0.3333333333333333,1.0,2.0,3.0,yarn
0.3333333333333333,0.6666666666666666,2.0,2.0,side
0.25,1.5,3.0,6.0,queue
0.1111111111111111,1.7777777777777777,8.0,16.0,renew
0.3333333333333333,0.6666666666666666,2.0,2.0,succeed
0.3333333333333333,0.6666666666666666,2.0,2.0,context
0.5,0.5,1.0,1.0,slot
0.5,0.5,1.0,1.0,commit
0.1,1.2000000000000002,9.0,12.0,chang
0.5,0.5,1.0,1.0,assign
0.5,1.0,1.0,2.0,block
0.5,0.5,1.0,1.0,load
0.16666666666666666,1.0,5.0,6.0,schedul
0.2,1.4000000000000001,4.0,7.0,app
0.3333333333333333,1.0,2.0,3.0,address
0.5,0.5,1.0,1.0,period
0.5,0.5,1.0,1.0,capac
0.3333333333333333,1.3333333333333333,2.0,4.0,releas
0.2,1.0,4.0,5.0,messag
0.5,0.5,1.0,1.0,shutdown
0.125,1.375,7.0,11.0,linux
0.5,0.5,1.0,1.0,assum
0.3333333333333333,0.6666666666666666,2.0,2.0,stage
0.1111111111111111,1.3333333333333333,8.0,12.0,manag
0.2,1.2000000000000002,4.0,6.0,java
0.5,0.5,1.0,1.0,stream
0.5,1.0,1.0,2.0,script
0.5,0.5,1.0,1.0,transfer
0.16666666666666666,0.8333333333333333,5.0,5.0,support
0.16666666666666666,0.8333333333333333,5.0,5.0,system
0.08333333333333333,1.5833333333333333,11.0,19.0,submit
0.14285714285714285,1.5714285714285714,6.0,11.0,custom
0.2,0.8,4.0,4.0,start
0.125,1.0,7.0,8.0,attack
0.3333333333333333,1.0,2.0,3.0,handler
0.16666666666666666,1.3333333333333333,5.0,8.0,call
0.5,0.5,1.0,1.0,time
0.16666666666666666,1.5,5.0,9.0,submiss
0.3333333333333333,0.6666666666666666,2.0,2.0,improve
0.25,1.5,3.0,6.0,store
0.14285714285714285,1.0,6.0,7.0,function
0.3333333333333333,0.6666666666666666,2.0,2.0,notic
0.3333333333333333,0.6666666666666666,2.0,2.0,option
0.5,1.5,1.0,3.0,copi
0.1,1.0,9.0,10.0,specifi
0.25,1.0,3.0,4.0,child
0.25,1.0,3.0,4.0,bug
0.3333333333333333,0.6666666666666666,2.0,2.0,case
0.08333333333333333,1.5,11.0,18.0,exception
0.3333333333333333,0.6666666666666666,2.0,2.0,target
0.2,1.0,4.0,5.0,default
0.09090909090909091,1.0,10.0,11.0,remov
0.2,1.2000000000000002,4.0,6.0,properti
0.5,1.0,1.0,2.0,batch
0.1111111111111111,1.3333333333333333,8.0,12.0,histori
0.5,1.0,1.0,2.0,record
0.2,1.8,4.0,9.0,error
0.14285714285714285,1.0,6.0,7.0,oozi
0.3333333333333333,0.6666666666666666,2.0,2.0,problem
0.25,0.75,3.0,3.0,fetch
0.5,1.0,1.0,2.0,aggreg
0.14285714285714285,2.142857142857143,6.0,15.0,control
0.25,0.75,3.0,3.0,conf
0.125,1.375,7.0,11.0,creat
0.16666666666666666,1.0,5.0,6.0,give
0.5,0.5,1.0,1.0,runner
0.5,2.5,1.0,5.0,lock
0.3333333333333333,0.6666666666666666,2.0,2.0,site
0.3333333333333333,1.0,2.0,3.0,pig
0.09090909090909091,1.2727272727272727,10.0,14.0,cluster
0.3333333333333333,1.0,2.0,3.0,tag
0.16666666666666666,0.8333333333333333,5.0,5.0,exist
0.3333333333333333,0.6666666666666666,2.0,2.0,manner
0.05,1.85,19.0,37.0,file
0.16666666666666666,1.0,5.0,6.0,work
0.14285714285714285,1.5714285714285714,6.0,11.0,check
0.1111111111111111,1.3333333333333333,8.0,12.0,acl
0.25,0.75,3.0,3.0,result
0.5,0.5,1.0,1.0,null
0.2,1.2000000000000002,4.0,6.0,shuffl
0.02702702702702703,1.3783783783783785,36.0,51.0,secur
0.25,0.75,3.0,3.0,perform
0.05,1.1500000000000001,19.0,23.0,hadoop
0.5,0.5,1.0,1.0,invalid
0.16666666666666666,1.6666666666666665,5.0,10.0,write
0.16666666666666666,1.1666666666666665,5.0,7.0,read
0.5,0.5,1.0,1.0,cleanup
0.3333333333333333,1.3333333333333333,2.0,4.0,split
0.1,1.4000000000000001,9.0,14.0,branch
0.125,1.75,7.0,14.0,test
0.25,1.25,3.0,5.0,command
0.08333333333333333,1.3333333333333333,11.0,16.0,config
0.5,0.5,1.0,1.0,complet
0.058823529411764705,1.4117647058823528,16.0,24.0,node
0.1111111111111111,1.3333333333333333,8.0,12.0,map
0.5,0.5,1.0,1.0,finish
0.5,1.0,1.0,2.0,raid
0.25,2.0,3.0,8.0,hostnam
0.2,1.2000000000000002,4.0,6.0,index
0.5,0.5,1.0,1.0,org
0.3333333333333333,0.6666666666666666,2.0,2.0,object
0.5,1.0,1.0,2.0,hang
0.3333333333333333,0.6666666666666666,2.0,2.0,stag
0.05555555555555555,1.2777777777777777,17.0,23.0,user
0.5,1.5,1.0,3.0,retain
0.3333333333333333,1.0,2.0,3.0,multipl
0.16666666666666666,0.8333333333333333,5.0,5.0,associ
0.5,0.5,1.0,1.0,class
0.5,1.5,1.0,3.0,pool
0.14285714285714285,0.8571428571428571,6.0,6.0,reduc
0.25,0.75,3.0,3.0,travers
0.0625,2.3125,15.0,37.0,task
0.08333333333333333,1.3333333333333333,11.0,16.0,directori
0.3333333333333333,1.0,2.0,3.0,mrv
0.5,0.5,1.0,1.0,mrapp
0.2,1.0,4.0,5.0,request
0.5,0.5,1.0,1.0,combin
0.125,0.875,7.0,7.0,issu
0.2,1.2000000000000002,4.0,6.0,inform
0.25,1.0,3.0,4.0,environ
0.16666666666666666,1.3333333333333333,5.0,8.0,allow
0.3333333333333333,1.0,2.0,3.0,filesystem
