IDF,TF*IDF,DF,TF,Word
0.5,0.5,1.0,1.0,function
0.5,0.5,1.0,1.0,prevent
0.5,1.5,1.0,3.0,set
0.5,0.5,1.0,1.0,protocol
0.3333333333333333,1.0,2.0,3.0,applic
0.5,0.5,1.0,1.0,process
0.5,1.0,1.0,2.0,schedul
0.5,0.5,1.0,1.0,number
0.3333333333333333,1.0,2.0,3.0,cluster
0.5,0.5,1.0,1.0,sourc
0.3333333333333333,0.6666666666666666,2.0,2.0,file
0.3333333333333333,0.6666666666666666,2.0,2.0,fail
0.5,0.5,1.0,1.0,cleanup
0.5,1.0,1.0,2.0,acl
0.5,0.5,1.0,1.0,extract
0.5,1.0,1.0,2.0,event
0.5,0.5,1.0,1.0,manag
0.5,0.5,1.0,1.0,web
0.5,0.5,1.0,1.0,appear
0.5,0.5,1.0,1.0,secur
0.5,0.5,1.0,1.0,hadoop
0.5,2.0,1.0,4.0,port
0.3333333333333333,0.6666666666666666,2.0,2.0,access
0.5,0.5,1.0,1.0,case
0.5,1.0,1.0,2.0,attack
0.5,0.5,1.0,1.0,tracker
0.3333333333333333,0.6666666666666666,2.0,2.0,master
0.5,0.5,1.0,1.0,build
0.5,1.0,1.0,2.0,condit
0.5,1.5,1.0,3.0,config
0.5,0.5,1.0,1.0,complet
0.25,2.0,3.0,8.0,node
0.5,1.0,1.0,2.0,map
0.5,0.5,1.0,1.0,finish
0.5,1.0,1.0,2.0,crash
0.5,0.5,1.0,1.0,hostnam
0.3333333333333333,0.6666666666666666,2.0,2.0,index
0.5,1.0,1.0,2.0,contain
0.5,0.5,1.0,1.0,specifi
0.5,1.0,1.0,2.0,blacklist
0.3333333333333333,2.333333333333333,2.0,7.0,job
0.5,0.5,1.0,1.0,level
0.25,1.5,3.0,6.0,reduc
0.5,1.0,1.0,2.0,mapper
0.5,0.5,1.0,1.0,task
0.5,0.5,1.0,1.0,name
0.5,1.0,1.0,2.0,launch
0.5,1.0,1.0,2.0,work
0.5,0.5,1.0,1.0,list
0.5,1.0,1.0,2.0,resolv
0.3333333333333333,1.3333333333333333,2.0,4.0,yarn
0.5,1.0,1.0,2.0,histori
0.3333333333333333,0.6666666666666666,2.0,2.0,issu
0.5,1.0,1.0,2.0,inform
0.5,1.0,1.0,2.0,script
0.5,0.5,1.0,1.0,race
0.3333333333333333,1.0,2.0,3.0,ignor
0.5,0.5,1.0,1.0,allow
0.5,0.5,1.0,1.0,time
0.3333333333333333,0.6666666666666666,2.0,2.0,output
0.5,0.5,1.0,1.0,problem
0.5,0.5,1.0,1.0,fetch
