TF,DF,Word
50,42,code
3,3,hashmap
2,2,queri
7,6,consum
5,3,sleep
3,3,abil
14,14,follow
33,25,disk
4,2,depend
3,2,spew
24,17,send
3,3,init
3,2,program
2,2,jvm
3,3,skip
5,5,introduc
4,2,jobclient.getmaptaskreport
74,53,sourc
10,7,string
3,2,vmem
3,2,fals
12,12,end
3,2,kill_contain
2,2,offlin
63,45,failur
3,3,affect
2,2,ticket
2,2,bottleneck
2,2,servlet
7,6,jobimpl
2,2,getsplit
4,4,level
2,2,dig
22,15,list
4,4,iter
6,2,emul
42,29,race
11,7,jobconf
5,2,rack
5,3,dir
5,5,pleas
24,24,prevent
8,7,terasort
5,4,reducetask
17,9,combinefileinputformat
13,5,rate
2,2,pressur
4,4,design
23,12,aggreg
2,2,download
2,2,bake
20,11,port
4,2,application_init
4,4,compat
22,17,hdfs
12,10,deleg
40,34,appear
2,2,compar
3,2,cast
4,2,fadvis
47,37,launch
18,18,current
39,19,delet
2,2,suspect
4,3,delegationtokenrenew
26,21,method
27,12,slot
2,2,hash
22,18,gener
10,6,historyserv
4,4,wordcount
3,2,lack
21,16,trunk
18,13,path
34,26,valu
22,20,wait
2,2,box
18,15,search
2,2,deterior
2,2,convers
2,2,didnt
2,2,mr-jobhistory-daemon.sh
3,3,step
44,23,queue
7,7,amount
3,2,mapred.job.track
3,2,taskimpl
2,2,action
19,17,implement
4,4,chanc
7,7,overrid
8,5,app
5,5,ask
3,2,visibl
3,2,jobtoken
3,3,instal
2,2,post
2,2,unit
2,2,inmemorymergedmapoutput
12,7,linuxtaskcontrol
2,2,zip
8,6,commun
6,4,hudson
2,2,regist
5,4,upgrad
2,2,implic
7,5,busi
5,3,overhead
7,4,jobcontrol
3,2,java.lang.internalerror
2,2,scope
14,11,stage
5,3,type
6,5,tell
22,17,sort
2,2,hundr
18,7,notif
2,2,mismatch
3,3,warn
2,2,flag
6,5,rmcontaineralloc
2,2,taskinprogress
2,2,log.index
2,2,none
3,2,retriev
2,2,sometim
2,2,scalabl
7,7,setup
47,38,work
56,38,histori
3,3,descriptor
5,5,remain
2,2,process.destroy
3,3,job.jar
7,7,root
38,27,fetch
3,3,complain
15,13,control
18,9,stream
46,38,give
47,38,process
21,11,lock
24,18,indic
2,2,abort
3,2,containerlauncherimpl
11,7,acl
2,2,nm/rm
3,3,occur
2,2,applogaggreg
5,4,filter
2,2,differenti
35,27,shuffl
47,37,secur
3,2,faulti
9,4,ping
9,6,length
26,17,write
2,2,till
2,2,purg
102,67,config
6,6,updat
38,25,map
2,2,recogn
2,2,protobuf
2,2,clone
2,2,reflect
2,2,wrong
13,10,retain
3,2,multipl
9,9,associ
3,2,parallel
5,2,chown
10,9,alloc
82,47,attempt
2,2,practic
5,4,bind
2,2,io.sort.factor
14,14,hadoop-
11,7,credenti
2,2,produc
58,54,issu
32,25,perform
2,2,maintain
13,10,environ
35,28,allow
9,8,order
6,5,talk
11,10,jira
2,2,help
5,5,move
5,4,hive
5,5,increas
5,5,preempt
2,2,hbase
4,3,pointer
2,2,dynam
5,4,paramet
6,5,delay
9,5,group
3,3,thank
4,4,polici
4,4,invalid
17,11,window
10,7,pend
30,21,restart
2,2,bypass
2,2,persist
2,2,progr
2,2,therefor
27,24,return
13,10,mapr
2,2,mapred-default
36,28,handl
2,2,timestamp
16,14,initi
3,2,framework
3,3,combinefileinputformat.getsplit
15,12,interrupt
3,2,linerecordread
4,4,discuss
4,3,restrict
3,2,workload
26,17,name
6,5,map/reduc
4,4,drop
2,2,revert
7,6,fetcher
12,8,authent
52,23,token
13,10,mode
22,15,timeout
7,6,debug
2,2,found
13,9,side
17,15,mean
6,5,compil
4,3,cost
5,2,taskattemptcontext
3,3,replac
3,2,ifil
7,6,backport
23,16,connect
35,32,happen
10,9,extract
42,26,event
9,6,variabl
4,2,network
17,16,space
5,4,open
7,4,reboot
3,3,profil
3,2,rewrit
2,2,rel
3,3,reader
3,3,print
4,2,auxservic
2,2,insid
9,9,situat
3,3,committ
10,10,base
2,2,zombi
13,8,releas
14,7,byte
3,3,decompress
2,2,ta_too_many_fetch_failur
2,2,thrown
3,2,sigkil
45,31,thread
2,2,e.g
3,3,taskattemptimpl
6,4,synchron
23,18,yarn
42,24,recov
4,4,thing
15,8,renew
3,2,indexcach
12,8,regress
12,10,heartbeat
3,3,lifetim
18,13,assign
3,3,origin
2,2,notifi
4,3,tasklaunch
32,27,number
22,18,system
15,13,mrappmast
5,3,hook
4,3,instruct
42,30,submit
5,4,kerbero
4,3,owner
4,4,array
3,2,jobendnotifi
29,25,miss
4,3,multipleoutput
18,12,size
4,4,prioriti
2,2,differ
11,7,script
39,30,data
2,2,interact
4,3,mkdir
49,22,capac
28,25,messag
12,10,stack
8,3,localjobrunn
6,5,attack
28,18,master
2,2,sort/merg
3,3,dwell
11,9,branch-
5,3,jetti
9,6,store
4,4,listen
5,4,shell
3,2,consol
9,8,option
2,2,tool
12,8,copi
39,36,specifi
10,5,tokencach
13,8,blacklist
10,6,task-control
7,6,pars
11,8,fairschedul
4,4,kind
5,3,fileoutputcommitt
5,5,target
2,2,mergemanagerimpl
11,9,provid
35,28,remov
4,4,zero
13,9,maptask
5,5,charact
8,5,project
9,6,reus
13,10,oozi
12,8,minut
5,3,toward
3,3,follo
3,3,seri
32,18,counter
6,6,comput
26,12,gridmix
2,2,runner
245,170,fail
5,4,structur
3,3,jobid
5,5,manner
4,3,reserv
13,9,null
2,2,lie
31,24,inform
5,3,maximum-capac
2,2,click
4,4,note
2,2,getaggregationtarget
2,2,counters.incrallcount
18,16,build
2,2,transmit
15,7,combin
6,5,codec
3,3,noformat
3,3,courtesi
12,11,distribut
4,3,clash
7,4,index
9,4,buffer
2,2,shuffleprovid
26,18,object
8,7,reach
4,2,hprof
8,4,rumen
2,2,pair
9,3,segment
20,11,class
2,2,gather
28,23,request
2,2,spill
7,6,pipe
2,2,declar
19,18,clean
2,2,datat
