TF,DF,Word
8,7,code
1,1,hashmap
2,2,skip
2,2,consum
2,2,sleep
1,1,abil
4,4,follow
10,8,disk
2,1,depend
4,2,send
1,1,program
2,2,jvm
2,2,introduc
19,13,sourc
3,2,vmem
16,12,failur
2,2,affect
1,1,bottleneck
1,1,servlet
1,1,jobimpl
1,1,level
1,1,list
1,1,hive
3,1,emul
2,1,race
8,4,jobconf
2,2,refer
1,1,rack
3,2,dir
2,2,pleas
7,7,prevent
3,2,terasort
21,15,work
5,2,combinefileinputformat
1,1,pressur
2,2,design
1,1,bake
11,5,port
4,2,application_init
2,2,compat
3,3,hdfs
1,1,deleg
9,8,appear
1,1,compar
2,2,outofmemori
7,5,access
5,3,delet
2,2,suspect
2,2,method
1,1,hash
2,2,gener
4,4,error
2,2,wordcount
1,1,address
12,7,path
12,9,valu
3,3,wait
1,1,box
1,1,search
2,2,deterior
2,2,didnt
20,7,queue
2,2,amount
2,1,mapred.job.track
2,2,action
5,5,implement
1,1,chanc
4,4,overrid
2,1,app
1,1,jobtoken
2,2,instal
1,1,appmast
1,1,unit
2,1,linuxtaskcontrol
1,1,commun
4,2,hudson
1,1,visit
4,3,upgrad
1,1,implic
1,1,busi
1,1,stage
2,1,tell
6,4,sort
10,3,notif
1,1,taskinprogress
2,1,retriev
5,5,setup
1,1,e.g
23,15,histori
1,1,descriptor
1,1,remain
1,1,process.destroy
2,2,root
7,5,fetch
5,4,control
5,1,stream
13,10,give
11,9,process
1,1,lock
3,3,indic
1,1,abort
2,1,acl
11,9,shuffl
9,6,secur
1,1,ping
3,1,renew
7,5,write
1,1,purg
70,46,config
2,2,updat
11,8,map
1,1,clone
1,1,wrong
2,2,heartbeat
2,2,end
2,2,associ
5,4,alloc
9,7,attempt
1,1,practic
3,2,bind
2,2,io.sort.factor
3,3,hadoop-
1,1,disabl
15,15,issu
9,6,inform
1,1,maintain
2,1,combin
17,15,allow
1,1,talk
2,2,jira
1,1,help
2,2,move
3,3,increas
1,1,preempt
2,1,pointer
2,2,dynam
4,3,paramet
2,1,mapr
1,1,group
2,2,thank
1,1,polici
7,5,window
2,1,pend
1,1,requir
2,2,persist
1,1,therefor
7,7,return
2,2,mapred-default
1,1,handl
6,6,initi
2,1,framework
2,2,leafqueu
2,2,complain
1,1,mrappmast
2,1,workload
4,4,name
2,2,map/reduc
1,1,drop
5,1,token
4,3,mode
6,4,timeout
1,1,debug
3,3,side
4,4,mean
2,1,compil
1,1,cost
11,7,connect
9,9,happen
2,2,extract
3,2,event
6,3,variabl
2,1,network
2,2,space
1,1,open
1,1,profil
2,2,rel
1,1,reader
2,2,print
9,5,size
1,1,insid
2,2,situat
1,1,committ
3,3,base
3,2,releas
1,1,byte
1,1,thrown
10,6,thread
9,8,launch
2,1,synchron
11,9,yarn
3,3,recov
2,2,length
1,1,regress
3,3,retain
1,1,lifetim
3,3,assign
2,2,origin
13,11,number
10,6,system
1,1,restrict
1,1,instruct
4,4,messag
2,1,kerbero
1,1,jobendnotifi
10,7,miss
2,1,multipleoutput
4,2,auxservic
1,1,prioriti
2,2,differ
1,1,script
7,6,data
33,10,capac
3,3,construct
6,4,stack
2,2,attack
8,5,master
2,2,sort/merg
1,1,dwell
4,4,branch-
2,1,jetti
1,1,store
1,1,listen
1,1,progr
2,2,option
1,1,tool
3,2,copi
14,13,specifi
6,3,blacklist
54,30,task
2,2,pars
1,1,fairschedul
2,2,kind
3,1,fileoutputcommitt
1,1,target
5,4,provid
4,3,remov
1,1,maptask
2,2,charact
4,2,project
2,2,delay
4,4,oozi
1,1,minut
1,1,seri
2,2,comput
11,4,gridmix
1,1,shell
1,1,manner
4,2,null
1,1,defaultcontainerexecutor
5,3,maximum-capac
1,1,note
5,5,build
6,4,environ
2,2,begin
2,2,distribut
1,1,clash
1,1,usernam
1,1,shuffleprovid
12,8,object
3,2,reach
4,2,rumen
12,6,phase
9,5,class
2,2,gather
4,4,request
2,1,pipe
6,5,clean
1,1,minimryarnclust
1,1,fact
1,1,text
1,1,random
2,2,concurr
8,5,permiss
3,2,threshold
9,4,slot
5,5,current
2,2,slow
5,4,locat
2,2,cache
3,2,jar
3,3,figur
1,1,latenc
1,1,suppos
2,2,factor
14,9,jobtrack
4,2,count
2,2,stop
8,7,report
3,2,restart
3,2,mapper
2,2,linuxcontainerexecutor
2,2,ifileinputstream
2,1,partit
24,14,contain
3,2,view
1,1,respond
6,5,set
3,3,startup
8,7,result
54,38,fail
1,1,close
2,2,mapoutput
16,12,detect
1,1,someth
1,1,jvmmanag
5,5,state
2,1,progress
1,1,approach
1,1,accord
1,1,yarn+mr
7,2,parent
5,5,induc
43,27,job
3,3,succeed
1,1,key
4,3,interface
2,2,improve
1,1,admin
2,2,region
5,1,retir
3,2,jobhistoryserv
7,7,context
7,4,load
4,3,instanti
23,12,schedul
3,3,trunk
2,1,hprof
2,1,shutdown
1,1,linux
1,1,cancel
3,1,respect
3,3,trust
8,6,assum
4,2,duplic
4,3,java
2,2,.
5,5,compon
2,2,addit
1,1,infrastructur
1,1,resolut
3,2,understand
5,3,child
1,1,catch
21,17,case
24,14,exception
1,1,virtual
4,3,servic
19,10,properti
2,1,cast
4,2,calcul
2,1,jobloc
4,3,jobclient
1,1,bin/mapr
8,4,historyserv
9,6,tasktrack
1,1,expir
1,1,spawn
1,1,containermanag
22,18,cluster
2,2,archiv
5,4,conf
2,2,crash
1,1,author
10,8,perform
2,2,parti
1,1,belong
5,2,classpath
9,7,hadoop
1,1,member
3,2,binari
7,5,split
9,3,complet
2,2,finish
4,2,raid
6,3,hostnam
12,8,hang
17,12,user
8,6,chang
2,2,travers
1,1,task-control
2,2,mapred-default.xml
1,1,contact
8,6,command
6,4,filesystem
1,1,execut
2,2,obtain
2,2,rest
2,2,interrupt
3,3,kill
1,1,mr-jobhistory-daemon.sh
15,8,touch
2,2,org.apache.hadoop.mapred.ifileinputstream
1,1,discuss
4,4,add
3,3,spread
2,2,input
1,1,save
4,2,applic
14,13,read
1,1,know
2,2,world
2,2,insert
1,1,success
1,1,anyth
1,1,resolv
18,14,server
1,1,fs.default.nam
3,3,jobhistori
24,11,output
4,2,page
1,1,backlog
1,1,encount
4,3,exceed
2,2,deal
1,1,interv
5,1,pariti
1,1,export
3,2,io.sort.mb
3,2,yarnchild
3,2,inputsplit
2,1,freez
1,1,scale
4,2,leaf
2,2,culprit
1,1,leak
5,4,avoid
3,2,buffer
1,1,substitut
2,2,tracker
2,2,exit
2,1,condit
2,1,combinefilerecordread
1,1,reproduc
5,5,manag
1,1,investig
1,1,post
2,1,symlink
5,4,host
4,3,applicationmast
5,5,throw
1,1,simpler
1,1,socket
1,1,yarn-site.xml
8,5,memori
1,1,simul
1,1,nullpointerexception
8,5,block
1,1,taskheartbeathandl
2,1,miniclust
2,1,linerecordread
4,3,yarn-
2,1,reducetask
8,5,merg
1,1,preemption
2,2,support
9,7,submit
5,5,custom
22,17,start
1,1,reli
1,1,handler
8,6,shufflehandl
4,3,lot
9,6,submiss
10,9,function
4,4,translat
7,5,heap
1,1,bug
1,1,reset
