TF,DF,Word
24,18,code
1,1,consum
1,1,abil
1,1,follow
12,8,disk
2,1,depend
6,6,system
3,2,spew
3,3,send
2,2,init
1,1,log.index
2,2,introduc
4,2,jobclient.getmaptaskreport
11,8,sourc
2,1,string
2,1,fals
1,1,end
1,1,kill_contain
23,15,failur
2,2,affect
2,2,jobimpl
1,1,getsplit
1,1,dig
4,3,list
2,2,iter
3,3,race
2,2,pleas
4,4,prevent
3,2,terasort
1,1,reducetask
3,2,combinefileinputformat
4,2,rate
1,1,design
6,3,aggreg
1,1,port
1,1,compat
8,5,hdfs
5,3,deleg
2,2,appear
1,1,outofmemori
8,6,launch
5,5,current
16,6,delet
1,1,delegationtokenrenew
9,8,method
2,1,slot
3,3,gener
2,2,wordcount
4,4,trunk
2,2,path
11,7,valu
5,4,wait
1,1,box
2,2,search
8,5,secur
12,8,queue
3,2,taskimpl
1,1,action
4,3,implement
1,1,chanc
2,2,overrid
2,2,app
1,1,ask
1,1,unit
4,2,linuxtaskcontrol
2,2,commun
4,2,jobcontrol
3,2,java.lang.internalerror
7,6,sort
1,1,hundr
2,1,notif
1,1,benchmark
2,2,warn
1,1,flag
1,1,rmcontaineralloc
1,1,setup
8,8,work
11,8,histori
1,1,descriptor
3,3,remain
1,1,process.destroy
1,1,root
17,11,fetch
2,2,control
9,5,stream
13,11,give
11,8,process
4,2,lock
5,4,indic
1,1,containerlauncherimpl
4,2,acl
2,2,occur
14,7,recov
3,2,multipl
1,1,divid
1,1,faulti
2,2,ping
3,1,length
8,7,mapr
1,1,purg
10,8,config
1,1,updat
2,2,map
1,1,recogn
1,1,heartbeat
4,4,shuffl
1,1,nm/rm
2,2,alloc
24,14,attempt
1,1,hadoop-
2,2,nullpointerexception
19,16,issu
5,4,inform
1,1,environ
7,4,allow
1,1,order
3,3,jira
1,1,move
1,1,increas
2,2,hbase
4,3,pointer
4,4,write
3,1,group
5,2,window
2,1,pend
1,1,infrastructur
2,2,bypass
12,10,return
20,14,handl
5,4,initi
3,3,combinefileinputformat.getsplit
7,5,interrupt
4,4,day
