TF,DF,Word
1,1,code
3,3,execut
1,1,lack
2,2,failur
1,1,detail
1,1,connect
2,1,interrupt
1,1,preempt
1,1,stopcontain
7,5,kill
2,2,corner
2,1,localcontaineralloc
1,1,encount
1,1,move
1,1,locat
1,1,forev
2,2,send
2,1,day
1,1,add
1,1,busi
1,1,suppos
1,1,jvm
1,1,input
3,2,local
2,1,jobtrack
3,3,applic
10,5,sourc
6,4,crash
2,2,handl
5,4,stop
1,1,kill_contain
3,3,number
8,5,condit
6,4,report
1,1,bottleneck
1,1,complain
5,4,restart
1,1,counter
2,1,headroom
1,1,name
2,2,fail_container_cleanup
1,1,list
10,8,race
1,1,timeout
14,11,contain
1,1,debug
2,2,output
5,2,manag
2,2,pleas
4,4,prevent
2,2,terasort
2,2,dump
3,2,combinefileinputformat
1,1,startup
2,2,request
1,1,consum
2,1,rate
1,1,expect
8,6,fail
2,1,close
5,4,happen
11,7,event
2,2,infinit
3,3,hdfs
9,8,detect
4,2,appear
3,2,record
2,2,avoid
2,1,reboot
2,1,access
8,8,case
10,5,state
4,2,tracker
8,6,exit
1,1,reader
5,5,progress
2,2,merg
3,3,method
2,1,machin
2,2,found
1,1,reach
3,2,gener
4,3,error
1,1,dwell
1,1,period
5,4,hung
10,8,job
1,1,succeed
2,2,trunk
1,1,byte
1,1,problem
1,1,valu
5,5,wait
1,1,startcontain
1,1,search
1,1,troubl
17,7,thread
1,1,launch
1,1,ramp
1,1,count
1,1,fetch
10,4,recov
1,1,amount
2,1,indexcach
5,4,issu
2,1,heartbeat
1,1,implement
3,3,assign
11,4,block
1,1,follo
3,3,schedul
1,1,transit
1,1,address
1,1,arriv
1,1,hook
2,2,fetcher
4,3,submit
7,5,shutdown
2,2,trust
3,3,miss
1,1,appmast
2,2,size
2,2,prioriti
2,1,preemption
1,1,linuxtaskcontrol
1,1,commun
1,1,segment
1,1,support
3,2,messag
1,1,specul
4,4,start
1,1,starv
7,4,master
1,1,increas
2,1,shufflehandl
1,1,branch-
1,1,stage
1,1,tell
5,4,sort
1,1,thrown
1,1,progr
2,1,consol
1,1,thousand
1,1,copi
1,1,benchmark
1,1,disk
1,1,eventhandl
3,2,blacklist
1,1,flag
1,1,translat
1,1,heap
1,1,child
1,1,catch
1,1,reset
4,3,exception
1,1,launcher
1,1,remov
1,1,jstack
1,1,structur
3,2,histori
1,1,outofmemori
1,1,jobloc
1,1,limit
2,1,jobclient
1,1,job.jar
2,1,minut
8,6,deadlock
3,2,servic
6,4,tasktrack
6,4,loop
2,1,aggreg
2,1,control
3,3,result
2,2,featur
5,3,gridmix
2,2,creat
3,3,give
6,6,process
3,3,lock
4,3,indic
6,4,cluster
1,1,exist
1,1,expir
5,4,file
1,1,download
1,1,null
1,1,check
1,1,applogaggreg
1,1,incorrect
1,1,lie
5,3,shuffl
3,2,faulti
1,1,hadoop
1,1,click
1,1,note
2,2,cleanup
3,2,split
1,1,test
3,2,command
4,2,config
6,6,complet
22,11,node
8,5,map
1,1,courtesi
1,1,finish
2,1,freez
1,1,clone
5,2,object
41,27,hang
11,6,stay
1,1,duplic
3,2,user
4,2,commit
2,2,phase
2,2,end
2,2,data
18,12,reduc
2,2,alloc
37,19,task
11,7,attempt
1,1,combinefilerecordread
2,1,filesystem
1,1,hadoop-
1,1,descript
1,1,pipe
2,2,inform
2,2,contact
2,2,ignor
6,6,time
2,2,someth
1,1,fact
