TF,DF,Word
1,1,hashmap
1,1,execut
6,1,ping
5,3,kill
1,1,touch
1,1,num-map
1,1,slow
5,3,cache
1,1,figur
2,2,send
1,1,add
1,1,pend
3,1,local
2,1,commitjob
1,1,jobtrack
2,1,applic
3,2,sourc
2,1,crash
1,1,read
3,2,progress
1,1,report
1,1,world
1,1,workload
1,1,anyth
4,2,list
1,1,server
3,1,emul
8,3,timeout
2,1,contain
1,1,jobconf
7,3,output
11,5,complet
1,1,side
2,2,mean
1,1,respond
1,1,prevent
1,1,terasort
1,1,caller
4,1,taskattemptcontext
1,1,startup
2,2,expect
6,4,fail
2,1,close
1,1,happen
10,4,event
1,1,compat
1,1,hdfs
3,3,detect
1,1,appear
2,2,space
1,1,avoid
2,1,jvmmanag
2,1,rewrit
1,1,state
1,1,tracker
2,1,condit
1,1,order
1,1,reproduc
5,2,method
1,1,investig
2,2,induc
1,1,job.jar
2,1,cycl
9,7,job
1,1,succeed
2,1,trunk
1,1,problem
1,1,improve
3,3,search
2,1,sigkil
1,1,convers
1,1,thread
1,1,spill
1,1,follo
2,1,filter
3,3,amount
1,1,constructor
2,2,regress
4,1,commit
1,1,implement
2,1,visit
1,1,disabl
1,1,block
5,3,load
1,1,taskheartbeathandl
1,1,lifetim
3,2,schedul
3,3,number
1,1,heirarchi
1,1,set
1,1,shutdown
1,1,chang
1,1,array
2,2,miss
1,1,multipleoutput
1,1,duplic
1,1,coupl
3,2,memori
3,2,mkdir
1,1,window
1,1,stack
2,2,lot
2,2,wait
2,1,type
3,2,sort
1,1,thousand
1,1,copi
1,1,mismatch
1,1,type-convert
2,2,translat
4,2,sleep
3,2,case
1,1,exception
1,1,default
2,2,servic
4,4,launch
1,1,maptask
3,1,histori
1,1,match
1,1,bin/mapr
1,1,error
3,2,minut
5,2,tasktrack
5,2,connect
1,1,control
1,1,gridmix
5,1,creat
3,2,process
5,2,lock
1,1,indic
2,2,cluster
2,2,expir
9,5,file
1,1,reserv
1,1,work
1,1,check
1,1,result
5,1,historyserv
1,1,shuffl
4,4,perform
1,1,classpath
1,1,detail
1,1,mr-jobhistory-daemon.sh
1,1,write
1,1,purg
1,1,test
1,1,environ
1,1,properti
1,1,config
1,1,updat
3,3,map
1,1,gener
2,1,buffer
1,1,hang
1,1,stay
1,1,user
1,1,retain
4,4,data
1,1,parallel
10,4,reduc
3,3,travers
25,11,task
1,1,attempt
4,3,directori
1,1,counter
2,1,hardcod
1,1,spend
2,2,issu
1,1,inform
1,1,chown
2,2,command
7,5,time
1,1,datat
1,1,backward
1,1,someth
