TF,DF,Word
2,2,event
3,2,load
5,5,code
5,5,execut
1,1,skip
5,4,failur
2,2,capacityschedul
1,1,rest
1,1,detail
1,1,connect
2,2,interrupt
1,1,stopcontain
12,7,kill
1,1,world
1,1,touch
3,3,follow
2,2,disk
1,1,jobinprogress
8,3,slot
5,3,write
2,2,locat
7,5,cache
1,1,forev
9,5,send
3,2,window
1,1,pend
3,2,requir
2,2,master
2,2,input
2,1,folder
3,3,local
2,2,match
14,6,split
19,6,count
1,1,ta_too_many_fetch_failur
8,8,sourc
1,1,return
3,3,handl
2,2,end
5,2,stop
9,5,exception
4,4,mrappmast
1,1,framework
1,1,grid
4,2,fetch
13,4,progress
2,2,report
1,1,freez
3,2,skew
1,1,complain
5,4,restart
2,2,jobimpl
2,2,mapper
1,1,getsplit
1,1,name
2,2,succeed
1,1,taskattemptimpl
2,1,signal
1,1,drop
2,2,list
1,1,iter
1,1,collect
1,1,jobhistori
2,2,timeout
14,7,contain
1,1,hung
2,2,output
1,1,notif
4,4,complet
4,4,manag
2,1,dir
6,4,mean
2,2,prevent
2,2,set
1,1,yarn-
5,2,combinefileinputformat
1,1,abort
1,1,percentag
1,1,consum
8,2,rate
1,1,backport
4,4,result
2,2,flush
20,14,fail
1,1,close
6,5,happen
3,3,histori
4,1,port
1,1,page
1,1,variabl
5,3,index
6,6,detect
5,4,appear
1,1,compar
2,2,display
2,1,open
1,1,alloc
2,1,fadvis
5,3,reboot
2,1,appmast
1,1,access
3,2,delet
2,2,state
3,2,tracker
1,1,exit
7,6,condit
1,1,current
3,2,merg
1,1,reproduc
2,2,method
4,2,mode
1,1,core
2,1,object
1,1,conf
6,4,gener
3,3,situat
3,2,shufflehandl
14,11,job
1,1,add
1,1,trunk
4,4,ask
2,1,group
5,2,byte
1,1,hand
1,1,respect
5,4,throw
2,2,valu
1,1,improve
6,3,search
1,1,deadlock
1,1,zip
1,1,thread
10,8,launch
1,1,admin
1,1,yarn-site.xml
5,2,script
1,1,ramp
2,2,host
3,2,yarn
1,1,acl
6,3,queue
1,1,thing
2,2,length
1,1,inconsist
1,1,includ
2,2,logic
1,1,regress
3,3,heartbeat
1,1,implement
1,1,jenkin
8,3,assign
8,4,block
1,1,comment
1,1,note
2,2,step
1,1,induc
5,3,schedul
1,1,transit
3,3,number
4,4,capac
1,1,expect
1,1,releas
2,1,submit
3,2,shutdown
1,1,instal
1,1,reducetask
3,3,miss
1,1,applicationmast
1,1,stage
1,1,duplic
1,1,size
1,1,jvmmanag
1,1,clust
5,4,memori
1,1,segment
1,1,support
1,1,regist
1,1,system
2,2,messag
1,1,custom
9,5,specul
5,4,start
1,1,reli
2,1,overhead
2,1,expand
1,1,lot
1,1,lock
2,2,submiss
1,1,wait
1,1,type
1,1,tell
1,1,store
1,1,listen
4,3,function
1,1,option
2,1,copi
1,1,benchmark
1,1,corrupt
3,3,specifi
1,1,introduc
4,3,rmcontaineralloc
1,1,taskinprogress
2,1,child
1,1,catch
1,1,bug
1,1,origin
11,9,case
1,1,commun
1,1,kind
2,2,perform
1,1,scenario
1,1,possibl
2,2,default
1,1,follo
1,1,setup
5,4,work
2,2,zero
1,1,troubl
4,1,rack
1,1,descriptor
3,3,calcul
2,1,reus
2,2,limit
4,3,jobclient
7,6,error
3,1,oozi
4,4,problem
5,3,toward
1,1,root
6,2,tasktrack
2,1,aggreg
2,2,sort
1,1,hadoop-
1,1,comput
4,2,gridmix
8,5,creat
8,6,give
6,5,process
5,3,request
3,2,metric
1,1,respons
2,1,indic
14,12,cluster
1,1,archiv
1,1,exist
2,2,manner
11,5,file
1,1,substitut
1,1,occur
2,2,distcp
1,1,incorrect
3,3,recov
1,1,differenti
1,1,multipl
3,3,divid
1,1,receiv
1,1,jobtrack
1,1,hadoop
3,3,check
3,2,mapr
3,3,read
1,1,codec
1,1,constructor
3,2,build
7,3,test
1,1,environ
1,1,properti
2,2,config
1,1,updat
24,12,node
11,6,map
2,2,finish
1,1,distribut
4,3,hdfs
3,2,leak
16,10,time
1,1,space
2,2,stay
2,1,rumen
1,1,stag
1,1,wrong
1,1,queri
7,4,user
2,2,applic
2,1,commit
1,1,remov
2,2,shuffl
1,1,record
11,8,data
2,1,pool
2,1,network
20,14,reduc
2,2,travers
42,19,task
14,6,attempt
1,1,algorithm
2,1,retir
2,2,secur
2,1,credenti
7,7,issu
3,3,inform
6,3,command
1,1,chanc
3,2,filesystem
3,1,region
2,2,order
2,1,talk
1,1,know
