TF,DF,Word
3,3,code
1,1,hashmap
2,2,follow
5,4,disk
3,2,send
2,1,program
12,6,sourc
7,5,string
3,1,failur
1,1,ticket
1,1,servlet
1,1,level
1,1,dig
1,1,list
3,2,hive
1,1,prevent
1,1,terasort
1,1,reducetask
1,1,combinefileinputformat
2,1,rate
3,2,cost
11,5,aggreg
1,1,click
1,1,hdfs
4,4,appear
1,1,compar
2,1,fadvis
2,2,current
7,2,delet
1,1,suspect
2,2,method
1,1,hash
2,2,trunk
2,2,valu
1,1,wait
3,3,search
1,1,deterior
1,1,convers
1,1,host
7,2,queue
1,1,amount
3,2,implement
1,1,control
1,1,visibl
1,1,appmast
1,1,zip
12,6,memori
1,1,upgrad
2,2,handler
3,2,overhead
2,2,scope
3,2,sort
1,1,hundr
4,1,notif
2,2,benchmark
1,1,rmcontaineralloc
3,3,work
8,5,histori
1,1,job.jar
1,1,didnt
2,2,fetch
1,1,overrid
1,1,stream
4,4,give
5,3,process
1,1,lock
3,2,indic
4,4,end
1,1,secur
2,1,mapr
10,6,config
2,1,map
1,1,recogn
3,2,heartbeat
6,4,shuffl
6,5,data
7,5,attempt
1,1,emit
2,2,hadoop-
5,4,issu
2,2,inform
1,1,maintain
10,5,combin
3,3,allow
3,2,order
1,1,jira
1,1,help
1,1,move
5,3,report
1,1,num-map
1,1,delay
1,1,group
1,1,thank
1,1,infrastructur
3,3,return
1,1,io.sort.factor
3,2,handl
1,1,timestamp
3,2,initi
1,1,workload
11,4,name
1,1,drop
1,1,revert
1,1,token
5,3,side
1,1,taskheartbeathandl
2,1,ifil
1,1,backport
2,2,expect
1,1,happen
2,2,extract
5,3,event
1,1,rewrit
1,1,print
1,1,insid
1,1,situat
1,1,base
1,1,zombi
1,1,releas
3,1,byte
1,1,sigkil
4,4,thread
2,2,launch
1,1,taskattemptimpl
1,1,synchron
2,1,yarn
7,5,recov
1,1,thing
7,3,regress
2,2,retain
1,1,assign
4,3,number
1,1,system
3,2,mrappmast
1,1,messag
3,3,array
1,1,miss
8,5,size
1,1,differ
5,1,capac
1,1,construct
3,1,localjobrunn
2,2,master
1,1,sort/merg
1,1,branch-
1,1,jetti
2,2,store
1,1,copi
5,5,specifi
1,1,blacklist
1,1,kind
1,1,provid
2,2,remov
2,2,structur
1,1,charact
3,2,reus
1,1,oozi
2,1,minut
2,2,seri
18,9,counter
1,1,comput
2,2,manner
4,3,tabl
1,1,lie
1,1,defaultcontainerexecutor
2,2,getaggregationtarget
2,2,counters.incrallcount
2,2,build
8,5,maptask
4,1,buffer
4,3,object
2,2,compress
5,2,phase
7,1,segment
1,1,gather
4,4,request
3,3,clean
1,1,datat
1,1,fact
1,1,threshold
1,1,slot
1,1,access
2,2,getclasscontext
4,4,slow
13,6,cache
5,3,state
2,1,busi
2,2,factor
1,1,local
2,2,jobtrack
2,2,stop
2,2,classload
1,1,increas
1,1,mapper
1,1,ifileinputstream
1,1,partit
6,4,contain
2,2,set
1,1,dump
6,5,result
1,1,respons
1,1,fail
10,6,detect
1,1,someth
1,1,figur
2,2,experi
1,1,accord
3,2,cycl
9,6,job
1,1,succeed
1,1,interface
1,1,addit
1,1,region
3,1,ramp
1,1,display
2,1,inconsist
2,2,context
1,1,logic
3,3,load
2,2,instanti
3,2,schedul
1,1,address
1,1,period
1,1,trust
2,1,duplic
1,1,java
1,1,coupl
1,1,trigger
1,1,treat
7,7,improve
2,2,thousand
2,2,resolut
2,1,child
6,6,case
1,1,launcher
3,2,servic
1,1,jstack
1,1,outofmemori
4,3,calcul
1,1,jobclient
1,1,historyserv
2,2,exist
3,2,loop
1,1,spawn
1,1,cluster
1,1,crash
13,9,perform
4,4,hadoop
1,1,split
5,5,complet
1,1,finish
5,4,optim
2,2,hang
1,1,decompress
3,2,moment
1,1,user
3,2,stack
1,1,expand
23,13,task
1,1,inherit
3,3,command
4,4,spend
1,1,protocol
1,1,execut
1,1,obtain
1,1,kill
3,2,touch
1,1,org.apache.hadoop.mapred.ifileinputstream
1,1,localcontaineralloc
3,3,add
2,2,spread
4,4,input
2,2,save
3,3,applic
1,1,format
2,2,read
1,1,know
2,2,background
2,1,insert
4,4,resolv
4,3,server
4,3,jobhistori
12,9,output
6,4,manag
1,1,backlog
2,1,exceed
1,1,interv
2,2,re-wir
3,2,intern
2,1,flush
3,3,distribut
1,1,culprit
1,1,leak
4,4,avoid
4,3,tracker
4,3,exit
2,2,condit
1,1,refer
2,2,core
1,1,investig
2,2,reach
4,1,symlink
1,1,step
1,1,applicationmast
1,1,throw
1,1,decompressor
3,2,stage
1,1,socket
5,4,page
1,1,produc
1,1,block
1,1,linerecordread
3,3,chang
3,2,merg
6,4,support
3,3,submit
3,3,custom
7,6,start
2,2,includ
1,1,lot
4,2,submiss
6,5,function
1,1,type-convert
2,2,translat
9,5,heap
1,1,count
2,2,default
1,1,record
3,3,limit
6,3,problem
1,1,deadlock
1,1,retir
7,6,creat
1,1,decreas
13,8,file
1,1,rackresolv
1,1,check
1,1,detail
1,1,field
1,1,codec
3,3,lookup
1,1,test
9,8,node
1,1,stay
4,2,pool
14,7,reduc
1,1,algorithm
2,2,directori
1,1,ignor
14,9,time
