TF,DF,Word
1,1,jira
4,3,code
2,2,execut
1,1,queri
1,1,port
8,4,remov
2,1,kill_contain
8,6,report
1,1,runner
3,3,concurr
18,9,kill
1,1,permiss
1,1,jobtrack
1,1,touch
3,2,corner
1,1,progress
1,1,prevent
3,1,slot
2,1,delay
1,1,death
3,1,group
1,1,secur
1,1,polici
1,1,taskattemptimpl
4,2,cache
2,2,send
1,1,discuss
2,1,tasklaunch
1,1,add
2,2,pend
1,1,suppos
4,3,schedul
1,1,input
8,3,local
1,1,match
1,1,charact
3,3,count
7,6,sourc
3,3,return
1,1,format
6,5,handl
1,1,timestamp
2,1,taskrunn
1,1,piec
1,1,offlin
1,1,period
6,3,recov
1,1,grid
1,1,fulfil
5,4,failur
2,1,interrupt
1,1,potenti
2,1,password
3,1,class
1,1,day
10,5,restart
2,1,jobimpl
1,1,insert
2,1,daemon
2,1,headroom
1,1,heartbeat
1,1,success
1,1,map/reduc
1,1,signal
1,1,scalabl
2,1,list
1,1,resolv
2,2,iter
3,2,server
1,1,system
3,1,token
39,27,race
4,2,submit
1,1,jobhistori
2,2,timeout
17,9,contain
1,1,debug
4,4,output
1,1,side
1,1,mrappmast
1,1,mean
1,1,compil
1,1,miniclust
1,1,terasort
1,1,set
3,1,dump
3,1,localjobrunn
1,1,ifil
2,1,member
4,4,expect
41,29,fail
5,4,close
2,2,happen
4,2,histori
1,1,extract
8,7,event
1,1,linuxtaskcontrol
3,1,deleg
12,12,detect
9,7,appear
1,1,function
1,1,leak
1,1,avoid
2,2,hive
1,1,e.g
1,1,access
10,3,delet
8,6,state
5,2,tracker
4,4,exit
1,1,reader
2,1,delegationtokenrenew
26,17,condit
1,1,author
2,2,merg
1,1,method
1,1,mode
1,1,mapper
2,2,reach
1,1,gener
2,2,historyserv
1,1,noformat
4,2,symlink
1,1,aggreg
14,11,job
3,3,succeed
1,1,committ
1,1,fail_container_cleanup
1,1,found
3,1,releas
2,2,path
4,3,applicationmast
1,1,hand
3,3,throw
3,1,decompressor
4,4,wait
2,2,search
2,1,perform
8,6,thread
8,4,launch
1,1,yarn-site.xml
1,1,current
3,2,containerlauncherimpl
1,1,fetch
1,1,queue
3,2,indexcach
3,1,regress
5,2,commit
2,2,chang
2,1,parallel
2,2,assign
8,3,block
1,1,load
4,3,control
1,1,notifi
1,1,follo
1,1,instanti
1,1,regist
1,1,transit
2,1,trunk
2,2,arriv
2,2,unregist
1,1,commitjob
4,2,interface
2,2,fetcher
1,1,overwrit
1,1,shutdown
1,1,linux
2,1,jobtoken
1,1,jobconf
1,1,job.xml
1,1,reducetask
2,2,assum
1,1,multipleoutput
1,1,appmast
2,1,preemption
1,1,java
2,1,stream
1,1,coupl
1,1,script
1,1,profil
1,1,support
2,2,hudson
1,1,mkdir
1,1,upgrad
2,2,messag
1,1,.
2,1,specul
8,6,start
1,1,reli
1,1,trigger
2,1,master
3,3,valu
1,1,jobcontrol
9,8,time
2,1,stage
2,2,tell
2,2,listen
5,4,sort
1,1,setup
1,1,lot
1,1,notif
3,3,problem
1,1,specifi
1,1,eventhandl
1,1,warn
1,1,alloc
1,1,flag
1,1,induc
1,1,initi
12,11,case
13,11,exception
5,3,cluster
1,1,default
2,1,servic
5,4,work
2,1,structur
1,1,jobid
3,2,jobclient
3,3,error
2,1,exist
3,2,minut
1,1,deadlock
1,1,obtain
5,5,tasktrack
1,1,seri
2,2,overrid
1,1,containermanag
3,3,result
7,4,counter
2,2,comput
2,1,conf
9,6,creat
2,2,give
5,5,process
3,2,lock
3,2,indic
1,1,corrupt
3,2,testdatadrivendbinputformat
1,1,implement
1,1,expir
14,7,file
2,1,reserv
5,4,crash
1,1,download
2,1,null
1,1,check
1,1,incorrect
1,1,pipe
1,1,differenti
1,1,end
3,2,defaultcontainerexecutor
4,4,receiv
1,1,allow
3,2,custom
2,2,hadoop
1,1,invalid
1,1,reset
6,3,write
1,1,preempt
5,4,cleanup
2,1,build
9,7,test
1,1,command
1,1,properti
8,1,config
2,1,hook
10,9,complet
8,6,node
4,3,finish
3,2,distribut
1,1,clash
3,2,stop
1,1,clone
5,4,object
10,6,hang
2,1,hprof
3,2,stay
7,4,stag
1,1,moment
1,1,scale
2,1,user
5,5,applic
2,1,retain
4,2,shuffl
2,1,data
1,1,stack
2,1,pool
11,7,reduc
3,2,travers
51,22,task
13,6,attempt
1,1,scenario
14,9,directori
1,1,introduc
2,2,hadoop-
2,2,request
6,6,issu
2,2,inform
1,1,portion
2,2,ignor
1,1,chanc
5,5,clean
2,2,filesystem
1,1,backward
2,2,order
