TF,DF,Word
1,1,origin
2,2,code
1,1,pipe
1,1,sometim
2,1,consum
1,1,stack
1,1,capacityschedul
2,2,page
2,2,detail
1,1,connect
1,1,increas
3,3,preempt
1,1,concurr
3,3,kill
3,2,touch
1,1,corner
9,8,disk
2,1,mapred.local.dir
3,2,slot
2,2,busi
1,1,death
1,1,rewrit
7,4,cache
2,1,send
4,4,add
5,3,pend
1,1,recov
1,1,factor
2,1,input
1,1,save
3,2,local
2,2,jobtrack
4,3,applic
6,5,sourc
6,4,crash
3,1,string
2,1,vmem
5,3,handl
1,1,offlin
5,4,number
1,1,know
7,4,failur
6,4,report
1,1,ticket
1,1,servlet
2,2,day
2,2,mapper
1,1,optim
1,1,headroom
2,2,level
2,2,list
1,1,server
3,1,emul
2,2,collect
2,2,race
1,1,timeout
13,8,contain
2,2,hung
10,4,output
1,1,manag
2,2,mean
1,1,fulfil
1,1,reset
2,2,terasort
1,1,work
4,2,pariti
1,1,zero
2,1,cost
1,1,expect
2,1,io.sort.mb
18,14,fail
4,2,close
6,5,happen
4,3,extract
6,4,event
1,1,application_init
2,2,merg
1,1,hdfs
4,3,detect
2,1,length
1,1,appear
9,8,space
4,4,leak
1,1,avoid
2,1,fadvis
2,1,calcul
1,1,current
5,3,delet
3,3,state
3,3,tracker
4,4,exit
1,1,someth
2,2,progress
2,1,auxservic
1,1,method
2,1,object
1,1,ask
2,2,gener
4,3,error
1,1,broken
9,8,job
1,1,succeed
1,1,zombi
1,1,investig
3,2,shufflehandl
1,1,interface
1,1,applicationmast
1,1,decompress
7,6,throw
2,1,valu
2,2,stage
2,2,search
1,1,convers
2,2,thread
1,1,spill
1,1,root
3,1,region
1,1,ramp
2,1,count
1,1,respons
5,4,fetch
4,3,queue
1,1,thing
2,2,amount
1,1,base
1,1,logic
2,1,heartbeat
1,1,produc
1,1,load
1,1,follo
11,7,schedul
4,2,exceed
10,7,capac
2,2,mrappmast
1,1,peer
2,2,fetcher
2,2,set
1,1,decompressor
1,1,unit
3,2,size
1,1,preemption
3,2,java
1,1,coupl
21,13,memori
2,2,garbag
7,1,segment
2,1,system
2,2,messag
1,1,custom
1,1,implic
1,1,spread
1,1,attack
2,1,starv
4,2,master
1,1,includ
2,1,overhead
3,3,wait
2,2,tell
2,2,sort
1,1,hundr
2,2,copi
2,2,problem
1,1,specifi
1,1,type-convert
1,1,taskinprogress
6,4,heap
1,1,fairschedul
10,9,case
8,5,exception
2,2,scenario
2,2,mergemanagerimpl
1,1,default
3,2,remov
2,1,properti
2,2,jstack
2,1,intern
2,2,histori
3,3,outofmemori
2,2,remain
4,3,limit
1,1,job.jar
3,2,minut
1,1,deadlock
1,1,servic
6,4,tasktrack
2,1,loop
1,1,aggreg
1,1,function
2,2,featur
5,2,gridmix
3,2,creat
7,4,process
1,1,lock
2,1,tabl
4,3,indic
11,9,cluster
14,7,file
1,1,reserv
1,1,occur
1,1,applogaggreg
1,1,result
1,1,lie
6,4,shuffl
2,1,perform
3,3,prevent
1,1,ping
1,1,hadoop
2,2,start
1,1,port
1,1,note
1,1,field
1,1,cleanup
1,1,read
1,1,build
1,1,branch
6,4,test
1,1,config
1,1,thousand
7,6,complet
13,9,node
4,4,map
2,2,inmemorymergedmapoutput
1,1,finish
3,1,raid
2,2,clean
1,1,buffer
8,3,filesystem
10,6,hang
3,2,stay
2,1,duplic
1,1,stag
2,1,user
1,1,retain
4,4,phase
2,2,end
4,3,data
2,1,class
4,2,pool
39,20,reduc
26,11,task
7,3,attempt
2,2,inmemorymapoutput
1,1,algorithm
1,1,directori
4,2,counter
6,3,request
1,1,disabl
2,2,issu
2,2,command
5,3,allow
4,4,time
1,1,spend
